name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Crooked House,58,54,56,"['Mystery & Thriller', 'Crime', 'Drama']",PG-13,1h 55m,2017,"['Glenn Close', 'Terence Stamp', 'Max Irons', 'Stefanie Martini', 'Julian Sands']",['Gilles Paquetbrenner']
Birthright: A War Story,100,50,83,['Documentary'],,1h 45m,2017,"['Michele Goodwin', 'Lynn Paltrow', 'Dr. David Grimes', 'Carole Joffe', 'Jessica Gonzalez-Rojas']",['Civia Tamarkin']
Killing Reagan,63,68,64,"['Drama', 'Biography']",TV14,1h 30m,2016,"['Joe Chrest', 'Cynthia Nixon', 'Tim Matheson', 'Joel Murray', 'Gary Weeks']",['Rod Lurie']
Nanny McPhee Returns,75,55,68,"['Kids & Family', 'Comedy', 'Fantasy']",PG,1h 49m,2010,"['Emma Thompson', 'Maggie Gyllenhaal', 'Rhys Ifans', 'Maggie Smith', 'Sam Kelly']",['Susanna White']
Man in the Chair,50,68,55,"['Comedy', 'Drama']",PG-13,1h 49m,2007,"['Christopher Plummer', 'Michael Angarano', 'M. Emmet Walsh', 'Robert Wagner', 'Joshua Boyd']",['Michael Schroeder']
The Secret War of Harry Frigg,40,46,42,['Comedy'],,1h 50m,1968,"['Paul Newman', 'Sylva Koscina', 'Tom Bosley', 'Andrew Duggan', 'John Williams']",['Jack Smight']
Live and Let Die,66,64,65,['Action'],PG,2h 1m,1973,"['Roger Moore', 'Yaphet Kotto', 'Jane Seymour', 'Clifton James', 'Geoffrey Holder']",['Guy Hamilton']
The Prime Ministers: The Pioneers,38,50,42,['Documentary'],,1h 55m,2013,"['Sandra Bullock', 'Robert Cait', 'Michael Douglas', 'Leonard Nimoy', 'Steven Schub']",['Richard Trank']
Letters to Father Jacob,69,75,71,['Drama'],,1h 15m,2009,"['Kaarina Hazard', 'Jukka Keinonen', 'Heikki Nousiainen', 'Kaija Pakarinen', 'Esko Roine']",['Klaus Haro']
Dirty Dancing,19,35,24,"['Musical', 'Romance', 'Drama']",TVPG,2h 18m,2017,"['Abigail Breslin', 'Debra Messing', 'Bruce Greenwood', 'Nicole Scherzinger', 'Sarah Hyland']",['Wayne Blair']
Motel Hell,67,52,62,"['Horror', 'Comedy']",R,1h 46m,1980,"['Rory Calhoun', 'Nancy Parsons', 'Paul Linke', 'Nina Axelrod', 'Wolfman Jack']",['Kevin Connor']
All That Heaven Allows,91,81,87,['Romance'],,1h 29m,1955,"['Jane Wyman', 'Rock Hudson', 'Agnes Moorehead', 'Conrad Nagel', 'Virginia Grey']",['Douglas Sirk']
Home Room,55,78,62,['Drama'],R,2h 12m,2003,"['Busy Philipps', 'Erika Christensen', 'Victor Garber', 'Holland Taylor', 'Ken Jenkins']",['Paul F Ryan 3']
Nanpakal Nerathu Mayakkam,83,89,85,['Drama'],,1h 45m,2023,"['Mammootty', 'Ramya Pandian', 'Ashwanth Ashokkumar', 'Pramod Shetty', 'Ashokan']",['Lijo Jose Pellissery']
Trespassers,60,67,62,"['Horror', 'Mystery & Thriller']",,1h 28m,2018,"['Angela Trimbur', 'Janel Parrish', 'Fairuza Balk', 'Jonathan Howard', 'Zach Avery']",['Orson Oblowitz']
Nanpakal Nerathu Mayakkam,83,89,85,['Drama'],,1h 45m,2023,"['Mammootty', 'Ramya Pandian', 'Ashwanth Ashokkumar', 'Pramod Shetty', 'Ashokan']",['Lijo Jose Pellissery']
Wonderland,34,65,44,"['Crime', 'Drama', 'Biography']",R,1h 44m,2003,"['Val Kilmer', 'Kate Bosworth', 'Lisa Kudrow', 'Josh Lucas', 'Tim Blake Nelson']",['James Cox']
Sadie's Last Days on Earth,40,35,38,['Comedy'],,1h 30m,2016,"['Helene Joy', 'Munro Chambers', 'Lola Flanery', 'Ricardo Hoyos', 'Madison Cheeatow']",['Michael Seater']
No Way Out,86,82,84,['Drama'],,1h 46m,1950,"['Richard Widmark', 'Linda Darnell', 'Sidney Poitier', 'Stephen McNally', 'Mildred Joanne Smith']",['Joseph L Mankiewicz']
Why Him?,39,51,43,"['Holiday', 'Comedy']",R,1h 51m,2016,"['James Franco', 'Bryan Cranston', 'Zoey Deutch', 'Megan Mullally', 'Griffin Gluck']",['John Hamburg']
The Last Hurrah,86,81,84,['Drama'],,2h 1m,1958,"['Spencer Tracy', 'Jeffrey Hunter', 'James Gleason', 'Dianne Foster', ""Pat O'Brien""]",['John Ford']
Blood Hunters,40,36,38,"['Horror', 'Mystery & Thriller']",,1h 30m,2016,"['Lara Gilchrist', 'Benjamin Arthur', 'Torri Higginson', 'Mark Taylor', 'Julian Richings']",['Tricia Lee']
(Untitled),64,57,61,"['Romance', 'Comedy']",R,1h 36m,2009,"['Adam Goldberg', 'Marley Shelton', 'Eion Bailey', 'Lucy Punch', 'Vinnie Jones']",['Jonathan Parker']
Pirates of the Caribbean: Dead Men Tell No Tales,30,60,40,"['Adventure', 'Action', 'Fantasy']",PG-13,2h 3m,2017,"['Johnny Depp', 'Geoffrey Rush', 'Javier Bardem', 'Brenton Thwaites', 'Kaya Scodelario']","['Joachim Ronning', 'Espen Sandberg']"
The Spirit of the Beehive,96,90,94,['Drama'],,1h 35m,1973,"['Fernando Fernán Gómez', 'Teresa Gimpera', 'Ana Torrent', 'Isabel Tellería', 'Ketty de la Cámara']",['Victor Erice 2']
The Tomorrow Man,42,44,42,"['Romance', 'Drama']",PG-13,1h 34m,2019,"['John Lithgow', 'Blythe Danner', 'Derek Cecil', 'Katie Aselton', 'Sophie Thatcher']",['Noble Jones']
The Woman in the Window,25,33,27,['Mystery & Thriller'],R,1h 40m,2021,"['Amy Adams', 'Gary Oldman', 'Anthony Mackie', 'Fred Hechinger', 'Wyatt Russell']",['Joe Wright']
Sand Castle,47,46,46,"['War', 'Drama']",TVMA,1h 53m,2017,"['Nicholas Hoult', 'Henry Cavill', 'Glen Powell', 'Beau Knapp', 'Logan Marshall-Green']",['Fernando Coimbra']
Crooked House,58,54,56,"['Mystery & Thriller', 'Crime', 'Drama']",PG-13,1h 55m,2017,"['Glenn Close', 'Terence Stamp', 'Max Irons', 'Stefanie Martini', 'Julian Sands']",['Gilles Paquetbrenner']
The Hooligan Factory,33,35,33,['Comedy'],,1h 30m,2014,"['Jason Maza', 'Nick Nevern', 'Tom Burke', 'Ray Fearon', ""Steven O'Donnell""]",['Nick Nevern']
Beaches,50,31,43,['Drama'],TV14,1h 27m,2017,"['Idina Menzel', 'Nia Long', 'Colin Lawrence', 'Sanai Victoria', 'Jane Hancock']",['Allison Anders']
Silent Trigger,20,31,23,"['Mystery & Thriller', 'Action']",R,1h 30m,1996,"['Dolph Lundgren', 'Gina Bellman', 'Conrad Dunn', 'Christopher Heyerdahl', 'Emma Stevens']",['Russell Mulcahy']
