name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Cold Weather,77,52,68,"['Comedy', 'Mystery & Thriller']",,1h 37m,2010,"['Cris Lankenau', 'Trieste Kelly Dunn', 'Raúl Castillo', 'Robyn Rikoon', 'Brendan McFadden']",['Aaron Katz']
Bellflower,73,63,69,"['Drama', 'Romance']",R,1h 45m,2011,"['Evan Glodell', 'Tyler Dawson', 'Jessie Wiseman', 'Rebekah Brandes', 'Vincent Grashaw']",['Evan Glodell']
Red Riding Hood,10,39,19,"['Horror', 'Mystery & Thriller', 'Fantasy']",PG-13,1h 39m,2011,"['Amanda Seyfried', 'Gary Oldman', 'Billy Burke', 'Shiloh Fernandez', 'Max Irons']",['Catherine Hardwicke']
The Amazing Johnathan Documentary,80,56,72,['Documentary'],,1h 31m,2019,"['The Amazing Johnathan', 'Anastasia Synn', 'Benjamin Berman', 'Penn Jillette', 'Criss Angel']",['Benjamin Berman']
FernGully ... the Last Rainforest,67,64,66,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",G,1h 16m,1992,"['Tim Curry', 'Samantha Mathis', 'Christian Slater', 'Jonathan Ward', 'Robin Williams']",['Bill Kroyer']
Beastly,21,48,30,"['Fantasy', 'Romance']",PG-13,1h 26m,2011,"['Alex Pettyfer', 'Vanessa Hudgens', 'Neil Patrick Harris', 'Peter Krause', 'LisaGay Hamilton']",['Daniel Barnz']
Oliver Sherman,50,50,49,['Drama'],,1h 22m,2010,"['Garret Dillahunt', 'Molly Parker', 'Donal Logue', 'Fiona Highet', 'Duane Murray']",['Ryan Redford']
Cannes Man,50,44,47,['Comedy'],R,1h 28m,1996,"['Seymour Cassel', 'Francesco Quinn', 'Rebecca Broussard', 'François Petit', 'Robert Hockley']","['Richard Martini', 'Susan Shapiro']"
Hanna,72,66,70,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,1h 51m,2011,"['Saoirse Ronan', 'Eric Bana', 'Cate Blanchett', 'Tom Hollander', 'Olivia Williams']",['Joe Wright']
Water for Elephants,60,70,63,"['Drama', 'Romance']",PG-13,2h 1m,2011,"['Reese Witherspoon', 'Robert Pattinson', 'Christoph Waltz', 'Paul Schneider', 'Jim Norton']",['Francis Lawrence']
Limitless,68,74,70,"['Mystery & Thriller', 'Action']",PG-13,1h 45m,2011,"['Bradley Cooper', 'Robert De Niro', 'Abbie Cornish', 'Anna Friel', 'Andrew Howard']",['Neil Burger']
Hickey & Boggs,67,57,63,"['Crime', 'Drama']",PG,1h 51m,1972,"['Bill Cosby', 'Robert Culp', 'Rosalind Cash', 'Sheila Sullivan', 'Isabel Sanford']",['Robert Culp']
Supercross: The Movie,5,62,23,['Action'],PG-13,1h 32m,2005,"['Steve Howey', 'Mike Vogel', 'Cameron Richardson', 'Sophia Bush', 'Aaron Carter']",['Steve Boyum']
Mars,86,59,77,"['Romance', 'Comedy', 'Animation']",,1h 30m,2010,"['Mark Duplass', 'Zoe Simpson', 'Paul Gordon', 'Cynthia Watros', 'Michael Dolan']",['Geoff Marslett']
Hurry Sundown,22,30,24,['Drama'],,2h 26m,1967,"['Michael Caine', 'Jane Fonda', 'Robert Hooks', 'John Phillip Law', 'Diahann Carroll']",['Otto Preminger']
Winnie the Pooh,90,80,86,"['Kids & Family', 'Adventure', 'Animation']",G,1h 9m,2011,"['Jim Cummings', 'Bud Luckey', 'Craig Ferguson', 'Jack Boulter', 'Travis Oates']","['Stephenjanderson', 'Don Hall']"
The Last Days of Pompeii,100,21,73,"['History', 'Drama']",,1h 28m,1913,"['Ubaldo Stefani', 'Negri Pouget', 'Tettoni Fiorio', 'Mario Caserini']",['Mario Caserini']
"Life, Above All",82,82,82,['Drama'],PG-13,1h 42m,2010,"['Khomotso Manyaka', 'Keaobaka Makanyane', 'Lerato Mvelase', 'Harriet Lenabe', 'Tinah Mnumzana']",['Oliver Schmitz']
Jack Goes Boating,68,48,61,"['Romance', 'Comedy']",R,1h 30m,2010,"['Philip Seymour Hoffman', 'John Ortiz', 'Amy Ryan', 'Daphne Rubin-Vega', 'Tom McCarthy']",['Philip Seymour Hoffman']
Evan Almighty,24,52,33,"['Kids & Family', 'Comedy']",PG,1h 36m,2007,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'John Goodman', 'Wanda Sykes']",['Tom Shadyac']
Girlfight,87,75,83,['Drama'],R,1h 53m,2000,"['Michelle Rodriguez', 'Jaime Tirelli', 'Paul Calderone', 'Santiago Douglas', 'Ray Santiago']",['Karyn Kusama']
Tropic of Cancer,75,25,58,['Comedy'],NC-17,1h 27m,1970,"['Rip Torn', 'James Callahan', 'Ellen Burstyn', 'David Baur', 'Laurence Lignères']",['Joseph Strick']
Repo Chick,40,15,31,['Comedy'],,1h 32m,2009,"['Miguel Sandoval', 'Del Zamora', 'Alex Feldman', 'Chloe Webb', 'Xander Berkeley']",['Alex Cox']
Station to Station,72,42,62,['Drama'],,1h 11m,2015,"['Miss Alex White', 'Francis Scott Key White', 'Doug Aitken', 'Chris Totushek', 'Alex Waite']",['Doug Aitken']
Malone,29,35,31,['Action'],R,1h 33m,1987,"['Burt Reynolds', 'Cliff Robertson', 'Kenneth McMillan', 'Cynthia Gibb', 'Scott Wilson']",['Harley Cokliss']
Mischief,57,67,60,['Comedy'],R,1h 37m,1985,"['Doug McKeon', 'Chris Nash', 'Kelly Preston', 'Catherine Mary Stewart', 'D.W. Brown']",['Mel Damski']
Bobby Fischer Against the World,88,86,87,['Documentary'],,1h 32m,2011,"['Liz Garbus', 'Sheila Nevins', 'Martin Pieper', 'Dan Cogan', 'Nick Fraser']",['Liz Garbus']
Piranha,74,45,64,"['Horror', 'Mystery & Thriller']",R,1h 28m,2010,"['Elisabeth Shue', 'Adam Scott', ""Jerry O'Connell"", 'Ving Rhames', 'Jessica Szohr']",['Alexandre Aja']
5 Days of War,35,36,35,"['Drama', 'War']",R,1h 52m,2011,"['Rupert Friend', 'Richard Coyle', 'Emmanuelle Chriqui', 'Val Kilmer', 'Dean Cain']",['Renny Harlin']
Phantoms,13,27,17,['Horror'],R,1h 35m,1998,"[""Peter O'Toole"", 'Rose McGowan', 'Joanna Going', 'Liev Schreiber', 'Ben Affleck']",['Joe Chappelle']
Burke & Hare,32,35,33,"['Comedy', 'Mystery & Thriller']",R,1h 31m,2010,"['Simon Pegg', 'Andy Serkis', 'Isla Fisher', 'Jessica Hynes', 'Tom Wilkinson']",['John Landis']
3 Backyards,76,30,60,['Drama'],R,1h 27m,2010,"['Embeth Davidtz', 'Edie Falco', 'Elias Koteas', 'Rachel Resheff', 'Kathryn Erbe']",['Eric Mendelsohn']
Mr. Holland's Opus,75,84,78,"['Drama', 'Music']",PG,2h 22m,1995,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy']",['Stephen Herek']
Tremors 3: Back to Perfection,80,34,64,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Mystery & Thriller']",PG,1h 44m,2001,"['Michael Gross', 'Charlotte Stewart', 'Tony Genaro', 'Ariana Richards', 'Shawn Christian']",['Brent Maddock']
Never Let Me Go,71,70,70,"['Drama', 'Sci-Fi']",R,1h 44m,2010,"['Carey Mulligan', 'Andrew Garfield', 'Keira Knightley', 'Izzy Meikle-Small', 'Ella Purnell']",['Mark Romanek']
Snow Flower and the Secret Fan,22,48,30,"['Drama', 'History']",PG-13,1h 43m,2011,"['Jun Ji-hyun', 'Li Bingbing', 'Vivian Wu', 'Wu Jiang', 'Russell Wong']",['Wayne Wang']
Gulliver's Travels,20,27,22,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy']",PG,1h 25m,2010,"['Jack Black', 'Jason Segel', 'Emily Blunt', 'Amanda Peet', 'Billy Connolly']",['1186320 Rob Letterman']
Rise of the Planet of the Apes,82,77,80,"['Sci-Fi', 'Action', 'Adventure']",PG-13,1h 45m,2011,"['James Franco', 'Freida Pinto', 'John Lithgow', 'Brian Cox', 'Tom Felton']",['1187422 Rupert Wyatt']
Tomorrow Is Forever,60,85,68,['Drama'],,1h 45m,1946,"['Claudette Colbert', 'Orson Welles', 'George Brent', 'Lucile Watson', 'Richard Long']",['Irving Pichel']
Long Live Rock... Celebrate the Chaos,33,73,46,"['Music', 'Documentary']",,1h 19m,2021,"['Lars Ulrich', 'Duff McKagan', 'Machine Gun Kelly', 'Rob Zombie', 'Zoltan Bathory']",['Jonathan Mchugh 11']
Lonely Hearts,48,49,48,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 47m,2006,"['John Travolta', 'James Gandolfini', 'Salma Hayek', 'Jared Leto', 'Laura Dern']",['Todd Robinson']
Tea and Sympathy,83,76,80,['Drama'],,2h 2m,1956,"['Deborah Kerr', 'John Kerr', 'Leif Erickson', 'Edward Andrews', 'Darryl Hickman']",['Vicente Minelli']
House of Tolerance,83,63,76,['Drama'],,2h 2m,2011,"['Noémie Lvovsky', 'Hafsia Herzi', 'Céline Sallette', 'Jasmine Trinca', 'Adèle Haenel']",['Bertrand Bonello']
Season of the Witch,11,30,17,"['Action', 'Adventure', 'Fantasy']",PG-13,1h 35m,2011,"['Nicolas Cage', 'Ron Perlman', 'Stephen Campbell Moore', 'Claire Foy', 'Stephen Graham']",['Dominic Sena']
Funny About Love,0,14,4,"['Romance', 'Comedy']",PG-13,1h 41m,1990,"['Gene Wilder', 'Christine Lahti', 'Mary Stuart Masterson', 'Robert Prosky', 'Stephen Tobolowsky']",['Leonard Nimoy']
Mandrake,80,47,69,"['Horror', 'Mystery & Thriller']",,1h 25m,2022,"['Deirdre Mullins', 'Derbhle Crotty', 'Jude Hill', 'Paul Kennedy', 'Lynne Davison']",['Lynne Davison']
Main Street,13,11,12,['Drama'],PG,1h 32m,2010,"['Colin Firth', 'Ellen Burstyn', 'Orlando Bloom', 'Patricia Clarkson', 'Amber Tamblyn']",['John Doyle 3']
Ironclad,43,41,42,"['Action', 'Adventure']",R,2h 1m,2011,"['James Purefoy', 'Paul Giamatti', 'Kate Mara', 'Brian Cox', 'Derek Jacobi']",['Jonathan English']
Detention,86,91,87,['Horror'],,1h 42m,2019,"['Gingle Wang', 'Meng-Po Fu', 'Jing-hua Tseng', 'Cecilia Choi', 'Yue-Ti Liu']",['John Hsu']
Report to the Commissioner,43,61,49,"['Crime', 'Drama']",PG,1h 52m,1975,"['Michael Moriarty', 'Yaphet Kotto', 'Susan Blakely', 'Héctor Elizondo', 'Tony King']",['Milton Katselas']
The Wood,61,92,71,['Drama'],R,1h 47m,1999,"['Omar Epps', 'Taye Diggs', 'Richard T. Jones', 'Sean Nelson', 'Trent Cameron']",['Rick Famuyiwa']
Mad World,80,62,74,['Drama'],,1h 41m,2016,"['Shawn Yu Man-Lok', 'Eric Tsang', 'Elaine Jin', 'Charmaine Fong', 'Jie Shui']",['Chun Wong']
Game of Death,58,30,48,"['Horror', 'Mystery & Thriller']",,1h 13m,2017,"['Sam Earle', 'Victoria Diamond', 'Emelia Hellman', 'Catherine Saindon', 'Erniel Baez Duenas']","['Sebastien Landry', 'Laurence Morais Lagace']"
Con Artist,100,86,95,['Documentary'],,1h 24m,2009,"['Molly Barnes', 'Andy Behrman', 'Jacob Collins', 'Daze', 'Michel Gondry']",['Michael Sladek']
