name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Battlestar Galactica: The Plan,83,95,87,"['Sci-Fi', 'Drama']",,1h 52m,2009,"['Edward James Olmos', 'Dean Stockwell', 'Michael Trucco', 'Grace Park', 'Michael Hogan']",['Edward James Olmos']
Two Mules for Sister Sara,71,73,71,"['Western', 'Action', 'Adventure']",PG,1h 54m,1970,"['Shirley MacLaine', 'Clint Eastwood', 'Manolo Fabregas', 'Alberto Morin', 'Armando Silvestre']",['Don Siegel']
Paid in Full,53,93,66,"['Crime', 'Drama']",R,1h 37m,2002,"['Wood Harris', 'Mekhi Phifer', 'Kevin Carroll', 'Esai Morales', 'Chi McBride']",['Charles Stone 2']
Lost Souls,8,22,12,['Mystery & Thriller'],R,1h 37m,2000,"['Winona Ryder', 'Ben Chaplin', 'Sarah Wynter', 'Philip Baker Hall', 'John Hurt']",['Janusz Kaminski']
A Man Called Adam,38,59,45,['Drama'],,1h 42m,1966,"['Sammy Davis Jr.', 'Louis Armstrong', 'Ossie Davis', 'Leo Penn']",['Leo Penn']
Cemetery Junction,58,63,59,['Comedy'],R,1h 35m,2010,"['Christian Cooke', 'Tom Hughes', 'Jack Doolan', 'Felicity Jones', 'Ricky Gervais']","['Ricky Gervais', 'Stephen Merchant']"
Brother's Keeper,57,23,45,['Mystery & Thriller'],R,1h 36m,2002,"['Jeanne Tripplehorn', 'Corin Nemec', 'Evan Parke', 'Leland Orser', 'Brian Jensen']",['John Badham']
Prom,35,39,36,"['Comedy', 'Drama']",PG,1h 43m,2011,"['Aimee Teegarden', 'Thomas McDonell', 'DeVaughn Nixon', 'Kylie Bunbury', 'Danielle Campbell']",['Joe Nussbaum']
The Crawling Eye,67,30,54,['Sci-Fi'],,1h 24m,1958,"['Forrest Tucker', 'Laurence Payne', 'Jennifer Jayne', 'Janet Munro', 'Warren Mitchell']",['Quentin Lawrence']
The Stars Fell on Henrietta,50,42,47,['Drama'],PG,1h 50m,1995,"['Robert Duvall', 'Aidan Quinn', 'Frances Fisher', 'Brian Dennehy', 'Lexi Randall']",['James Keach']
Bachelor Mother,100,89,96,"['Romance', 'Comedy']",,1h 21m,1939,"['Ginger Rogers', 'David Niven', 'Charles Coburn', 'Frank Albertson', 'E.E. Clive']",['Garson Kanin']
Hey Hey It's Esther Blueburger,50,55,51,"['Comedy', 'Drama']",PG-13,1h 43m,2008,"['Keisha Castle-Hughes', 'Danielle Catanzariti', 'Essie Davis', 'Russell Dykstra', 'Nikita Adams']",['Cathy Randall']
Phantasm II,38,57,44,['Horror'],R,1h 37m,1988,"['James LeGros', 'Reggie Bannister', 'Paula Irvine', 'Angus Scrimm', 'Kenneth Tigar']",['Don Coscarelli 2']
The Square,85,71,80,['Comedy'],R,2h 22m,2017,"['Claes Bang', 'Elisabeth Moss', 'Dominic West', 'Terry Notary', 'Linda Anborg']",['Ruben Ostlund']
Midgets vs. Mascots,0,55,18,['Comedy'],R,1h 25m,2009,"['Gary Coleman', 'Jordan Prentice', 'Jason Mewes', 'Mark Hapka', 'Paul Rae']",['770696147']
Margot at the Wedding,51,40,47,"['Comedy', 'Drama']",R,1h 31m,2007,"['Nicole Kidman', 'Jennifer Jason Leigh', 'Jack Black', 'John Turturro', 'Ciarán Hinds']",['Noah Baumbach']
Princess Kaiulani,21,46,29,"['History', 'Drama', 'Biography']",PG,2h 10m,2009,"[""Q'orianka Kilcher"", 'Shaun Evans', 'Barry Pepper', 'Jimmy Yuill', 'Will Patton']",['Marc Forby']
My Demon Lover,0,46,15,['Horror'],PG-13,1h 27m,1987,"['Scott Valentine', 'Michele Little', 'Arnold Johnson', 'Robert Trebor', 'Gina Gallego']",['Charlie Loventhal']
Beowulf & Grendel,49,40,46,"['Adventure', 'Fantasy']",R,1h 43m,2005,"['Gerard Butler', 'Stellan Skarsgård', 'Ingvar Eggert Sigurðsson', 'Sarah Polley', 'Eddie Marsan']",['Sturla Gunnarsson']
Cherish,51,55,52,"['Comedy', 'Drama', 'Mystery & Thriller']",R,1h 42m,2002,"['Robin Tunney', 'Tim Blake Nelson', 'Brad Hunt', 'Liz Phair', 'Jason Priestley']",['Finn Taylor']
Just Wright,47,61,51,"['Romance', 'Comedy']",PG,1h 41m,2010,"['Queen Latifah', 'Common', 'Paula Patton', 'James Pickens Jr.', 'Phylicia Rashad']",['Sanaa Hamri']
Kick-Ass 2,32,57,40,"['Action', 'Comedy']",R,1h 43m,2013,"['Aaron Taylor-Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Clark Duke', 'Morris Chestnut']",['Jeff Wadlow']
Night of the Demons,33,25,30,['Horror'],R,1h 30m,2009,"['Monica Keena', 'Shannon Elizabeth', 'Edward Furlong', 'Diora Baird', 'Bobbi Sue Luther']",['Adam Redmond']
The Human Tornado,80,69,76,"['Action', 'Comedy']",R,1h 25m,1976,"['Rudy Ray Moore', 'Lady Reed', 'Gloria Delaney', 'Herb Graham', 'Jimmy Lynch']",['Cliff Roquemore']
Curtains,63,37,54,['Horror'],R,1h 29m,1983,"['John Vernon', 'Samantha Eggar', 'Linda Thorson', 'Anne Ditchburn', 'Lynne Griffin']",['Richard Ciupka']
Room 237,94,55,81,['Documentary'],,1h 42m,2012,"['Jay Weidner', 'Bill Blakemore', 'Geoffrey Cocks', 'Juli Kearns', 'John Fell Ryan']",['Rodney Ascher']
The Gatekeeper,52,20,41,['Drama'],R,1h 48m,2002,"['John Carlos Frey', 'Anne Betancourt', 'Joel Brooks', 'Michelle Agnew', 'Rob Roy']",['John Carlos Frey']
Introducing Dorothy Dandridge,83,81,82,['Biography'],R,2h 1m,1999,"['Halle Berry', 'Brent Spiner', 'Obba Babatundé', 'Loretta Devine', 'Cynda Williams']",['Martha Coolidge']
Exam,62,56,59,['Mystery & Thriller'],,1h 41m,2009,"['Luke Mably', 'Adar Beck', 'Chris Carey', 'Gemma Chan', 'Nathalie Cox']",['Stuart Hazeldine']
Happy Tears,29,22,26,['Drama'],R,1h 36m,2009,"['Parker Posey', 'Demi Moore', 'Rip Torn', 'Ellen Barkin', 'Christian Camargo']",['Mitchell Lichtenstein']
The Twilight Saga: Eclipse,47,60,51,"['Romance', 'Fantasy']",PG-13,2h 4m,2010,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Bryce Dallas Howard', 'Billy Burke']",['David Slade']
Hot to Trot,71,95,79,['Documentary'],,1h 28m,2018,"['Gail Freedman', 'Gail Freedman', 'Elizabeth Watson', 'Dina Potocki', 'Allyson Newman']",['Gail Freedman']
It's So Easy and Other Lies,14,32,20,"['Documentary', 'Music']",,1h 28m,2016,"['Benny Urquidez', 'Nikki Sixx', 'Slash', 'Duff McKagan', 'Matt Sorum']",['Christopher Duddy']
Cookie's Fortune,86,66,79,"['Comedy', 'Drama']",PG-13,1h 58m,1999,"['Glenn Close', 'Julianne Moore', 'Liv Tyler', ""Chris O'Donnell"", 'Charles S. Dutton']",['Robert Altman']
Stagecoach,100,86,95,['Western'],,1h 36m,1939,"['John Wayne', 'Claire Trevor', 'Andy Devine', 'John Carradine', 'Thomas Mitchell']",['John Ford']
Pure Luck,15,61,30,['Comedy'],PG,1h 36m,1991,"['Martin Short', 'Danny Glover', 'Sheila Kelley', 'Sam Wanamaker', 'Scott Wilson']",['Nadia Tass']
Leap of Faith: William Friedkin on The Exorcist,93,90,92,"['Documentary', 'Mystery & Thriller']",,1h 44m,2019,"['William Friedkin', 'Alexandre O. Philippe', 'Alexandre O. Philippe', 'Robert Muratore', 'David Lawrence']",['Alexandre O Philippe']
BearCity,50,54,51,"['Romance', 'Comedy', 'LGBTQ+']",,1h 45m,2010,"['Joe Conti', 'Stephen Guarino', 'Brian Keane', 'Gregory Gunter', 'Sebastian La Cause']",['Douglas Langway']
Clara's Heart,50,59,52,"['Comedy', 'Drama']",PG-13,1h 48m,1988,"['Whoopi Goldberg', 'Michael Ontkean', 'Kathleen Quinlan', 'Neil Patrick Harris', 'Spalding Gray']",['Robert Mulligan']
Jayne Mansfield's Car,35,41,37,['Drama'],R,2h 2m,2012,"['Robert Duvall', 'John Hurt', 'Kevin Bacon', 'Billy Bob Thornton', 'Katherine LaNasa']",['Billy Bob Thornton']
The Wrath of Becky,86,77,83,"['Action', 'Mystery & Thriller', 'Horror']",R,1h 23m,2023,"['Lulu Wilson', 'Seann William Scott', 'Denise Burse', 'Jill Larson', 'Courtney Gains']","['Matt Angel', 'Suzanne Coote']"
The Last Station,71,67,69,"['Biography', 'History', 'Drama']",R,1h 50m,2009,"['Helen Mirren', 'Christopher Plummer', 'Paul Giamatti', 'James McAvoy', 'Anne-Marie Duff']",['Michael Hoffman 7']
Dead Man Running,14,52,26,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",R,1h 32m,2009,"['Danny Dyer', '50 Cent', 'Tamer Hassan', 'Monet Mazur', 'Blake Ritson']",['Alex De Rakoff']
Charlie St. Cloud,28,60,38,"['Drama', 'Fantasy', 'Romance']",PG-13,1h 39m,2010,"['Zac Efron', 'Amanda Crew', 'Donal Logue', 'Charlie Tahan', 'Ray Liotta']",['Burr Steers']
The Killer That Stalked New York,20,33,24,['Drama'],,1h 19m,1950,"['Evelyn Keyes', 'Charles Korvin', 'William Bishop', 'Earl McEvoy', 'Harry Essex']",['Earl Mcevoy']
The Last Resort,92,62,82,['Documentary'],,1h 10m,2018,"['Dennis Scholl', 'Kareem Tabsch', 'Dennis Scholl', 'Kareem Tabsch', 'Joey Daoud']","['Dennis Scholl', 'Kareem Tabsch']"
The Quick and the Dead,58,53,56,"['Western', 'Action']",R,1h 45m,1995,"['Sharon Stone', 'Gene Hackman', 'Russell Crowe', 'Leonardo DiCaprio', 'Tobin Bell']",['Sam Raimi']
State of Play,84,73,80,"['Crime', 'Drama', 'Mystery & Thriller']",PG-13,2h 7m,2009,"['Russell Crowe', 'Ben Affleck', 'Rachel McAdams', 'Helen Mirren', 'Robin Wright']",['Kevin Macdonald']
Splice,75,37,62,"['Sci-Fi', 'Horror']",R,1h 47m,2009,"['Adrien Brody', 'Sarah Polley', 'Delphine Chaneac', 'Simona Maicanescu', 'David Hewlett']",['Vincenzo Natali']
The Pez Outlaw,100,86,95,['Documentary'],,1h 25m,2022,"['Steve Glew', 'Amy Bandlien Storkel', 'Bryan Storkel', 'Amy Bandlien Storkel', 'Bryan Storkel']","['Amy Bandlien Storkel', 'Bryan Storkel']"
Grown Up Movie Star,80,74,78,"['Drama', 'LGBTQ+']",,1h 34m,2009,"['Shawn Doyle', 'Tatiana Maslany', 'Jonny Harris', 'Julia Kennedy', 'Maggie Meyer']",['770867290']
The Return of Swamp Thing,44,54,47,"['Sci-Fi', 'Action', 'Adventure', 'Fantasy']",PG-13,1h 28m,1989,"['Louis Jourdan', 'Heather Locklear', 'Sarah Douglas', 'Dick Durock', 'Ace Mask']",['Jim Wynorski']
The Messenger,83,62,76,['Documentary'],,1h 30m,2015,"['Dominik Eulberg', 'Andrea Rutigliano', 'Martin Wikelski', 'Su Rynard', 'Su Rynard']",['Su Rynard']
The Girl With the Dragon Tattoo,86,86,86,"['Mystery & Thriller', 'Crime', 'Drama']",R,2h 38m,2011,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård', 'Steven Berkoff']",['David Fincher']
Phyllis and Harold,70,69,69,['Documentary'],,1h 24m,2008,"['Cindy Kleine', 'Cindy Kleine', 'Cindy Kleine', 'Andre Gregory']",['Cindy Kleine']
The Memory Thief,80,43,67,['Drama'],,1h 35m,2007,"['Mark Webber', 'Rachel Miner', 'Jerry Adler', 'Patrick Bauchau', 'Chris Ellis']",['Gil Kofman']
Alice in Wonderland,51,55,52,"['Kids & Family', 'Fantasy', 'Adventure']",PG,1h 49m,2010,"['Johnny Depp', 'Mia Wasikowska', 'Helena Bonham Carter', 'Anne Hathaway', 'Crispin Glover']",['Tim Burton']
The Devil's Doorway,70,44,61,['Horror'],,1h 17m,2018,"['Lalor Roddy', 'Ciaran Flynn', 'Helena Bereen', 'Lauren Coe', 'Dearbhail Carr']",['Aislinn Clarke']
The September Issue,83,71,79,['Documentary'],PG-13,1h 30m,2009,"['Oscar de la Renta', 'Patrick Dempsey', 'John Galliano', 'Jean-Paul Gaultier', 'Candy Pratts']",['Rj Cutler']
High Plains Drifter,94,86,91,['Western'],R,1h 45m,1973,"['Clint Eastwood', 'Verna Bloom', 'Marianna Hill', 'Mitch Ryan', 'Jack Ging']",['Clint Eastwood']
The Curse of Sleeping Beauty,15,31,20,"['Fantasy', 'Mystery & Thriller', 'Adventure']",,1h 27m,2016,"['Ethan Peck', 'India Eisley', 'Natalie Hall', 'Bruce Davison', 'James Adam Lim']",['Pearry Teo']
Flesh,67,51,61,['Drama'],,1h 45m,1968,"['Joe Dallesandro', 'Maurice Braddell', 'Jackie Curtis', ""Patti D'Arbanville"", 'Candy Darling']",['Paul Morrissey']
The Spy Next Door,12,40,21,"['Kids & Family', 'Comedy', 'Action']",PG,1h 32m,2010,"['Jackie Chan', 'Amber Valletta', 'George Lopez', 'Billy Ray Cyrus', 'Madeline Carroll']",['Brian Levant']
Humanoids From the Deep,55,41,50,"['Horror', 'Sci-Fi']",R,1h 20m,1980,"['Doug McClure', 'Ann Turkel', 'Vic Morrow', 'Cindy Weintraub', 'Anthony Penya']",['Barbara Peeters']
Cop Out,18,39,25,"['Comedy', 'Crime', 'Drama', 'Action']",R,1h 43m,2010,"['Bruce Willis', 'Tracy Morgan', 'Adam Brody', 'Kevin Pollak', 'Guillermo Díaz']",['Kevin Smith']
Daddy's Girl,60,44,54,['Horror'],,1h 21m,2018,"['Jemma Dallender', 'Costas Mandylor', 'Jesse Moss', 'Britt McKillip', 'Diana Care']",['Julian Richards']
Winter Solstice,60,43,54,['Drama'],R,1h 33m,2004,"['Anthony LaPaglia', 'Aaron Stanford', 'Mark Webber', 'Allison Janney', 'Michelle Monaghan']",['Josh Sternfeld']
