name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
The Chronicle of Anna Magdalena Bach,100,64,87,"['Biography', 'History', 'Drama', 'Music']",,1h 34m,1968,"['Gustav Leonhardt', 'Christiane Lang', 'Paolo Carlini', 'Ernst Castelli', 'Hans-Peter Boye']","['Daniele Huillet', 'Jean Marie Straub']"
Racing With the Moon,60,61,60,['Romance'],PG,1h 48m,1984,"['Sean Penn', 'Elizabeth McGovern', 'Nicolas Cage', 'John Karlen', 'Rutanya Alda']",['Richard Benjamin']
"Ride, Rise, Roar",78,71,75,"['Documentary', 'Music']",,1h 27m,2010,"['Lily Baldwin', 'David Byrne', 'Brian Eno', 'Mark De Gli Antoni', 'Graham Hawthorne']",['David Hillman Curtis']
Reach for the Sky,80,88,82,"['Biography', 'War']",,2h 3m,1957,"['Kenneth More', 'Muriel Pavlow', 'Lyndon Brook', 'Alexander Knox', 'Sydney Tafler']",['Lewis Gilbert']
The Magnificent Ambersons,89,84,87,['Drama'],,1h 28m,1942,"['Joseph Cotten', 'Tim Holt', 'Dolores Costello', 'Anne Baxter', 'Agnes Moorehead']",['Orson Welles']
Sucker Punch,22,47,30,"['Action', 'Fantasy']",PG-13,1h 50m,2011,"['Emily Browning', 'Abbie Cornish', 'Jena Malone', 'Vanessa Hudgens', 'Jamie Chung']",['Zack Snyder']
Mike Birbiglia: My Girlfriend's Boyfriend,100,86,95,"['Comedy', 'Stand-Up']",TV14,1h 15m,2013,"['Mike Birbiglia', 'Seth Barrish', 'Mike Birbiglia']",['Seth Barrish']
Megamind,73,72,72,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 36m,2010,"['Will Ferrell', 'Brad Pitt', 'Tina Fey', 'Jonah Hill', 'David Cross']",['Tom Mcgrath 3']
The Rape of Europa,82,92,85,['Documentary'],,1h 57m,2006,"['Richard Berge', 'Nicole Newnham', 'Bonni Cohen', 'Richard Berge', 'Nicole Newnham']","['Richard Berge', 'Nicole Newnham', 'Bonni Cohen']"
Tekken,0,31,10,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",R,1h 32m,2010,"['Jonathan Patrick Foo', 'Kelly Overton', 'Cary-Hiroyuki Tagawa', 'Darrin Dewitt Henson', 'Luke Goss']",['Dwight Little']
The Thief and the Cobbler,56,74,61,"['Kids & Family', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",G,1h 12m,1993,"['Vincent Price', 'Matthew Broderick', 'Jennifer Beals', 'Eric Bogosian', 'Toni Collette']",['Richard Williams 5']
The Black Power Mixtape 1967-1975,92,86,90,"['Documentary', 'History', 'Drama']",,1h 40m,2011,"['Abiodun Oyewole', 'Talib Kweli', 'Ahmir ""Questlove"" Thompson', 'Angela Davis', 'Harry Belafonte']",['Goran Olsson']
Square Grouper: The Godfathers of Ganja,75,56,68,['Documentary'],R,1h 40m,2011,"['Billy Corben', 'Alfred Spellman', 'Billy Corben', 'Lindsey Snell', 'Todd Glaser']",['1173408 Billy Corben']
Wrecked,48,24,40,['Mystery & Thriller'],R,1h 31m,2011,"['Adrien Brody', 'Caroline Dhavernas', 'Ryan Robbins', 'Adrian Holmes', 'Jacob Blair']",['Michael Greenspan']
