name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Dr. Who and the Daleks,43,41,42,['Sci-Fi'],,1h 23m,1965,"['Peter Cushing', 'Roy Castle', 'Jennie Linden', 'Roberta Tovey', 'Barrie Ingham']",['Gordon Flemyng']
Salinger,37,52,42,['Documentary'],PG-13,2h 9m,2013,"['Philip Seymour Hoffman', 'Ed Norton', 'John Cusack', 'Martin Sheen', 'Tom Wolfe']",['Shane Salerno']
Breaking Up,20,39,26,"['Romance', 'Comedy', 'Drama']",R,1h 30m,1997,"['Russell Crowe', 'Salma Hayek', 'Robert Greenwald', 'Michael Cristofer', 'David Matalon']",['Robert Greenwald']
Nobody Walks,41,23,35,['Drama'],R,1h 23m,2012,"['Olivia Thirlby', 'John Krasinski', 'Rosemarie DeWitt', 'India Ennenga', 'Dylan McDermott']",['Ry Russoyoung']
Brief Encounter,91,91,91,"['Romance', 'Drama']",,1h 26m,1945,"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Cyril Raymond', 'Joyce Carey']",['David Lean']
Home Sweet Home Alone,15,12,14,"['Kids & Family', 'Holiday', 'Comedy']",PG,1h 33m,2021,"['Ellie Kemper', 'Rob Delaney', 'Archie Yates', 'Timothy Simons', 'Ally Maki']",['1174894 Dan Mazer']
Europa Report,80,57,72,"['Sci-Fi', 'Mystery & Thriller']",PG-13,1h 29m,2013,"['Sharlto Copley', 'Michael Nyqvist', 'Christian Camargo', 'Daniel Wu', 'Karolina Wydra']",['Sebastian Cordero']
From This Day Forward,100,83,94,['Biography'],,1h 15m,2015,"['Sharon Shattuck', 'Frederick Shanahan', 'Martha Shane', 'Sharon Shattuck', 'Ian Cheney']",['Sharon Shattuck']
Walk Away Renee,44,61,49,['Drama'],,1h 30m,2011,"['Jonathan Caouette', 'Charles-Marie Anthonioz', 'Christophe Audeguis', 'Jonathan Caouette', 'Gérard Lacroix']",['Jonathan Caouette']
Elfie Hopkins,0,16,5,"['Horror', 'Mystery & Thriller']",R,1h 29m,2012,"['Ray Winstone', 'Jaime Winstone', 'Kimberley Nixon', 'Kate Magowan', 'Steven Mackintosh']",['Ryan Andrews']
Solomon Kane,69,49,62,"['Adventure', 'Fantasy']",R,1h 44m,2009,"['James Purefoy', 'Max von Sydow', 'Rachel Hurd-Wood', 'Alice Krige', 'Mackenzie Crook']",['Mj Bassett']
St George's Day,18,34,23,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 49m,2012,"['Frank Harper', 'Craig Fairbrass', 'Vincent Regan', 'Ashley Walters', 'Neil Maskell']",['Frank Harper']
Good Vibrations,95,82,90,['Biography'],,1h 43m,2012,"['Dylan Moran', 'Jodie Whittaker', 'Andrew Simpson', 'Adrian Dunbar', 'Richard Dormer']","['Lisa Barros Dsa', 'Glenn Leyburn']"
Iceberg Slim: Portrait of a Pimp,67,64,66,"['Documentary', 'Biography']",R,1h 29m,2012,"['Jorge Hinojosa', 'Danny Bresnik', 'Jeff Scheftel', 'Jorge Hinojosa', 'Ice-T']",['Jorge Hinojosa']
Elephant Walk,60,50,56,['Adventure'],,1h 43m,1954,"['Elizabeth Taylor', 'Dana Andrews', 'Peter Finch', 'Abraham Sofaer', 'Abner Biberman']",['Wilhelm Dieterle']
The Mule,70,66,68,"['Crime', 'Drama']",R,1h 56m,2018,"['Clint Eastwood', 'Bradley Cooper', 'Laurence Fishburne', 'Michael Peña', 'Dianne Wiest']",['Clint Eastwood']
The Secret Kingdom,63,59,61,"['Kids & Family', 'Fantasy', 'Adventure']",PG,1h 38m,2023,"['Sam Everingham', 'Alyla Browne', 'Alice Parkinson', 'Chris Gabardi', 'Darius Williams']",['Matt Drummond']
Identity Thief,19,53,30,['Comedy'],R,1h 51m,2013,"['Jason Bateman', 'Melissa McCarthy', 'Jon Favreau', 'Amanda Peet', 'T.I.']",['Seth Gordon']
The Last Ride,47,52,48,"['Biography', 'History', 'Drama']",PG-13,1h 42m,2012,"['Henry Thomas', 'Jesse James', 'Fred Dalton Thompson', 'Kaley Cuoco', 'Stephen Tobolowsky']",['Harry Thomason']
The Most Dangerous Game,100,73,90,['Horror'],,1h 3m,1932,"['Joel McCrea', 'Fay Wray', 'Leslie Banks', 'Robert Armstrong', 'Noble Johnson']","['Irving Pichel', 'Ernest B Schoedsack']"
As I Lay Dying,38,37,37,['Drama'],R,1h 50m,2013,"['James Franco', 'Tim Blake Nelson', 'Logan Marshall-Green', 'Jim Parrack', ""Ahna O'Reilly""]",['James Franco']
April Fool's Day,57,47,53,"['Mystery & Thriller', 'Horror']",R,1h 29m,1986,"['Deborah Foreman', ""Griffin O'Neal"", 'Deborah Goodrich', 'Jay Baker', 'Pat Barlow']",['Fred Walton']
The Angels' Share,89,78,85,"['Comedy', 'Drama']",,1h 41m,2012,"['Paul Brannigan', 'John Henshaw', 'Gary Maitland', 'William Ruane', 'Jasmin Riggins']",['Kenneth Loach']
Repo! The Genetic Opera,37,73,49,"['Horror', 'Musical']",R,1h 38m,2008,"['Anthony Head', 'Alexa PenaVega', 'Paul Sorvino', 'Terrance Zdunich', 'Bill Moseley']",['Darren Lynn Bausman']
Mississippi Grind,91,55,79,['Drama'],R,1h 48m,2015,"['Ryan Reynolds', 'Ben Mendelsohn', 'Sienna Miller', 'Lio Tipton', 'Robin Weigert']","['Ryan Fleck', 'Anna Boden']"
Flight,77,75,76,"['Drama', 'Mystery & Thriller']",R,2h 18m,2012,"['Denzel Washington', 'Don Cheadle', 'Kelly Reilly', 'John Goodman', 'Bruce Greenwood']",['Robertzemickis']
