name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Stick,38,37,37,"['Crime', 'Drama']",R,1h 49m,1985,"['Burt Reynolds', 'Candice Bergen', 'George Segal', 'Charles Durning', 'José Pérez']",['Burt Reynolds']
Ass Backwards,27,18,24,['Comedy'],,1h 23m,2013,"['June Diane Raphael', 'Casey Wilson', 'Jon Cryer', ""Vincent D'Onofrio"", 'Brian Geraghty']",['Christopher Nelson']
Marty,96,87,93,"['Drama', 'Romance']",,1h 31m,1955,"['Ernest Borgnine', 'Betsy Blair', 'Joe Mantell', 'Esther Minciotti', 'Augusta Ciolli']",['Delbert Mann']
Starcrash,25,36,28,['Sci-Fi'],PG,1h 32m,1979,"['Marjoe Gortner', 'Caroline Munro', 'Christopher Plummer', 'David Hasselhoff', 'Robert Tessier']",['Luigi Cozzi 2']
The Elephant King,18,64,33,['Drama'],R,1h 32m,2006,"['Tate Ellington', 'Jonno Roberts', 'Ellen Burstyn', 'Florence Faivre', 'Josef Sommer']",['1191876 Seth Grossman']
I Hate Valentine's Day,19,28,22,"['Romance', 'Comedy']",PG-13,1h 38m,2009,"['Nia Vardalos', 'John Corbett', 'Stephen Guarino', 'Amir Arison', 'Zoe Kazan']",['Nia Vardalos']
Preacher's Kid,57,64,59,['Drama'],PG-13,1h 50m,2010,"['Letoya Luckett', 'Clifton Powell', 'Sharif Atkins', 'Gregory Alan Williams', 'Ella Joyce']",['Stan Foster']
Sorority Row,26,33,28,"['Horror', 'Mystery & Thriller']",R,1h 41m,2009,"['Briana Evigan', 'Leah Pipes', 'Rumer Willis', 'Jamie Chung', 'Audrina Patridge']",['Stewart Hendler']
Sheila Levine Is Dead and Living in New York,43,57,47,"['Romance', 'Comedy']",PG,1h 53m,1975,"['Jeannie Berlin', 'Roy Scheider', 'Rebecca Dianna Smith', 'Janet Brandt', 'Sid Melton']",['Sidney J Furie']
Whiteout,7,21,11,['Mystery & Thriller'],R,1h 41m,2009,"['Kate Beckinsale', 'Gabriel Macht', 'Tom Skerritt', 'Columbus Short', ""Alex O'Loughlin""]",['Dominic Sena']
Vengeance,81,86,82,"['Comedy', 'Mystery & Thriller', 'Drama', 'Horror']",R,1h 47m,2022,"['B.J. Novak', 'Issa Rae', 'Ashton Kutcher', 'Boyd Holbrook', 'J. Smith-Cameron']",['Bj Novak']
The Princess Switch 3: Romancing the Star,53,41,48,"['Holiday', 'Romance', 'Comedy']",,1h 46m,2021,"['Vanessa Hudgens', 'Nick Sagar', 'Remy Hii', 'Amanda Donohoe', 'Will Kemp']",['Michael Rohl']
The Soul Collector,73,74,73,['Horror'],,1h 40m,2019,"['Inge Beckmann', 'Garth Breytenbach', 'Tshamano Sebe', 'Chris April', 'Keita Luna']",['Harold Holscher']
Alien Autopsy,75,50,66,"['Comedy', 'Drama', 'Sci-Fi']",PG-13,1h 35m,2006,"['Anthony McPartlin', 'Declan Donnelly', 'Bill Pullman', 'Götz Otto', 'Morwenna Banks']",['Jonny Campbell']
A Letter to Three Wives,95,86,92,['Drama'],,1h 43m,1949,"['Jeanne Crain', 'Linda Darnell', 'Ann Sothern', 'Kirk Douglas', 'Paul Douglas']",['Joseph L Mankiewicz']
Frankie and Johnny Are Married,70,41,60,['Comedy'],R,1h 38m,2003,"['Lisa Chess', 'Michael Pressman', 'Alan Rosenberg', 'Stephen Tobolowsky', 'Jillian Armenante']",['Michael Pressman']
Two on a Guillotine,0,35,11,['Horror'],,1h 47m,1965,"['Connie Stevens', 'Dean Jones', 'Cesar Romero', 'Parley Baer', 'Virginia Gregg']",['William Conrad']
The Boys: The Sherman Brothers' Story,90,87,89,['Documentary'],PG,1h 41m,2009,"['Richard M. Sherman', 'Robert B. Sherman', 'Julie Andrews', 'Jim Dale', 'Roy E. Disney']","['Gregory V Sherman', 'Jeffrey C Sherman']"
Choking Man,52,37,47,['Drama'],,1h 24m,2006,"['Mandy Patinkin', 'Octavio Gómez Berríos', 'Eugenia Yuan', 'Aaron Paul', 'Kate Buddeke']",['Steve Barron']
Hellbenders,30,22,27,"['Comedy', 'Horror']",R,1h 26m,2012,"['Clifton Collins Jr.', 'Clancy Brown', 'Andre Royo', 'Robyn Rikoon', 'Dan Fogler']",['1149205 Jt Petty']
The Stepfather,13,34,20,"['Mystery & Thriller', 'Horror']",PG-13,1h 41m,2009,"['Dylan Walsh', 'Sela Ward', 'Penn Badgley', 'Amber Heard', 'Jon Tenney']",['Nelson Mccormick']
Rock 'n' Roll High School,81,75,79,['Musical'],PG,1h 33m,1979,"['P.J. Soles', 'Vince Van Patten', 'Clint Howard', 'Dey Young', 'Mary Woronov']","['Allan Arkush', 'Joe Dante', 'Jerry Zucker']"
The Secret of Kells,90,85,88,"['Kids & Family', 'Adventure', 'Fantasy', 'Animation']",,1h 18m,2009,"['Brendan Gleeson', 'Evan McGuire', 'Christen Mooney', 'Liam Hourican', 'Mick Lally']","['Tomm Moore', 'Nora Twomey 2']"
Restrepo,96,88,93,"['Documentary', 'Biography', 'History', 'Drama', 'War']",R,1h 33m,2010,"['Dan Kearney', 'LaMonta Caldwell', 'Misha Pemble-Belkin', ""Brendan O'Byrne"", 'Mark Patterson']","['Tim Hetherington', 'Sebastian Junger']"
Eating Out 2: Sloppy Seconds,44,63,50,"['Romance', 'Comedy', 'LGBTQ+']",,1h 18m,2006,"['Jim Verraros', 'Emily Brooke Hands', 'Rebekah Kochan', 'Marco Dapper', 'Brett Chukerman']",['Phillipjbartell']
Largo Winch,50,49,49,"['Adventure', 'Mystery & Thriller']",,1h 48m,2008,"['Tomer Sisley', 'Kristin Scott Thomas', 'Miki Manojlovic', 'Mélanie Thierry', 'Gilbert Melki']",['Jerome Salle']
