name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Big River Man,91,74,85,['Documentary'],,1h 40m,2009,"['Matthew Mohlke', 'Borut Strel', 'Martin Strel', 'John Maringouin', 'Amazon John Easterling']",['John Maringouin']
Fred: The Movie,0,39,13,"['Kids & Family', 'Comedy', 'Musical']",TVPG,1h 30m,2010,"['Lucas Cruikshank', 'Jennette McCurdy', 'John Cena', 'Pixie Lott', 'Siobhan Fallon Hogan']",['Clay Weiner']
Pretty Maids All in a Row,8,48,21,"['Mystery & Thriller', 'Comedy']",R,1h 32m,1971,"['Rock Hudson', 'Angie Dickinson', 'Telly Savalas', 'John David Carson', 'Roddy McDowall']",['Roger Vadim']
Kitten With a Whip,67,36,56,['Drama'],,1h 23m,1964,"['Ann-Margret', 'John Forsythe', 'Peter Brown', 'Doug Heyes']",['Doug Heyes']
The Obituary of Tunde Johnson,95,54,81,"['Drama', 'Mystery & Thriller', 'LGBTQ+']",,1h 44m,2019,"['Steven Silver', 'Spencer Neville', 'Nicola Peltz', 'Sammi Rotibi', 'David James Elliott']",['Ali Leroi 4']
Harlem Aria,10,50,23,['Drama'],R,1h 40m,1999,"['Damon Wayans', 'Gabriel Casseus', 'Christian Camargo', 'Malik Yoba', 'Paul Sorvino']",['William Jennings']
2012,39,47,41,"['Action', 'Mystery & Thriller', 'Drama']",PG-13,2h 38m,2009,"['John Cusack', 'Chiwetel Ejiofor', 'Amanda Peet', 'Oliver Platt', 'Thandiwe Newton']",['Roland Emmerich']
Survival of the Dead,29,20,26,['Horror'],R,1h 28m,2009,"['Alan Van Sprang', 'Kenneth Welsh', 'Kathleen Munroe', 'Devon Bostick', 'Richard Fitzpatrick']",['George Romero']
The Art of the Steal,45,39,43,['Comedy'],R,1h 30m,2013,"['Kurt Russell', 'Matt Dillon', 'Jay Baruchel', 'Katheryn Winnick', 'Chris Diamantopoulos']",['Jonathan Sobol']
The Human Comedy,83,69,78,"['Comedy', 'Drama']",,1h 58m,1943,"['Mickey Rooney', 'Frank Morgan', 'James Craig', 'Jackie ""Butch"" Jenkins', 'Marsha Hunt']",['Clarence Brown']
"New York, I Love You",37,37,37,"['Drama', 'Romance']",R,1h 43m,2009,"['Shia LaBeouf', 'Natalie Portman', 'Blake Lively', 'Orlando Bloom', 'Hayden Christensen']","['Faith Akin', 'Yvan Attal', 'Allen Hughes', 'Shunji Iwai']"
Multiple Sarcasms,9,24,14,['Drama'],R,1h 37m,2010,"['Timothy Hutton', 'Mira Sorvino', 'Dana Delany', 'Mario Van Peebles', 'India Ennenga']",['Brooks Branch 3']
Bachelor Mother,100,89,96,"['Romance', 'Comedy']",,1h 21m,1939,"['Ginger Rogers', 'David Niven', 'Charles Coburn', 'Frank Albertson', 'E.E. Clive']",['Garson Kanin']
Soundtrack for a Revolution,81,78,80,"['Documentary', 'History', 'Drama', 'Music']",,1h 22m,2009,"['John Legend', 'Wyclef Jean', 'Joss Stone', 'Richie Havens', 'Anthony Hamilton']","['Bill Guttentag', 'Dan Sturman']"
Sweet Home Alabama,38,78,51,"['Romance', 'Comedy']",PG-13,1h 48m,2002,"['Reese Witherspoon', 'Josh Lucas', 'Patrick Dempsey', 'Candice Bergen', 'Mary Kay Place']",['Andy Tennant']
Leaves of Grass,63,49,58,"['Comedy', 'Drama']",R,1h 44m,2009,"['Ed Norton', 'Keri Russell', 'Richard Dreyfuss', 'Susan Sarandon', 'Melanie Lynskey']",['Tim Blake Nelson']
Babies,68,62,66,['Documentary'],PG,1h 19m,2010,"['Thomas Balmès', 'Alain Chabat', 'Thomas Balmès', 'Alain Chabat', 'Amandine Billot']",['Thomas Balmes']
The African Queen,96,86,92,['Adventure'],PG,1h 45m,1951,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull', 'Theodore Bikel']",['John Huston']
The Horseman,60,58,59,['Mystery & Thriller'],R,1h 50m,2008,"['Peter Marshall', 'Caroline Marohasy', 'Brad McMurray', 'Jack Henry', 'Christopher Sommers']",['770844150']
American Radical: The Trials of Norman Finkelstein,100,87,95,"['Documentary', 'Biography', 'Mystery & Thriller', 'War']",,1h 24m,2009,"['David Ridgen', 'Nicolas Rossier']","['David Ridgen', 'Nicolas Rossier']"
