name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Drowning by Numbers,88,89,88,['Comedy'],R,1h 59m,1988,"['Bernard Hill', 'Joan Plowright', 'Juliet Stevenson', 'Joely Richardson', 'Jason Edwards']",['Peter Greenaway']
A New Kind of Love,13,49,25,['Comedy'],,1h 50m,1963,"['Paul Newman', 'Joanne Woodward', 'Thelma Ritter', 'Eva Gabor', 'George Tobias']",['Melville Shavelson']
Curse of the Golden Flower,66,65,65,"['History', 'Drama', 'Romance']",R,1h 54m,2006,"['Chow Yun-Fat', 'Gong Li', 'Jay Chou', 'Ye Liu', 'Chen Jin']",['Zhang Yimou']
Following,84,85,84,['Mystery & Thriller'],R,1h 9m,1998,"['Jeremy Theobald', 'Alex Haw', 'Lucy Russell', 'John Nolan', 'Christopher Nolan']",['Christopher Nolan']
Rally Road Racers,73,78,74,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 33m,2023,"['Jimmy O. Yang', 'J.K. Simmons', 'Chloe Bennet', 'Lisa Lu', 'Sharon Horgan']",['Ross Venokur']
John Tucker Must Die,28,69,41,"['Romance', 'Comedy']",PG-13,1h 29m,2006,"['Jesse Metcalfe', 'Sophia Bush', 'Ashanti', 'Jenny McCarthy', 'Brittany Snow']",['Betty Thomas']
Revenge of the Electric Car,69,70,69,['Documentary'],PG-13,1h 30m,2011,"['Tim Robbins', 'Chris Paine', 'Chris Paine', 'P.G. Morgan', 'Stefano Durdic']",['Chris Paine']
Avatar: The Way of Water,76,92,81,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",PG-13,3h 12m,2022,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Cliff Curtis']",['James Cameron']
Lonesome,100,46,81,"['Drama', 'LGBTQ+']",,1h 35m,2022,"['Josh Lavery', 'Daniel Gabriel', 'Anni Finsterer', 'Ian Roberts', 'Craig Boreham']",['Craig Boreham']
This Land Is Mine,71,81,74,['Drama'],,1h 43m,1943,"['Charles Laughton', ""Maureen O'Hara"", 'George Sanders', 'Walter Slezak', 'Kent Smith']",['Jean Renoir']
Stuck Between Stations,63,63,63,['Romance'],R,1h 25m,2011,"['Sam Rosen', 'Zoe Lister Jones', 'Michael Imperioli', 'Josh Hartnett', 'Nadia Dajani']",['Brady Kiernan 5']
Thirty-Two Short Films About Glenn Gould,92,87,90,['Drama'],,1h 33m,1993,"['Colm Feore', 'Gale Garnett', 'Katya Ladan', 'David Hughes', 'Gerry Quigley']",['Francois Girard 2']
"Good Luck to You, Leo Grande",94,84,90,"['Comedy', 'Drama']",R,1h 37m,2022,"['Emma Thompson', 'Daryl McCormack', 'Isabella Laughland', 'Charlotte Ware', 'Carina Lopes']",['Sophie Hyde']
Damsels in Distress,76,39,63,['Comedy'],PG-13,1h 39m,2011,"['Greta Gerwig', 'Adam Brody', 'Lio Tipton', 'Megalyn Echikunwoke', 'Carrie MacLemore']",['Whit Stillman']
The Queen of Versailles,95,73,87,['Documentary'],PG,1h 40m,2012,"['Lorraine Barrett', 'Jaqueline Siegel', 'Lauren Greenfield', 'Lauren Greenfield', 'Danielle Renfrew Behrens']",['1199174 Lauren Greenfield']
Die! Die! My Darling!,50,57,52,['Horror'],,1h 37m,1965,"['Tallulah Bankhead', 'Stefanie Powers', 'Peter Vaughan', 'Maurice Kaufmann', 'Yootha Joyce']",['Silvio Narizzano']
Love Etc.,50,57,52,['Documentary'],,1h 35m,2010,"['Jill Andresevic', 'Jill Andresevic', 'Jeffrey Stewart', 'Chiemi Karasawa', 'Jonathan Tisch']",['Jill Andresevic']
Rudolph the Red-Nosed Reindeer: The Movie,40,58,46,"['Holiday', 'Musical', 'Animation']",G,1h 30m,1998,"['John Goodman', 'Eric Idle', 'Bob Newhart', 'Debbie Reynolds', 'Richard Simmons']",['William R Kowalchuk Jr']
Hoot,26,54,35,"['Kids & Family', 'Comedy', 'Adventure']",PG,1h 27m,2006,"['Luke Wilson', 'Logan Lerman', 'Brie Larson', 'Cody Linley', 'Jimmy Buffett']",['Wil Shriner']
The Long Night,35,24,31,['Horror'],R,1h 31m,2022,"['Scout Taylor-Compton', 'Nolan Gerard Funk', 'Deborah Kara Unger', 'Jeff Fahey', 'Scott Daniel']",['Rich Ragsdale']
21 Jump Street,85,83,84,"['Comedy', 'Action']",R,1h 50m,2012,"['Jonah Hill', 'Channing Tatum', 'Brie Larson', 'Dave Franco', 'Rob Riggle']","['Phil Lord', 'Christopher Miller']"
The Baby-Sitters Club,67,47,60,"['Kids & Family', 'Drama']",PG,1h 34m,1995,"['Schuyler Fisk', 'Bre Blair', 'Rachael Leigh Cook', 'Larisa Oleynik', 'Tricia Joe']",['Melanie Mayron']
The Story of a Three-Day Pass,100,91,96,['Drama'],,1h 27m,1967,"['Harry Baird', 'Nicole Berger', 'Christian Marin', 'Pierre Doris', 'Hal Brav']",['Melvin Van Peebles']
Chimpanzee,74,75,74,['Documentary'],G,1h 18m,2012,"['Tim Allen', 'Alastair Fothergill', 'Mark Linfield', 'Alastair Fothergill', 'Mark Linfield']","['Alastair Fothergill', 'Mark Linfield 57']"
Littlerock,82,70,78,['Drama'],,1h 23m,2010,"['Atsuko Okatsuka', 'Rintaro Sawamoto', 'Brett L. Tinnes', 'Cory Zacharia', 'Roberto Sanchez']",['Mike Ott']
Night of the Living Dead,95,87,92,['Horror'],,1h 36m,1968,"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman', 'Keith Wayne', 'Judith Ridley']",['George Romero']
Hellraiser: Revelations,0,6,2,['Horror'],R,1h 15m,2011,"['Steven Brand', 'Jolene Andersen', 'Nick Eversman', 'Jay Gillespie', 'Stephan Smith Collins']",['Victor Garcia 5']
High School,28,48,34,['Comedy'],R,1h 39m,2010,"['Adrien Brody', 'Sean Marquette', 'Matt Bush', 'Colin Hanks', 'Michael Chiklis']",['John Stalberg Jr']
Chronicle,85,72,80,"['Drama', 'Sci-Fi', 'Mystery & Thriller']",PG-13,1h 24m,2012,"['Dane DeHaan', 'Alex Russell', 'Michael B. Jordan', 'Michael Kelly', 'Ashley Hinshaw']",['Josh Trank 2']
The Solid Gold Cadillac,100,70,89,['Comedy'],,1h 39m,1956,"['Judy Holliday', 'Paul Douglas', 'Fred Clark', 'John Williams', 'Hiram Sherman']","['Richard Quine', 'Abe Burrows']"
The Rainmaker,80,64,74,['Drama'],,2h 1m,1956,"['Burt Lancaster', 'Katharine Hepburn', 'Wendell Corey', 'Lloyd Bridges', 'Earl Holliman']",['Joseph Anthony 5']
Carol Channing: Larger Than Life,90,87,89,['Documentary'],PG,1h 23m,2011,"['Dori Berinstein', 'Dori Berinstein', 'Adam Zucker', 'Dori Berinstein', 'Craig Sharmat']",['Dori Bernstein']
Machine Gun Preacher,29,62,40,"['Drama', 'Biography']",R,2h 7m,2011,"['Gerard Butler', 'Michelle Monaghan', 'Michael Shannon', 'Kathy Baker', 'Souléymane Sy Savané']",['Marc Forster']
Maid in Manhattan,38,44,40,"['Romance', 'Comedy']",PG-13,1h 45m,2002,"['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson', 'Stanley Tucci', 'Bob Hoskins']",['Wayne Wang']
Kat and the Band,60,80,66,"['Comedy', 'Music']",,1h 32m,2019,"['Ella Hunt', 'Dougie Poynter', 'Katherine Kelly', 'Joanna David', 'Gareth Hale']",['Ee Hegarty']
Telling Lies in America,61,45,55,['Drama'],PG-13,1h 41m,1997,"['Kevin Bacon', 'Brad Renfro', 'Maximilian Schell', 'Calista Flockhart', 'Paul Dooley']",['Guy Ferland']
Perfect Strangers,29,29,29,['Mystery & Thriller'],PG-13,1h 36m,2003,"['Sam Neill', 'Rachael Blake', 'Joel Tobeck', 'Robyn Malcolm', 'Madeleine Sami']",['Gaylene Preston']
The Son of No One,16,22,18,"['Crime', 'Drama']",R,1h 35m,2011,"['Channing Tatum', 'Al Pacino', 'Juliette Binoche', 'Tracy Morgan', 'Katie Holmes']",['1168035 Dito Montiel']
The Adjuster,73,72,72,['Drama'],R,1h 42m,1991,"['Elias Koteas', 'Arsinée Khanjian', 'Maury Chaykin', 'Gabrielle Rose', 'Jennifer Dale']",['Atom Egoyan']
Tower Heist,67,48,60,"['Comedy', 'Adventure']",PG-13,1h 45m,2011,"['Ben Stiller', 'Eddie Murphy', 'Casey Affleck', 'Alan Alda', 'Matthew Broderick']",['Brett Ratner']
Largo Winch,50,49,49,"['Adventure', 'Mystery & Thriller']",,1h 48m,2008,"['Tomer Sisley', 'Kristin Scott Thomas', 'Miki Manojlovic', 'Mélanie Thierry', 'Gilbert Melki']",['Jerome Salle']
11-11-11,8,12,9,"['Horror', 'Mystery & Thriller']",PG-13,1h 22m,2011,"['Timothy Gibbs', 'Michael Landes', 'Wendy Glenn', 'Lluis Soler', 'Brendan Price']",['Darren Lynn Bausman']
Dragonslayer,90,61,80,['Documentary'],,1h 13m,2011,"[""Josh 'Skreech' Sandoval"", 'Tristan Patterson', 'Christine Vachon', 'Thomas Fanning', 'John Baker']",['Tristan Patterson']
"Dancer, Texas Pop. 81",80,71,77,['Comedy'],PG,1h 35m,1998,"['Breckin Meyer', 'Peter Facinelli', 'Eddie Mills', 'Ethan Embry', 'Ashley Johnson']",['Tim Mccanlies']
Swinging With the Finkels,0,20,6,"['Comedy', 'Romance']",R,1h 25m,2010,"['Mandy Moore', 'Melissa George', 'Jerry Stiller', 'Jonathan Silverman', 'Edward Akrout']",['Jonathan Newman']
