name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
The Cage Fighter,94,46,78,['Documentary'],,1h 21m,2017,"['Joe Carman', 'Jeff Unay', 'Andrea Meditch', 'James Orara', 'Jeff Unay']",['Jeff Unay']
Strange Weather,56,55,55,['Drama'],R,1h 31m,2016,"['Holly Hunter', 'Carrie Coon', 'Kim Coates', 'Glenne Headly', 'Shane Jacobsen']",['Katherine Dieckmann']
Welcome Home,10,25,14,['Mystery & Thriller'],R,1h 37m,2018,"['Aaron Paul', 'Emily Ratajkowski', 'Riccardo Scamarcio', 'Katy Louise Saunders', 'Alice Bellagamba']",['George Ratliff']
Beast of Burden,25,9,19,"['Mystery & Thriller', 'Action']",R,1h 29m,2018,"['Daniel Radcliffe', 'Grace Gummer', 'Pablo Schreiber', 'Robert Wisdom', 'César Pérez']",['Jesper Ganslandt']
Cardinals,85,88,86,"['Crime', 'Drama']",,1h 24m,2017,"['Sheila McCarthy', 'Katie Boland', 'Grace Glowicki', 'Noah Reid', 'Peter MacNeill']","['Grayson Moore', 'Aidan Shipley']"
Love,42,39,41,"['Drama', 'Romance']",,2h 14m,2015,"['Karl Glusman', 'Aomi Muyock', 'Klara Kristin', 'Juan Saavedra', 'Jean Couteau']",['Gaspar Noe']
Bobbi Jene,61,67,63,['Documentary'],,1h 35m,2017,"['Bobbi Jene Smith', 'Elvira Lind', 'Elvira Lind', 'Adam Nielsen', 'Sara Stockmann']",['Elvira Lind']
Abbott and Costello Meet Dr. Jekyll & Mr. Hyde,63,62,62,['Comedy'],,1h 17m,1953,"['Bud Abbott', 'Lou Costello', 'Boris Karloff', 'Craig Stevens', 'Reginald Denny']",['Charles Lamont']
Kill Me Please,65,31,53,"['Horror', 'Drama', 'Mystery & Thriller']",,1h 44m,2015,"['Valentina Herszage', 'Dora Freind', 'Mariana Oliveira', 'Júlia Roliz', 'Rita Pauls']",['Anita Rocha Da Silveira']
DriverX,50,86,61,"['Comedy', 'Drama']",,1h 38m,2017,"['Patrick Fabian', 'Tanya Clarke', 'Desmin Borges', 'Travis Schuldt', 'Venice Weaver']",['Henry Barrial']
My Art,61,30,50,"['Comedy', 'Drama']",,1h 26m,2016,"['Parker Posey', 'Lena Dunham', 'John Rothman', 'Josh Safdie', 'Robert Clohessy']",['Laurie Simmons']
Come See the Paradise,64,73,67,['Drama'],R,2h 14m,1990,"['Dennis Quaid', 'Tamlyn Tomita', 'Sab Shimono', 'Shizuko Hoshi', 'Stan Egi']",['1042742 Alan Parker']
Song of Back and Neck,69,45,61,['Comedy'],,1h 25m,2018,"['Paul Lieberstein', 'Rosemarie DeWitt', ""Brian d'Arcy James"", 'Robert Pine', 'Clark Duke']",['Paul Lieberstein']
Over the Limit,100,79,92,['Documentary'],,1h 13m,2017,"['Margarita Mamun', 'Marta Prus', 'Marta Prus', 'Anna Kepinska', 'Maciej Kubicki']",['Marta Prus']
40 Years in the Making: The Magic Music Movie,93,97,94,['Documentary'],,1h 39m,2017,"['Chris Daniels', 'Lee Aronsohn', 'Lee Aronsohn', 'Fleur Saville', 'Jeff Jampol']",['Lee Aronsohn']
