name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Extremity,100,38,79,['Horror'],,1h 38m,2018,"['Dana Christina', 'Ashley Smith', 'Chad Rook', 'Tiffany Shepis', 'Natalie Victoria']",['Anthony Diblasi']
Nostalgia,89,72,83,['Drama'],,1h 58m,2022,"['Pierfrancesco Favino', 'Francesco Di Leva', 'Tommaso Ragno', 'Aurora Quattrocchi', 'Nello Mascia']",['Mario Martone']
Hereditary,90,70,83,"['Horror', 'Mystery & Thriller']",R,2h 7m,2018,"['Toni Collette', 'Gabriel Byrne', 'Alex Wolff', 'Ann Dowd', 'Milly Shapiro']",['Ari Aster']
Dragonfly,7,62,25,['Mystery & Thriller'],PG-13,1h 43m,2002,"['Kevin Costner', 'Joe Morton', 'Ron Rifkin', 'Linda Hunt', 'Susanna Thompson']",['Tom Shadyac']
Ghostland,55,58,56,['Horror'],,1h 31m,2018,"['Crystal Reed', 'Anastasia Phillips', 'Emilia Jones', 'Taylor Hickson', 'Mylène Farmer']",['Pascal Laugier']
Bad Times at the El Royale,75,75,75,"['Mystery & Thriller', 'Crime', 'Drama']",R,2h 21m,2018,"['Jeff Bridges', 'Cynthia Erivo', 'Jon Hamm', 'Dakota Johnson', 'Cailee Spaeny']",['Drew Goddard']
The Holiday Calendar,33,43,36,"['Holiday', 'Romance', 'Comedy', 'Fantasy']",TVPG,1h 34m,2018,"['Kat Graham', 'Ethan Peck', 'Quincy Brown', 'Ron Cephas Jones', 'Genelle Williams']",['Bradley Walsh']
Phantom,25,34,27,['Mystery & Thriller'],R,1h 38m,2013,"['Ed Harris', 'David Duchovny', 'William Fichtner', 'Lance Henriksen', 'Johnathon Schaech']",['Todd Robinson']
The Disaster Artist,91,85,89,"['Comedy', 'Drama']",R,1h 43m,2017,"['James Franco', 'Dave Franco', 'Seth Rogen', 'Zac Efron', 'Alison Brie']",['James Franco']
The Family I Had,100,80,93,['Documentary'],,1h 17m,2017,"['Katie Green', 'Carlye Rubin', 'Christopher Clements', 'Anna Godas', 'Julie Goldman']","['Katie Green', 'Carlye Rubin']"
Rock in the Red Zone,63,57,61,['Biography'],,1h 30m,2015,"['Laura Bialis', 'Laura Bialis']",['Laura Bialis']
