name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
Berlin,78,85,80,"['Documentary', 'Music']",,1h 21m,2007,"['Emmanuelle Seigner', 'Lou Reed', 'Anohni', 'Brooklyn Youth Chorus', 'Rob Wasserman']",['Julian Schnabel'],37664,9174,46838,0
Paranormal Activity: The Marked Ones,39,34,37,"['Horror', 'Mystery & Thriller']",R,1h 24m,2014,"['Andrew Jacobs', 'Jorge Diaz', 'Gabrielle Walsh', 'Richard Cabral', 'Carlos Pratts']",['Christopher Landon'],13261851,14928752,28190603,26000000
A Little Bit of Heaven,4,52,20,"['Comedy', 'Drama', 'Romance']",PG-13,1h 46m,2011,"['Kate Hudson', 'Gael García Bernal', 'Kathy Bates', 'Lucy Punch', 'Romany Malco']",['Nicole Kassell'],858373000,1941066100,2799439100,356000000
The Captive City,70,67,69,"['Crime', 'Drama']",,1h 31m,1952,"['John Forsythe', 'Joan Camden', 'Harold J. Kennedy', 'Ray Teal', 'Marjorie Crossland']",['Robert Wise'],2540965,166872,2707837,0
The Wrath of God,38,30,35,"['Mystery & Thriller', 'Drama']",,1h 30m,2022,"['Juan Minujín', 'Macarena Achaga', 'Diego Peretti', 'Sebastián Schindel', 'Pablo Del Teso']",['Sebastian Schindel'],676407,0,676407,0
Amateur Night,0,25,8,['Comedy'],,1h 33m,2016,"['Jason Biggs', 'Janet Montgomery', 'Jenny Mollen', 'Bria L. Murphy', 'Ashley Tisdale']","['Lisa Addario', 'Joe Syracuse']",0,0,0,0
Batman: Return of the Caped Crusaders,94,68,85,"['Action', 'Adventure', 'Animation']",PG,1h 18m,2016,"['Adam West', 'Burt Ward', 'Julie Newmar', 'Wally Wingert', 'Rick Morales']",['Rick Morales 2'],673151,101629,774780,0
The Widowmaker,100,77,92,['Documentary'],,1h 35m,2015,"['Gillian Anderson', 'Patrick Forbes', 'Patrick Forbes', 'Stephanie Collins', 'Mark Bentley']",['Patrick Forbes'],132555,0,132555,0
Stations of the Elevated,100,33,77,['Documentary'],,46m,1981,"['Manfred Kirchheimer', 'Charles Mingus']",['Manny Kirchheimer'],132555,0,132555,0
Batman vs. Two-Face,100,61,86,"['Action', 'Comedy', 'Animation']",PG,1h 12m,2017,"['Adam West', 'William Shatner', 'Burt Ward', 'Julie Newmar', 'Steven Weber']",['Rick Morales 2'],132555,0,132555,0
