name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
The Miseducation of Cameron Post,86,76,82,"['Drama', 'LGBTQ+']",,1h 31m,2018,"['Chloë Grace Moretz', 'Marin Ireland', 'Jennifer Ehle', 'Quinn Shephard', 'John Gallagher Jr.']",['Desiree Akhavan'],130319208,100366245,230685453,80000000
Skate Kitchen,89,76,84,['Drama'],R,1h 46m,2018,"['Rachelle Vinberg', 'Dede Lovelace', 'Nina Moran', 'Jaden Smith', 'Elizabeth Rodriguez']",['Crystal Moselle'],2043889,0,2043889,0
The Head Hunter,95,52,80,"['Horror', 'Fantasy', 'Adventure']",,1h 12m,2018,"['Christopher Rygh', 'Cora Kaufman', 'Aisha Ricketts', 'Jordan Downey', 'Jordan Downey']",['Jordan Downey'],7362439,1940583,9303022,0
Black Mother,97,43,78,['Documentary'],,1h 17m,2018,"['Khalik Allah', 'Khalik Allah', 'Leah Giblin', 'Khalik Allah', 'Khalik Allah']",['Khalik Allah'],519305,0,519305,0
Ten Years Thailand,100,80,93,['Drama'],,1h 35m,2018,"['Aditya Assarat', 'Wisit Sasanatieng', 'Chulayarnnon Siriphol', 'Andrew Choi', 'Lorraine MA']","['Aditya Assarat 4', 'Wisit Sasanatieng', 'Chulayarnnon Siriphol']",132555,0,132555,0
Hellraiser: Judgment,31,27,29,['Horror'],,1h 21m,2018,"['Paul T. Taylor', 'Randy Wayne', 'Rheagan Wallace', 'Alexandra Harris', 'John Gulager']",['Gary J Tunnicliffe'],100345,1843942,1944287,0
The Most Unknown,83,62,76,['Documentary'],,1h 28m,2018,"['Anil Seth', 'Laurie Santos', 'Ian Cheney', 'Greg Boustead', 'Thobey Campion']",['Ian Cheney'],4055660,3295401,7351061,0
Annihilation,88,67,81,"['Sci-Fi', 'Adventure', 'Mystery & Thriller']",R,1h 55m,2018,"['Natalie Portman', 'Jennifer Jason Leigh', 'Gina Rodriguez', 'Tessa Thompson', 'Tuva Novotny']",['Alex Garland'],13110903,0,13110903,0
All These Small Moments,83,71,79,['Drama'],,1h 25m,2018,"['Molly Ringwald', ""Brian d'Arcy James"", 'Brendan Meyer', 'Sam McCarthy', 'Harley Quinn Smith']",['Melissa B Miller Costanzo'],4055660,3295401,7351061,0
Kayak to Klemtu,50,62,53,['Adventure'],,1h 30m,2018,"['Evan Adams', 'Jared Ager-Foster', 'Carmel Amit', 'Sonja Bennett', ""Ta'kaiya Blaney""]",['Zoe Leigh Hopkins'],35014192,6083661,41097853,8000000
Donnybrook,39,31,36,"['Mystery & Thriller', 'Drama']",R,1h 42m,2018,"['Jamie Bell', 'Frank Grillo', 'Margaret Qualley', 'James Badge Dale', 'Pat Healy']",['Tim Sutton'],13261851,14928752,28190603,26000000
Always at the Carlyle,58,66,60,['Documentary'],PG-13,1h 32m,2018,"['George Clooney', 'Sofia Coppola', 'Tommy Lee Jones', 'Jeff Goldblum', 'Anjelica Huston']",['Matthew Miele'],117540947,122490327,240031274,70000000
Irreplaceable You,32,60,41,"['Comedy', 'Drama', 'Romance']",,1h 36m,2018,"['Gugu Mbatha-Raw', 'Michiel Huisman', 'Steve Coogan', 'Christopher Walken', 'Claire Holt']",['Stephanie Laing'],8968845,0,8968845,0
Stella's Last Weekend,68,66,67,"['Romance', 'Comedy', 'Drama']",,1h 42m,2018,"['Nat Wolff', 'Alex Wolff', 'Polly Draper', 'Paulina Singer', 'Nick Sandow']",['Polly Draper'],0,0,0,0
Half the Picture,100,67,88,['Documentary'],,1h 34m,2018,"['Ava DuVernay', 'Lena Dunham', 'Joey Soloway', 'Rosanna Arquette', 'Jamie Babbit']",['Amy Adrion'],132555,0,132555,0
Supercon,23,29,25,"['Comedy', 'Action']",R,1h 40m,2018,"['Maggie Grace', 'Clancy Brown', 'John Malkovich', 'Ryan Kwanten', 'Mike Epps']",['Zak Knutson'],549185,0,549185,0
Backtrace,8,23,13,"['Action', 'Mystery & Thriller']",R,1h 27m,2018,"['Sylvester Stallone', 'Matthew Modine', 'Meadow Williams', 'Jesse Pruett', 'Swen Temmel']",['Brian Miller 4'],116750901,126124177,242875078,41000000
Becoming Iconic,50,99,66,['Documentary'],,1h 30m,2018,"['Jodie Foster', 'Jonathan Baker', 'Taylor Hackford', 'Adrian Lyne', 'John Badham']",['Neal Thibedeau'],35014192,6083661,41097853,8000000
Quezon's Game,45,94,61,"['Drama', 'History']",,2h 7m,2018,"['Raymond Bagatsing', 'Rachel Alejandro', 'Kate Alejandrino', 'Billy Ray Gallion', 'David Bianco']",['Matthew E Rosen'],171339,0,171339,0
Profile,61,75,65,"['Mystery & Thriller', 'Drama']",R,1h 45m,2018,"['Valene Kane', 'Shazad Latif', 'Christine Adams', 'Emma Cater', 'Amir Rahimzadeh']",['Timur Bekmambetov'],4227648,0,4227648,0
Head Full of Honey,0,74,24,['Drama'],PG-13,2h 19m,2018,"['Nick Nolte', 'Matt Dillon', 'Emily Mortimer', 'Sophia Lane Nolte', 'Jacqueline Bisset']",['Til Schweiger'],0,0,0,0
Capernaum,90,93,91,['Drama'],R,2h 10m,2018,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawthar Al Haddad', 'Fadi Yousef']",['Nadine Labaki'],7362439,1940583,9303022,0
Moynihan,86,67,79,['Documentary'],,1h 42m,2018,"['Jeffrey Wright', 'Joseph Dorman', 'Toby Perl Freilich', 'Joseph Dorman', 'Joseph Dorman']","['Joseph Dorman', 'Toby Perl Freilich']",130319208,100366245,230685453,80000000
Vox Lux,62,37,53,"['Drama', 'Music']",R,1h 50m,2018,"['Natalie Portman', 'Raffey Cassidy', 'Jude Law', 'Stacy Martin', 'Christopher Abbott']",['Brady Corbet'],115000000,889,115000889,0
Andy Irons: Kissed by God,100,83,94,['Documentary'],,1h 55m,2018,"['Bruce Irons', 'Lyndie Irons', 'Kelly Slater', 'Steve Jones', 'Todd Jones']","['Steve Jones 3', 'Todd Jones 3']",132555,0,132555,0
"Paul, Apostle of Christ",48,83,59,['Drama'],PG-13,1h 48m,2018,"['Jim Caviezel', 'James Faulkner', 'Olivier Martinez', 'Joanne Whalley', 'John Lynch']",['Andrew Hyatt'],78868508,0,78868508,0
Hesburgh,82,100,88,['Documentary'],,1h 44m,2018,"['Leon Panetta', 'Ted Koppel', 'Newton Minow', 'Patrick Creadon', 'Nick Andert']",['Patrick Creadon'],829,0,829,0
Mr. Soul!,96,71,87,['Documentary'],,1h 30m,2018,"['Blair Underwood', 'Melissa Haizlip', 'Samuel D. Pollard', 'Melissa Haizlip', 'Blair Underwood']","['Melissa Haizlip', 'Samuel D Pollard']",616333,0,616333,0
Fifty Shades Freed,11,38,20,"['Romance', 'Drama']",R,1h 45m,2018,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Rita Ora', 'Luke Grimes']",['James Foley'],183417150,267300000,450717150,85000000
The White Crow,67,80,71,"['Biography', 'History', 'Drama']",R,2h 7m,2018,"['Oleg Ivenko', 'Adèle Exarchopoulos', 'Ralph Fiennes', 'Raphaël Personnaz', 'Chulpan Khamatova']",['Ralph Fiennes'],5743,0,5743,0
Sgt. Stubby: An American Hero,89,92,90,"['Kids & Family', 'Adventure', 'War', 'Animation']",PG,1h 24m,2018,"['Logan Lerman', 'Helena Bonham Carter', 'Gérard Depardieu', 'Jordan Beck', 'Jim Pharr']",['Richard Lanni'],2043889,0,2043889,0
Sergio and Sergei,86,67,79,['Drama'],,1h 33m,2018,"['Tomás Cao', 'Héctor Noas', 'Ron Perlman', 'Yuliet Cruz', 'Mario Guerra']",['Ernesto Daranas'],130319208,100366245,230685453,80000000
