name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
China Seas,80,73,77,['Adventure'],,1h 27m,1935,"['Clark Gable', 'Jean Harlow', 'Wallace Beery', 'Lewis Stone', 'Rosalind Russell']",['Tay Garnett']
The Long Way Home,100,83,94,['Documentary'],,1h 50m,1997,"['Morgan Freeman', 'Marvin Hier', 'Richard Trank', 'Mark Jonathan Harris', 'Mark Jonathan Harris']",['Mark Jonathan Harris']
Kubo and the Two Strings,97,86,93,"['Kids & Family', 'Fantasy', 'Adventure', 'Action', 'Animation']",PG,1h 42m,2016,"['Charlize Theron', 'Art Parkinson', 'Ralph Fiennes', 'George Takei', 'Cary-Hiroyuki Tagawa']",['Travis Knight']
Offseason,68,17,50,"['Horror', 'Mystery & Thriller']",,1h 23m,2021,"['Jocelin Donahue', 'Joe Swanberg', 'Richard Brake', 'Melora Walters', 'Jeremy Gardner']",['Mickey Keating']
Welcome to the Punch,47,36,43,"['Action', 'Crime', 'Drama']",R,1h 39m,2013,"['James McAvoy', 'Mark Strong', 'Peter Mullan', 'Andrea Riseborough', 'David Morrissey']",['770831261']
Stranded,0,9,3,"['Horror', 'Sci-Fi']",,1h 25m,2013,"['Christian Slater', 'Brendan Fehr', 'Amy Matysio', 'Michael Therriault', 'Ryland Alexander']",['Roger Christian']
A Scandal in Paris,75,62,70,['Drama'],,1h 40m,1946,"['George Sanders', 'Signe Hasso', 'Carole Landis', 'Akim Tamiroff', 'Gene Lockhart']",['Douglas Sirk']
Black Mountain Side,80,39,66,"['Horror', 'Mystery & Thriller']",,1h 39m,2013,"['Marc Williams', 'Andrew Moxham', 'Steve Bradley', 'Bryce McLaughlin', 'Shane Twerdun']",['Nick Szostakiwskyj']
French Film,50,58,52,"['Romance', 'Comedy']",,1h 28m,2008,"['Éric Cantona', 'Hugh Bonneville', 'Anne-Marie Duff', 'Jean Dell', 'Victoria Hamilton']",['Jackie Oudney']
Florent: Queen of the Meat Market,83,56,74,['Documentary'],,1h 27m,2010,"['Joseph Arias', 'Nora Burns', 'Robin Byrd', 'Christo', 'Frank DeCaro']",['David Sigal']
Suffragette,73,68,71,"['Biography', 'History', 'Drama']",PG-13,1h 46m,2015,"['Carey Mulligan', 'Helena Bonham Carter', 'Brendan Gleeson', 'Anne-Marie Duff', 'Ben Whishaw']",['Sarah Gavron']
I Believe in Unicorns,84,53,73,"['Drama', 'Romance']",,1h 20m,2014,"['Natalia Dyer', 'Peter Vack', 'Julia Garner', 'Amy Seimetz', 'Toni Meyerhoff']",['Leah Meyerhoff']
Trial and Error,50,31,43,['Comedy'],PG-13,1h 38m,1997,"['Michael Richards', 'Jeff Daniels', 'Charlize Theron', 'Jessica Steen', 'Austin Pendleton']",['Jonathan Lynn']
Concussion,58,74,63,"['Drama', 'Biography']",PG-13,2h 1m,2015,"['Will Smith', 'Alec Baldwin', 'Gugu Mbatha-Raw', 'Arliss Howard', 'Paul Reiser']",['Peter Landesman']
Drug Lord: The Legend of Shorty,63,43,56,['Documentary'],,1h 30m,2014,"['Federico Louhau', 'Angus MacQueen', 'Angus MacQueen', 'Simon Chinn', 'Andrew Mackenzie']",['Angus Macqueen']
Feast of Love,40,55,45,"['Drama', 'Romance']",R,1h 42m,2007,"['Morgan Freeman', 'Greg Kinnear', 'Radha Mitchell', 'Selma Blair', 'Alexa Davalos']",['Robert Benton']
Ted Bundy: American Boogeyman,0,19,6,"['Crime', 'Drama']",,1h 50m,2021,"['Chad Michael Murray', 'Holland Roden', 'Greer Grammer', 'Jake Hays', 'Lin Shaye']",['Daniel Farrands 2']
Crush the Skull,100,54,84,"['Comedy', 'Horror', 'Mystery & Thriller']",,1h 20m,2015,"['Walter Michael Bost', 'Tim Chiou', 'Chris Dinh', 'Lincoln Hoppe', 'Nathan Moore']",['Viet Nguyen 2']
In July,89,89,89,"['Romance', 'Comedy']",,1h 39m,2000,"['Moritz Bleibtreu', 'Christiane Paul', 'Mehmet Kurtulus', 'Idil Üner', 'Jochen Nickel']",['Faith Akin']
A Man for All Seasons,89,87,88,"['History', 'Drama']",G,2h 0m,1966,"['Paul Scofield', 'Robert Shaw', 'Orson Welles', 'Wendy Hiller', 'Leo McKern']",['Fred Zinnemann']
Strings,80,82,80,"['Fantasy', 'Adventure']",,1h 29m,2004,"['James McAvoy', 'Catherine McCormack', 'Julian Glover', 'Derek Jacobi', 'Ian Hart']",['Anders Ronnow Klarlund']
My Life Directed By Nicolas Winding Refn,58,40,52,['Documentary'],PG-13,58m,2014,"['Nicolas Winding Refn', 'Liv Corfixen', 'Ryan Gosling', 'Kristin Scott Thomas', 'Liv Corfixen']",['Liv Corfixen']
Meet the Patels,87,76,83,"['Documentary', 'Comedy']",PG,1h 28m,2014,"['Ravi Patel', 'Geeta Patel', 'Ravi Patel', 'Janet Fries Eckholm', 'Geeta Patel']","['Geeta Patel', 'Ravi Patel']"
Red Riding: 1983,92,76,86,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 43m,2009,"['David Morrissey', 'Mark Addy', 'Lisa Howard', 'Chris Walker', 'Shaun Dooley']",['Anand Tucker']
House of Darkness,58,22,46,"['Horror', 'Mystery & Thriller', 'Comedy']",R,1h 29m,2022,"['Justin Long', 'Kate Bosworth', 'Gia Crovatin', 'Lucy Walters', 'Neil LaBute']",['Neil Labute']
High Strung Free Dance,50,82,60,['Romance'],PG,1h 43m,2018,"['Thomas Doherty', 'Harry Jarvis', 'Juliet Doherty', 'Jane Seymour', 'Ace Bhatti']",['Michael Damian']
Stupidity,67,45,59,['Documentary'],,1h 2m,2003,"['Albert Nerenberg', 'Shannon Brown', 'Albert Nerenberg', 'Shannon Brown']",['Albert Nerenberg']
"Murder, She Said",88,78,84,"['Comedy', 'Crime', 'Drama']",,1h 26m,1961,"['Margaret Rutherford', 'Arthur Kennedy', 'Muriel Pavlow', 'James Robertson Justice', 'Bud Tingwell']",['George Pollock']
The Muppets Take Manhattan,85,76,82,"['Kids & Family', 'Comedy']",G,1h 34m,1984,"['Jim Henson', 'Frank Oz', 'Dave Goelz', 'James Coco', 'Joan Rivers']",['Frank Oz']
King Arthur: Legend of the Sword,31,69,43,"['Adventure', 'Action', 'Fantasy']",PG-13,2h 6m,2017,"['Charlie Hunnam', 'Astrid Bergès-Frisbey', 'Jude Law', 'Djimon Hounsou', 'Eric Bana']",['Guy Ritchie']
Marked Woman,100,71,90,"['Crime', 'Drama']",,1h 36m,1937,"['Bette Davis', 'Humphrey Bogart', 'Lola Lane', 'Jane Bryan', 'Eduardo Ciannelli']",['Lloyd Bacon']
"Don't Worry, He Won't Get Far on Foot",77,75,76,"['Biography', 'Comedy', 'Drama']",R,1h 53m,2018,"['Joaquin Phoenix', 'Jonah Hill', 'Rooney Mara', 'Jack Black', 'Carrie Brownstein']",['Gus Van Sant']
Kid-Thing,71,67,69,['Drama'],,1h 23m,2012,"['Nathan Zellner', 'David Wingo', 'Heather Kafka', 'Susan Tyrrell', 'David Zellner']",['David Zellner']
