Name,2PRACE,Hispanic,API,Black,AIAN,White
Jim Parsons,0.0003239817003098596,0.0010145862784897621,0.0008803742187159392,0.007055858989316202,0.0011027876758460584,0.9896224111373222
Ben Aldridge,0.0004755151523295987,0.002312683317123277,0.0016814466323469826,0.0357838389548677,0.0012699719493475107,0.958476543993985
Sally Field,0.0005097631511591302,0.0041268941322648404,0.005897404377221099,0.008267630388116077,0.0009508719132317565,0.980247436038007
Bill Irwin,0.00029873495451201326,0.0008288513633355224,0.000948041126229717,0.004722217269562894,0.0012175151551030506,0.9919846401312569
Jeffery Self,0.00039254492226483404,0.0012201230208571038,0.0007878847917724775,0.017632033839849653,0.002587567891640473,0.9773798455336156
Booboo Stewart,0.0007721976462510251,0.00895208475357061,0.004028469981152132,0.08428597367216398,0.004899179571463808,0.8970620943753985
Scarlett Sperduto,0.0005892513131298267,0.016758610682079383,0.0007465072558064793,0.0008358857844665498,0.000111053757404806,0.980958691207113
Nils Allen Stewart,0.00040276399759677113,0.002311956536887003,0.0008920340413472791,0.023403600666943605,0.0012425590869980766,0.9717470856702273
Bryson JonSteele,0.0006217780466077223,0.01689267520244982,0.01437768756162133,0.05042730302865577,0.002363229799308343,0.915317326361357
Josh Bradshaw,0.00040288702668051494,0.002613316780930696,0.0006943782442818174,0.0393825291223416,0.0010873584846745937,0.9558195303410908
Robert Baker,0.00042658443829534585,0.0031201175129852233,0.0009987438190831842,0.03529414053663572,0.0016230109430996188,0.958537402749901
Brent Chase,0.0003861494915392922,0.0011883428401822523,0.0007643595645698247,0.026971952527035103,0.003151763334031694,0.9675374322426418
Katie Savoy,0.0005930745870247494,0.0018789304505014092,0.0012280051330574168,0.1193803229885573,0.0030334523101850485,0.8738862145306742
Mark Hamill,0.00031954666724668405,0.0032231524578946753,0.002800562181470885,0.0012869045267423246,0.001536756810931931,0.9908330773557135
Ben Messmer,0.0001433037190650288,0.0022541381104483633,0.0017597377075959026,0.0004658152861695572,0.00034000037240442996,0.9950370048043167
Alison Brie,0.0005050448020748721,0.0032576864181191817,0.0011375169793077942,0.005873428700714314,0.00033201807369203566,0.9888943050260918
Jay Ellis,0.0007536582581353093,0.005139764695678418,0.00581265664959729,0.07287675817767028,0.0020358021824942282,0.9133813600364246
Kiersey Clemons,0.0015456401525502962,0.005660694790815018,0.004097475126156608,0.1666944490624658,0.0022984893595646818,0.8197032515084476
Danny Pudi,5.342476613974493e-05,0.024320320327406532,0.3063599395926951,0.003026506268732881,0.00016500130026411892,0.6660748077447617
Olga Merediz,0.00035450905429043557,0.5792044230654313,0.008817906792136046,0.009067946727158443,0.0007818831256846269,0.4017733312352992
Jennifer Lopez,0.0004201687073760182,0.7908648249535887,0.011920541718654436,0.004244971830539564,0.0026409095218734714,0.18990858326796772
Joseph Fiennes,0.0002188542638702992,0.026371672079068178,0.007876507109855482,0.013096518730006973,0.0005902315831505126,0.9518462162340485
Gael García Bernal,0.00023718390510626974,0.8968858826221557,0.010911647350818938,0.0013015243010512513,0.0011569938611144797,0.08950676795975333
Omari Hardwick,0.0008537654061523739,0.0013142794958096238,0.0012300742881801306,0.12319336601353945,0.0026746390792266937,0.8707338757170917
Paul Raci,0.0002016779692512159,0.015512474386979863,0.009584010651855282,0.019830635066802563,0.0005831247627237933,0.9542880771623873
Steff Ivory Conover,0.0003846380149031999,0.00565253307284237,0.0035943634266277103,0.011849757807708805,0.0013010739076149227,0.9772176337703029
Mischa O'Hoski,0.0006202896284333232,0.022983273670834876,0.018104591814602066,0.034583066317070844,0.00150599412865871,0.9222027844404003
Paul Krysinski,0.0006239282937893021,0.0011439021492707588,0.0019318914875457462,0.001369346879898182,0.00011936563112944454,0.9948115655583666
Ryan Brown,0.0006861253023827799,0.003297153865738367,0.0021787988272665365,0.09956650598596264,0.0021169718250268815,0.8921544441936228
Jeff William Campbell,0.0004529630266488515,0.0014621192736279584,0.001162717317243741,0.047193447907766486,0.0012576881995212286,0.9484710642751918
Noah Jupe,0.00013156201645745717,0.014726240586097825,0.0006675602220300561,0.0023015212239804947,0.00026303197781191954,0.9819100839736222
Mandy Patinkin,0.00016885751956607973,0.0081360019769172,0.008125755140394798,0.01082729072213234,0.0005340021474324157,0.9722080924935571
Brian Tyree Henry,0.0006307104153253369,0.00298131847912707,0.0021215446954063718,0.08215907477892198,0.0037950587975426465,0.9083122928336765
Sian Clifford,0.0005499932289514277,0.001835700674653265,0.006527434710405168,0.010722081795134173,0.003762667031960119,0.9766021225588958
Benedict Wong,0.001288522694023201,0.008671473866533783,0.9779098104171163,0.0012926191441497746,7.159201343279974e-05,0.010765981864744109
Reese Witherspoon,0.0010089405212935,0.00368402897833288,0.0011457366752876908,0.33156324788290764,0.001557732864771732,0.6610403130774065
Ashton Kutcher,6.405040251198778e-05,0.0031286680776795167,0.0003772832447365653,0.0024836705374756602,0.0005129677971605388,0.9934333599404357
Steve Zahn,0.00031880434608327966,0.0018547492514173062,0.0026330696609303266,0.000626492080793797,0.001104550271062331,0.993462334389713
Wesley Kimmel,0.00030091651755343005,0.001090380121379513,0.0013587904194981883,0.0015327618569706603,0.0006903065078491768,0.9950268445767491
Rachel Bloom,0.00033672393434042104,0.0034159828643455315,0.0017737060915689548,0.004327985695798369,0.0005651377885903038,0.9895804636253565
Luke Corcoran,0.0002509194026566117,0.0020425849845209622,0.0012599221982495567,0.000617879081410503,0.0009367723653487582,0.9948919219678136
Cristina Ryan,0.0006178480505950293,0.022299828265968925,0.0061375793536634455,0.0029351572996872744,0.0009125674645099122,0.9670970195655754
Aidan O Sullivan,0.0003055014489944135,0.0026022566513283995,0.0014982373868183566,0.01268532576033531,0.0009130676836741266,0.9819956110688495
Tadhg Devery,0.0001789919614861957,0.00310170900244808,0.0018793870139426178,0.002433597589058579,0.00014252346112115553,0.9922637909719434
Marybeth Herron,0.00046423673319780404,0.002709417674980885,0.0009883233013177086,0.04513203060945034,0.0009550904965682193,0.949750901184485
Krew Boylan,0.0004063541204605378,0.003255767834787374,0.005310545476253491,0.008947184507800288,0.002624554374023687,0.9794555936866747
Rose Byrne,0.00040046239420840553,0.008248059963871346,0.003660647650743324,0.0009682428534420276,0.0005384322398601421,0.9861841548978748
Bobby Cannavale,1.2864980333271527e-05,0.002220005705854176,0.00039268158799258347,0.0010028944332638428,4.716207962224904e-05,0.9963243912129338
Daniel Webber,0.0004701757108000577,0.011136105403422731,0.0030757892456666526,0.028017314295723864,0.0013061207401298485,0.9559944946042569
Celeste Barber,0.0005887274788753644,0.01361862429778672,0.0027075311370200338,0.05511324144985529,0.002700510720242831,0.9252713649162198
Sam Worthington,0.0006573580703225344,0.00299214808350961,0.004051251275099618,0.017538188090478156,0.001585472487931662,0.9731755819926584
