Name,2PRACE,Hispanic,API,Black,AIAN,White
Jim Parsons,0.0003239817003098,0.0010145862784897,0.0008803742187159,0.0070558589893162,0.001102787675846,0.9896224111373222
Ben Aldridge,0.0004755151523295,0.0023126833171232,0.0016814466323469,0.0357838389548677,0.0012699719493475,0.958476543993985
Sally Field,0.0005097631511591,0.0041268941322648,0.005897404377221,0.008267630388116,0.0009508719132317,0.980247436038007
Bill Irwin,0.000298734954512,0.0008288513633355,0.0009480411262297,0.0047222172695628,0.001217515155103,0.9919846401312568
Jeffery Self,0.0003925449222648,0.0012201230208571,0.0007878847917724,0.0176320338398496,0.0025875678916404,0.9773798455336156
Booboo Stewart,0.000772197646251,0.0089520847535706,0.0040284699811521,0.0842859736721639,0.0048991795714638,0.8970620943753985
Scarlett Sperduto,0.0005892513131298,0.0167586106820793,0.0007465072558064,0.0008358857844665,0.0001110537574048,0.980958691207113
Nils Allen Stewart,0.0004027639975967,0.002311956536887,0.0008920340413472,0.0234036006669436,0.001242559086998,0.9717470856702272
Bryson JonSteele,0.0006217780466077,0.0168926752024498,0.0143776875616213,0.0504273030286557,0.0023632297993083,0.915317326361357
Josh Bradshaw,0.0004028870266805,0.0026133167809306,0.0006943782442818,0.0393825291223416,0.0010873584846745,0.9558195303410908
Robert Baker,0.0004265844382953,0.0031201175129852,0.0009987438190831,0.0352941405366357,0.0016230109430996,0.958537402749901
Brent Chase,0.0003861494915392,0.0011883428401822,0.0007643595645698,0.0269719525270351,0.0031517633340316,0.9675374322426418
Katie Savoy,0.0005930745870247,0.0018789304505014,0.0012280051330574,0.1193803229885573,0.003033452310185,0.8738862145306742
Mark Hamill,0.0003195466672466,0.0032231524578946,0.0028005621814708,0.0012869045267423,0.0015367568109319,0.9908330773557136
Ben Messmer,0.000143303719065,0.0022541381104483,0.0017597377075959,0.0004658152861695,0.0003400003724044,0.9950370048043168
Alison Brie,0.0005050448020748,0.0032576864181191,0.0011375169793077,0.0058734287007143,0.000332018073692,0.9888943050260918
Jay Ellis,0.0007536582581353,0.0051397646956784,0.0058126566495972,0.0728767581776702,0.0020358021824942,0.9133813600364246
Kiersey Clemons,0.0015456401525502,0.005660694790815,0.0040974751261566,0.1666944490624658,0.0022984893595646,0.8197032515084476
Danny Pudi,5.342476613974493e-05,0.0243203203274065,0.3063599395926951,0.0030265062687328,0.0001650013002641,0.6660748077447617
Olga Merediz,0.0003545090542904,0.5792044230654313,0.008817906792136,0.0090679467271584,0.0007818831256846,0.4017733312352992
Jennifer Lopez,0.000420168707376,0.7908648249535887,0.0119205417186544,0.0042449718305395,0.0026409095218734,0.1899085832679677
Joseph Fiennes,0.0002188542638702,0.0263716720790681,0.0078765071098554,0.0130965187300069,0.0005902315831505,0.9518462162340484
Gael García Bernal,0.0002371839051062,0.8968858826221557,0.0109116473508189,0.0013015243010512,0.0011569938611144,0.0895067679597533
Omari Hardwick,0.0008537654061523,0.0013142794958096,0.0012300742881801,0.1231933660135394,0.0026746390792266,0.8707338757170917
Paul Raci,0.0002016779692512,0.0155124743869798,0.0095840106518552,0.0198306350668025,0.0005831247627237,0.9542880771623872
Steff Ivory Conover,0.0003846380149031,0.0056525330728423,0.0035943634266277,0.0118497578077088,0.0013010739076149,0.9772176337703028
Mischa O'Hoski,0.0006202896284333,0.0229832736708348,0.018104591814602,0.0345830663170708,0.0015059941286587,0.9222027844404004
Paul Krysinski,0.0006239282937893,0.0011439021492707,0.0019318914875457,0.0013693468798981,0.0001193656311294,0.9948115655583666
Ryan Brown,0.0006861253023827,0.0032971538657383,0.0021787988272665,0.0995665059859626,0.0021169718250268,0.8921544441936228
Jeff William Campbell,0.0004529630266488,0.0014621192736279,0.0011627173172437,0.0471934479077664,0.0012576881995212,0.9484710642751918
Noah Jupe,0.0001315620164574,0.0147262405860978,0.00066756022203,0.0023015212239804,0.0002630319778119,0.9819100839736222
Mandy Patinkin,0.000168857519566,0.0081360019769172,0.0081257551403947,0.0108272907221323,0.0005340021474324,0.9722080924935572
Brian Tyree Henry,0.0006307104153253,0.002981318479127,0.0021215446954063,0.0821590747789219,0.0037950587975426,0.9083122928336764
Sian Clifford,0.0005499932289514,0.0018357006746532,0.0065274347104051,0.0107220817951341,0.0037626670319601,0.9766021225588958
Benedict Wong,0.0012885226940232,0.0086714738665337,0.9779098104171164,0.0012926191441497,7.159201343279974e-05,0.0107659818647441
Reese Witherspoon,0.0010089405212935,0.0036840289783328,0.0011457366752876,0.3315632478829076,0.0015577328647717,0.6610403130774065
