name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Gimme Shelter,27,63,39,['Drama'],PG-13,1h 40m,2014,"['Vanessa Hudgens', 'Rosario Dawson', 'Brendan Fraser', 'James Earl Jones', 'Ann Dowd']",['Ron Krauss']
The Special Relationship,83,64,76,['Drama'],TV14,1h 32m,2010,"['Michael Sheen', 'Dennis Quaid', 'Hope Davis', 'Helen McCrory', 'Richard Loncraine']",['Richard Loncraine']
Fatso,29,65,41,['Comedy'],PG,1h 34m,1980,"['Dom DeLuise', 'Anne Bancroft', 'Ron Carey', 'Candice Azzara', 'Michael Lombard']",['Anne Bancroft']
The Moon Is Blue,44,54,47,['Comedy'],PG,1h 39m,1953,"['William Holden', 'David Niven', 'Maggie McNamara', 'Tom Tully', 'Dawn Addams']",['Otto Preminger']
Batman: Death in the Family,78,58,71,"['Action', 'Animation', 'Drama']",,Action/Animation,2020,"['Bruce Greenwood', 'Vincent Martella', 'John DiMaggio', 'Zehra Fazal', 'Gary Cole']",['Brandon Vietti']
Godsend,4,20,9,"['Mystery & Thriller', 'Horror']",PG-13,1h 42m,2004,"['Greg Kinnear', 'Rebecca Romijn', 'Robert De Niro', 'Cameron Bright', 'Marcia Bennett']","['Nick Hamm', 'Frank M Calo']"
I Am Vengeance: Retaliation,44,16,34,['Action'],R,1h 30m,2020,"['Wade Barrett', 'Vinnie Jones', 'Jessica-Jane Stafford', 'Lee Charles', 'Katrina Durden']",['Ross Boyask']
Alien Xmas,100,65,88,['Sci-Fi'],,42m,2020,"['Dee Bradley Baker', 'Stephen Chiodo']",['Stephen Chiodo']
A Bluebird in My Heart,86,65,79,['Drama'],,1h 25m,2018,"['Lubna Azabal', 'Veerle Baetens', 'Lola Le Lann', 'Roland Møller', 'Ben Hamidou']",['Jeremie Guez']
Dead Ringers,85,82,84,"['Horror', 'Drama', 'Mystery & Thriller']",R,1h 55m,1988,"['Jeremy Irons', 'Geneviève Bujold', 'Heidi von Palleske', 'Barbara Gordon', 'Shirley Douglas']",['David Cronenberg']
Hold Your Fire,95,54,81,"['Documentary', 'History']",,1h 33m,2021,"[""Shu'aib Raheem"", 'Harvey Schlossberg', 'Stefan Forbes', 'Stefan Forbes', 'Tia Wou']",['Stefan Forbes']
Inside Deep Throat,83,67,77,['Documentary'],NC-17,1h 30m,2005,"['Gerard Damiano', 'Erica Jong', 'Norman Mailer', 'Harry Reems', 'Gore Vidal']","['Fenton Bailey', 'Randy Barbato']"
Wolfman's Got Nards,100,66,88,"['Documentary', 'Horror']",,1h 31m,2018,"['Andre Gower', 'Andre Gower', 'Henry Darrow McComas', 'Nicholas Caprio', 'Sarba Das']",['Andre Gower']
The Price of Desire,25,14,21,['Drama'],,1h 48m,2015,"['Orla Brady', 'Vincent Perez', 'Francesco Scianna', 'Alanis Morissette', 'Dominique Pinon']",['Mary Mcguckian']
Tár,91,74,85,"['Drama', 'Music']",R,2h 38m,2022,"['Cate Blanchett', 'Noémie Merlant', 'Nina Hoss', 'Sophie Kauer', 'Mark Strong']",['Todd Field']
The King of Staten Island,76,83,78,"['Comedy', 'Drama']",R,2h 17m,2020,"['Pete Davidson', 'Marisa Tomei', 'Bill Burr', 'Bel Powley', 'Maude Apatow']",['Judd Apatow']
Dangerous Lies,23,36,27,['Mystery & Thriller'],,1h 36m,2020,"['Camila Mendes', 'Jessie T. Usher', 'Cam Gigandet', 'Sasha Alexander', 'Elliott Gould']",['Michael M Scott']
You Cannot Kill David Arquette,85,87,85,['Documentary'],R,1h 30m,2020,"['David Arquette', 'Patricia Arquette', 'Courteney Cox', 'Rosanna Arquette', 'Ric Flair']","['David Darg', 'Price James']"
Saint Misbehavin': The Wavy Gravy Movie,73,88,78,['Documentary'],,1h 27m,2009,"['Hugh Romney', 'Bonnie Beecher', 'Jackson Browne', 'Steve Ben Israel', 'Dr. Larry Brilliant']",['Michelle Esrick']
Coyote Ugly,23,71,39,"['Romance', 'Comedy']",PG-13,1h 40m,2000,"['Piper Perabo', 'Adam Garcia', 'Maria Bello', 'John Goodman', 'Melanie Lynskey']",['David Mcnally']
Judy,82,85,83,"['Biography', 'History', 'Drama', 'Music']",PG-13,1h 58m,2019,"['Renée Zellweger', 'Jessie Buckley', 'Finn Wittrock', 'Rufus Sewell', 'Gemma-Leah Devereux']",['Rupert Goold']
The Last Laugh,53,36,47,['Comedy'],TVMA,1h 38m,2019,"['Chevy Chase', 'Richard Dreyfuss', 'Andie MacDowell', 'Kate Micucci', 'Ritchie Montgomery']",['Greg Pritkin']
Farinelli: Il Castrato,60,82,67,"['Biography', 'Drama', 'Music']",R,1h 50m,1994,"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein', 'Jeroen Krabbé', 'Caroline Cellier']",['Gerard Corbiau']
We Can Be Heroes,74,40,62,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",PG,1h 40m,2020,"['Pedro Pascal', 'Priyanka Chopra Jonas', 'Christian Slater', 'YaYa Gosselin', 'Boyd Holbrook']",['Robert Rodriguez']
Strange Behavior,80,45,68,"['Horror', 'Mystery & Thriller', 'Sci-Fi']",R,1h 28m,1981,"['Michael Murphy', 'Louise Fletcher', 'Dan Shor', 'Fiona Lewis', 'Arthur Dignam']",['Michael Laughlin']
Cunningham,89,71,83,"['Documentary', 'Biography', 'Music']",PG,1h 33m,2019,"['Carolyn Brown', 'John Cage', 'Ashley Chen', 'Brandon Collwes', 'Dylan Crossman']",['Alla Kovgan']
Graduation,94,83,90,"['Drama', 'Crime']",R,2h 8m,2016,"['Adrian Titieni', 'Maria Dragus', 'Rares Andrici', 'Lia Bugnar', 'Malina Manovici']",['Cristian Mungiu']
Bit,92,44,76,"['Comedy', 'Horror']",,1h 30m,2019,"['Nicole Maines', 'M.C. Gainey', 'Diana Hopper', 'James Paxton', 'Christina Sergoyan']",['Brad Michael Elmore']
They Reach,50,59,52,"['Horror', 'Mystery & Thriller']",,1h 27m,2020,"['Mary Madaline Roe', 'Eden Campbell', 'Morgan Chandler', 'Kyan Zielinski', 'Elizabeth Rhoades']",['Sylas Dall']
Ode to Passion,33,99,55,"['Musical', 'Romance', 'Drama']",,2h 8m,2020,"['Giuseppe Bausilio', 'Julia Nightingale', 'Jeff Smith', 'Victoria Meade', 'Kaylor Otwell']",['Jack Danini']
Red Penguins,96,83,91,['Documentary'],PG-13,1h 20m,2019,"['Howard Baldwin', 'Viktor Tikhonov', 'Steven Warshaw', 'Gabe Polsky', 'Gabe Polsky']",['Gabe Polsky']
The Devil Has a Name,35,35,35,"['Comedy', 'Drama']",R,1h 37m,2020,"['David Strathairn', 'Kate Bosworth', 'Edward James Olmos', 'Katie Aselton', 'Haley Joel Osment']",['Edward James Olmos']
Kangaroo,78,96,84,['Documentary'],,1h 43m,2018,"['Terri Irwin', 'Kate McIntyre Clere', 'Michael McIntyre', 'Kate McIntyre Clere', 'Michael McIntyre']","['Kate Mcintyre Clere', 'Michael Mcintyre']"
My Octopus Teacher,93,91,92,['Documentary'],,1h 25m,2020,"['Craig Foster', 'Pippa Ehrlich', 'James Reed', 'Pippa Ehrlich', 'James Reed']","['Pippa Ehrlich', 'James Reed']"
Mayhem,85,66,78,"['Horror', 'Action']",,1h 26m,2017,"['Steven Yeun', 'Samara Weaving', 'Steven Brand', 'Caroline Chikezie', 'Kerry Fox']",['Joe Lynch']
You Might Be the Killer,60,48,56,['Horror'],TVMA,2h 0m,2018,"['Fran Kranz', 'Alyson Hannigan', 'Brittany S. Hall', 'Patrick Walker', 'Savannah DesOrmeaux']",['Brett Simmons']
Ilana Glazer: The Planet is Burning,71,9,50,"['Comedy', 'Stand-Up']",,59m,2020,"['Ilana Glazer', 'Ryan Cunningham']",['Ryan Cunningham']
