name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Muse,13,48,24,"['Drama', 'Mystery & Thriller']",,Drama/Mystery & thriller,2017,"['Elliot Cowan', 'Jaume Balagueró']",['Jaume Balaguero']
The Samaritan,26,40,30,"['Crime', 'Drama']",R,1h 33m,2012,"['Samuel L. Jackson', 'Luke Kirby', 'Ruth Negga', 'Tom Wilkinson', 'Deborah Kara Unger']",['David Weaver']
Night Owls,100,56,85,"['Romance', 'Comedy']",R,1h 31m,2015,"['Adam Pally', 'Rosa Salazar', 'Rob Huebel', 'Peter Krause', 'Tony Hale']",['Charles Hood']
The Highwaymen,58,76,64,"['Crime', 'Drama']",R,2h 12m,2019,"['Kevin Costner', 'Woody Harrelson', 'Kathy Bates', 'John Carroll Lynch', 'Kim Dickens']",['John Lee Hancock']
The Last Sharknado: It's About Time,27,38,30,"['Action', 'Mystery & Thriller', 'Sci-Fi', 'Adventure', 'Comedy', 'Horror']",TV14,1h 30m,2018,"['Ian Ziering', 'Tara Reid', 'Vivica A. Fox', 'Cassandra Scerbo', 'Charles Hittinger']",['Anthony C Ferrante']
Aladdin,57,94,69,"['Kids & Family', 'Musical', 'Comedy', 'Fantasy', 'Adventure', 'Romance']",PG,2h 8m,2019,"['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari', 'Navid Negahban']",['Guy Ritchie']
Jumanji: The Next Level,71,87,76,"['Adventure', 'Action', 'Comedy', 'Fantasy']",PG-13,2h 3m,2019,"['Dwayne Johnson', 'Kevin Hart', 'Jack Black', 'Karen Gillan', 'Awkwafina']",['Jake Kasdan']
306 Hollywood,79,61,73,['Documentary'],,1h 35m,2018,"['Elan Bogarin', 'Jonathan Bogarin', 'Elan Bogarin', 'Jonathan Bogarin', 'Elan Bogarin']","['Elan Bogarin', 'Jonathan Bogarin']"
A Writer's Odyssey,93,77,87,"['Action', 'Fantasy']",,2h 10m,2021,"['Jiayin Lei', 'Mi Yang', 'Zijian Dong', 'Liya Tong', 'Hewei Yu']",['Lu Yang']
Haven,15,60,30,"['Crime', 'Drama']",R,1h 58m,2004,"['Orlando Bloom', 'Bill Paxton', 'Joy Bryant', 'Anthony Mackie', 'Bobby Cannavale']",['1168148 Frank E Flowers']
The Sonata,48,65,53,"['Horror', 'Mystery & Thriller']",,1h 28m,2018,"['Freya Tingley', 'Simon Akbarian', 'Bruce Davison', 'Rutger Hauer', 'Matt Barber']",['Andrew Desmond']
Cubby,73,63,69,"['Comedy', 'Drama', 'LGBTQ+']",,1h 23m,2019,"['Patricia Richardson', 'Mark Blane', 'Rodney Richardson', 'Naian González Norvind', 'Lucy DeVito']","['Mark Blane', 'Ben Mankoff']"
The Hard Way,75,53,67,"['Comedy', 'Drama']",R,1h 51m,1991,"['Michael J. Fox', 'James Woods', 'Stephen Lang', 'Annabella Sciorra', 'John Capodice']",['John Badham']
See You Soon,33,67,44,"['Romance', 'Drama']",R,1h 37m,2019,"['Liam McIntyre', 'Jenia Tanaeva', 'Harvey Keitel', 'Poppy Drayton', 'Oleg Taktarov']",['David Mahmoudieh']
Pig,81,67,76,['Comedy'],,1h 48m,2018,"['Hasan Majuni', 'Leila Hatami', 'Leili Rashidi', 'Parinaz Izadyar', 'Siamak Ansari']",['Mani Haghighi']
The Whisperer in Darkness,86,65,79,"['Mystery & Thriller', 'Sci-Fi']",,1h 44m,2011,"['Stephen Blackehart', 'Matt Lagan', 'Barry Lynch', 'Andrew Leman', 'Annie Abrams']",['Sean Branney']
The Tank,33,28,31,"['Horror', 'Mystery & Thriller']",R,1h 40m,2023,"['Luciane Buchanan', 'Matt Whelan', 'Zara Nausbaum', 'Regina Hegemann', 'Jack Barry']",['Scott Walker 2']
Destroyer,74,50,66,"['Crime', 'Drama', 'Mystery & Thriller', 'Action']",R,2h 3m,2018,"['Nicole Kidman', 'Toby Kebbell', 'Tatiana Maslany', 'Sebastian Stan', 'Scoot McNairy']",['Karyn Kusama']
The Light Between Oceans,62,61,61,"['Drama', 'Romance']",PG-13,2h 13m,2016,"['Michael Fassbender', 'Alicia Vikander', 'Rachel Weisz', 'Bryan Brown', 'Jack Thompson']",['Derek Cianfrance']
All Good Things,35,37,35,['Mystery & Thriller'],R,1h 41m,2010,"['Ryan Gosling', 'Kirsten Dunst', 'Frank Langella', 'Lily Rabe', 'Philip Baker Hall']",['Andrew Jarecki']
The 12th Man,86,82,84,"['Adventure', 'History', 'Drama']",,2h 11m,2017,"['Thomas Gullestad', 'Jonathan Rhys-Meyers', 'Mads Sjøgård Pettersen', 'Maria Grazia Di Meo', 'Kim Jøran Olsen']",['Harald Zwart']
Irreversible: Straight Cut,90,100,93,['Drama'],,1h 26m,2020,"['Monica Bellucci', 'Vincent Cassel', 'Albert Dupontel', 'Jo Prestia', 'Fatima Adoum']",['Gaspar Noe']
The Golem,86,43,71,"['Horror', 'Mystery & Thriller']",,1h 35m,2018,"['Hani Furstenberg', 'Ishai Golan', 'Brynie Furstenberg', 'Adi Kvetner', 'Lenny Ravich']","['Doron Paz', 'Yoav Paz']"
Vikingdom,43,24,36,"['Adventure', 'Action']",,1h 50m,2012,"['Dominic Purcell', 'Conan Stevens', 'Natassia Malthe', 'Craig Fairbrass', 'Jesse Moss']",['Yusry Abd Halim']
Always Be My Maybe,89,81,86,"['Romance', 'Comedy']",PG-13,1h 42m,2019,"['Ali Wong', 'Randall Park', 'Keanu Reeves', 'Michelle Buteau', 'Vivian Bang']",['Nahnatchka Khan']
Laddie: The Man Behind the Movies,100,100,99,['Documentary'],,1h 23m,2017,"['Alan Ladd Jr.', 'Amanda Ladd Jones', 'Rich Buhrman', 'Amanda Ladd Jones', 'Natasha Klibansky']",['Amanda Ladd Jones']
Everybody's Everything,100,99,99,"['Documentary', 'Music']",,1h 56m,2019,"['Rob Cavallo', 'Ghostemane', 'I Love Makonnen', 'Juicy J', 'Post Malone']","['Sebastian Jones', 'Ramez Silyan']"
The Last Laugh,53,36,47,['Comedy'],TVMA,1h 38m,2019,"['Chevy Chase', 'Richard Dreyfuss', 'Andie MacDowell', 'Kate Micucci', 'Ritchie Montgomery']",['Greg Pritkin']
I'll Sleep When I'm Dead,45,35,41,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 42m,2003,"['Clive Owen', 'Charlotte Rampling', 'Jonathan Rhys-Meyers', 'Malcolm McDowell', 'Jamie Foreman']",['Mike Hodges']
Hoosiers,91,88,90,['Drama'],PG,1h 54m,1986,"['Gene Hackman', 'Barbara Hershey', 'Dennis Hopper', 'Sheb Wooley', 'Fern Persons']",['David Anspaugh']
Cielo,80,83,81,['Documentary'],,1h 18m,2017,"['Alison McAlpine', 'Alison McAlpine', 'Alison McAlpine', 'Carmen Garcia', 'Benjamín Echazarreta']",['Alison Mcalpine']
Trespassers,60,67,62,"['Horror', 'Mystery & Thriller']",,1h 28m,2018,"['Angela Trimbur', 'Janel Parrish', 'Fairuza Balk', 'Jonathan Howard', 'Zach Avery']",['Orson Oblowitz']
Code 8,81,61,74,['Sci-Fi'],,1h 38m,2019,"['Robbie Amell', 'Stephen Amell', 'Sung Kang', 'Kari Matchett', 'Greg Bryk']",['Jeff Chan']
The Chaperone,47,73,55,"['History', 'Drama']",,1h 43m,2018,"['Elizabeth McGovern', 'Haley Lu Richardson', 'Victoria Hill', 'Géza Röhrig', 'Blythe Danner']",['Michael Engler']
I'll Cry Tomorrow,86,75,82,['Biography'],,1h 57m,1955,"['Susan Hayward', 'Richard Conte', 'Eddie Albert', 'Jo Van Fleet', 'Don Taylor']",['Daniel Mann']
Arabian Nights: Volume 2 -- The Desolate One,100,77,92,['Drama'],,2h 11m,2015,"['Crista Alfaiate', 'João Pedro Bénard', 'Isabel Muñoz Cardoso', 'Margarida Carpinteiro', 'Chico Chapas']",['Miguel Gomes']
Anthropocene: The Human Epoch,89,62,80,['Documentary'],,1h 27m,2018,"['Alicia Vikander', 'Jennifer Baichwal', 'Nicholas de Pencier', 'Edward Burtynsky', 'Jennifer Baichwal']","['Jennifer Baichwal', 'Nicholas De Pencier', 'Edward Burtynsky']"
Yesterday,63,89,71,"['Romance', 'Comedy', 'Music']",PG-13,1h 56m,2019,"['Himesh Patel', 'Lily James', 'Kate McKinnon', 'Ed Sheeran', 'James Corden']",['Danny Boyle']
The Agronomist,94,88,92,['Documentary'],PG-13,1h 30m,2003,"['Jean Dominique', 'Jonathan Demme', 'Jonathan Demme', 'Kevin McNamara', 'Peter Saraf']",['Jonathan Demme']
Rodents of Unusual Size,98,91,95,['Documentary'],,1h 11m,2017,"['Wendell Pierce', 'Quinn Costello', 'Chris Metzler', 'Jeff Springer', 'Quinn Costello']","['Quinn Costello', 'Chris Metzler', 'Jeff Springer']"
Impulse,33,19,28,['Mystery & Thriller'],R,1h 48m,1990,"['Theresa Russell', 'Jeff Fahey', 'George Dzundza', 'Alan Rosenberg', 'Nicholas Mele']",['Sondra Locke']
The College Admissions Scandal,71,93,78,['Drama'],TV14,1h 30m,2019,"['Penelope Ann Miller', 'Mia Kirshner', 'Sarah Dugdale', 'Vanessa Przada', 'Sam Duke']",['Adam Salky']
Ben Is Back,82,69,77,"['Drama', 'Mystery & Thriller']",R,1h 43m,2018,"['Julia Roberts', 'Lucas Hedges', 'Courtney B. Vance', 'Kathryn Newton', 'Rachel Bay Jones']",['Peter Hedges']
Collapse,83,83,83,['Documentary'],,1h 20m,2009,"['Michael Ruppert', 'Chris Smith']",['Chris Smith 3']
Brian Banks,63,97,74,"['Biography', 'Drama']",PG-13,1h 39m,2018,"['Aldis Hodge', 'Greg Kinnear', 'Sherri Shepherd', 'Melanie Liburd', 'Tiffany Dupont']",['Tom Shadyac']
Phil,27,42,32,"['Comedy', 'Drama']",R,1h 41m,2019,"['Greg Kinnear', 'Taylor Schilling', 'Emily Mortimer', 'Luke Wilson', 'Bradley Whitford']",['Greg Kinnear']
