name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
The Rescue,96,99,97,"['Documentary', 'Drama', 'Mystery & Thriller']",PG,1h 47m,2021,"['Bancha Duriyapunt', 'Apakorn Youkongkaew', 'Anan Surawan', 'Woranan Ratrawiphukkun', 'Rick Stanton']","['Elizabeth Chai Vasarhelyi', 'Jimmy Chin']"
The First Day of the Rest of Your Life,81,87,83,['Drama'],,1h 54m,2008,"['Jacques Gamblin', 'Zabou Breitman', 'Déborah François', 'Marc-André Grondin', 'Pio Marmaï']",['Remi Bezancon']
Break Point,71,51,64,['Comedy'],R,1h 30m,2014,"['Jeremy Sisto', 'David Walton', 'Amy Smart', 'J.K. Simmons', 'Joshua Rush']",['Jay Karas']
An Innocent Man,44,47,45,"['Crime', 'Drama']",R,1h 53m,1989,"['Tom Selleck', 'F. Murray Abraham', 'Laila Robins', 'David Rasche', 'Richard Young']",['Peter Yates']
Countdown,26,72,41,"['Horror', 'Mystery & Thriller', 'Comedy']",PG-13,1h 30m,2019,"['Elizabeth Lail', 'Jordan Calloway', 'Talitha Eliana Bateman', 'Tichina Arnold', 'P.J. Byrne']",['Justin Dec']
The Legend of Barney Thomson,62,52,58,['Comedy'],,1h 36m,2015,"['Robert Carlyle', 'Emma Thompson', 'Ray Winstone', 'Ashley Jensen', 'Tom Courtenay']",['Robert Carlyle']
Becoming Santa,80,76,78,"['Holiday', 'Documentary']",,1h 37m,2010,"['Jeff Myers', 'Jack Sanderson', 'Jeff Myers', 'Jack Sanderson', 'Claire Brooks']",['Jeff Myers']
America's Sweethearts,32,40,34,"['Romance', 'Comedy']",PG-13,1h 42m,2001,"['Julia Roberts', 'Billy Crystal', 'Catherine Zeta-Jones', 'John Cusack', 'Hank Azaria']",['Joe Roth']
Lazy Eye,62,40,54,"['Drama', 'Romance', 'LGBTQ+']",,1h 30m,2016,"['Drew Barr', 'Lucas Near-Verbrugghe', 'Michaela Watkins', 'Aaron Costa Ganis', 'Harrison Givens']",['Tim Kirkman']
Holidays,50,24,41,['Horror'],,1h 44m,2016,"['Madeleine Coghlan', 'Ruth Bradley', 'Isolt McCaffrey', 'Peter Campion', 'Ava Acres']","['Dennis Widmyer', 'Kevin Kolsch', 'Gary Shore', 'Nicholas Mccarthy', 'Sarah Adina Smith']"
Rim of the World,27,47,33,"['Action', 'Adventure']",TV14,1h 38m,2019,"['Jack Gore', 'Miya Cech', 'Benjamin Flores Jr.', 'Alessio Scalzotto', 'King Bach']",['Mcg']
Piper,100,91,96,"['Adventure', 'Animation']",G,6m,2016,"['Alan Barillaro', 'Adrian Belew', 'Alan Barillaro']",['Alan Barillaro']
The Door,44,46,44,['Drama'],,1h 37m,2012,"['Helen Mirren', 'Martina Gedeck', 'Károly Eperjes', 'Gabor Koncz', 'Enikö Börcsök']",['Istvan Szabo']
How to Dance in Ohio,89,76,84,['Documentary'],,1h 28m,2015,"['Jessica Sullivan', 'Caroline McKenzie', 'Marideth Bridges', 'Alexandra Shiva', 'Alexandra Shiva']",['Alexandra Shiva']
Medeas,80,80,80,['Drama'],,1h 37m,2013,"['Catalina Sandino Moreno', ""Brian F. O'Byrne"", 'Mary Mouser', 'Ian Nelson', 'Maxim Knight']",['Andrea Pallaoro']
Listening,17,42,25,"['Sci-Fi', 'Mystery & Thriller']",,1h 40m,2014,"['Thomas Stroppel', 'Artie Ahr', 'Amber Marie Bollinger', 'Christine Haeberman', 'Steve Hanks']",['Khalil Sullins']
Out Stealing Horses,72,47,63,['Drama'],,2h 3m,2019,"['Stellan Skarsgård', 'Tobias Santelmann', 'Pål Sverre Hagen', 'Bjørn Floberg', 'Danica Curcic']",['Hans Peter Moland']
Kung Fu Panda 3,87,79,84,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 35m,2016,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons']","['Jennifer Yuh Nelson', 'Alessandro Carloni']"
The Osiris Child,62,46,56,"['Sci-Fi', 'Action', 'Mystery & Thriller']",,1h 35m,2016,"['Kellan Lutz', 'Daniel MacPherson', 'Isabel Lucas', 'Rachel Griffiths', 'Temuera Morrison']",['Shane Abbess']
"Tell Me That You Love Me, Junie Moon",22,12,18,"['Comedy', 'Drama']",PG,1h 52m,1970,"['Liza Minnelli', 'Ken Howard', 'Robert Moore', 'James Coco', 'Kay Thompson']",['Otto Preminger']
I Trapped the Devil,74,41,62,"['Holiday', 'Horror']",,1h 22m,2019,"['AJ Bowen', 'Jocelin Donahue', 'Scott Poythress', 'Susan Burke', 'Chris Sullivan']",['Josh Lobo']
Satanic Hispanics,91,47,76,['Horror'],R,1h 45m,2022,"['Chaton Itae', 'Lombardo Boyar', 'Ken Arnold', 'Efren Ramirez', 'Greg Grunberg']","['Alejandro Brugues', 'Mike Mendez', 'Demian Rugna', 'Eduardo Sanchez 5', 'Gigi Saul Guerrero']"
Papa: Hemingway in Cuba,11,53,24,"['Biography', 'History', 'Drama']",R,1h 49m,2015,"['Giovanni Ribisi', 'Joely Richardson', 'Adrian Sparks', 'Minka Kelly', 'Shaun Toub']",['Bob Yari']
All Roads Lead to Rome,0,16,5,"['Romance', 'Comedy']",PG-13,1h 27m,2015,"['Sarah Jessica Parker', 'Raoul Bova', 'Claudia Cardinale', 'Rosie Day', 'Paz Vega']",['1194040 Ella Lemhagen']
The Wizard of Gore,80,28,62,"['Horror', 'Mystery & Thriller']",R,1h 34m,2007,"['Crispin Glover', 'Kip Pardue', 'Bijou Phillips', 'Jeffrey Combs', 'Brad Dourif']",['Jeremy Kasten']
Silenced,100,92,97,['Drama'],,2h 5m,2011,"['Gong Yoo', 'Jung Yu-mi', 'Kim Hyun-soo', 'Jung In-seo', 'Baek Seung-hwan']",['Hwang Dong Hyuk 2']
Cheatin',84,69,79,"['Comedy', 'Animation']",,1h 16m,2013,"['Sophia Takal', 'Jeremy Baumann', 'Alex Markowitz', 'Sita Steele', 'Jacob Steele']",['Bill Plympton']
