name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
9 Songs,24,32,26,['Drama'],,1h 9m,2004,"['Margo Stilley', ""Kieran O'Brien"", 'Huw Bunford', 'Cian Ciaran', 'The Dandy Warhols']",['Michael Winterbottom']
Meteor,5,14,7,['Sci-Fi'],PG,1h 47m,1979,"['Sean Connery', 'Natalie Wood', 'Karl Malden', 'Brian Keith', 'Martin Landau']",['Ronald Neame']
Vanishing on 7th Street,48,21,39,"['Horror', 'Mystery & Thriller']",R,1h 25m,2010,"['Hayden Christensen', 'Thandiwe Newton', 'John Leguizamo', 'Taylor Groothuis', 'Jordan Lea Trovillion']",['Brad Anderson']
Newlyweds,73,53,66,"['Comedy', 'Drama']",,1h 35m,2011,"['Edward Burns', 'Caitlin FitzGerald', 'Kerry Bishé', 'Max Baker', 'Marsha Dietlein']",['Edward Burns']
The Secret Lives of Dorks,11,39,20,['Comedy'],PG-13,1h 31m,2013,"['Gaelan Connell', 'Vanessa Marano', 'Riley Voelkel', 'Beau Mirchoff', 'Seymour Cassel']",['Salome Breziner 2']
Arakimentari,55,66,58,"['Documentary', 'Biography']",,1h 14m,2004,"['Travis Klose', 'Regis Trigano', 'Jason Fried', 'Dylan Verrechia', 'DJ Krush']",['Travis Klose']
16 Acres,100,73,90,"['Documentary', 'History', 'Drama']",,1h 35m,2012,"['Larry Silverstein', 'George Pataki', 'Michael Bloomberg', 'Scott Raab', 'David Childs']",['Richard Hankin']
Jack Ryan: Shadow Recruit,55,52,54,"['Action', 'Mystery & Thriller']",PG-13,1h 45m,2014,"['Chris Pine', 'Kevin Costner', 'Kenneth Branagh', 'Keira Knightley', 'Gemma Chan']",['Kenneth Branagh']
The Right Kind of Wrong,16,37,23,"['Romance', 'Comedy']",R,1h 37m,2013,"['Ryan Kwanten', 'Sara Canning', 'Will Sasso', ""Catherine O'Hara"", 'Kristen Hager']",['Jeremiah S Chechik']
Is Paris Burning?,75,71,73,['War'],,2h 53m,1966,"['Jean-Paul Belmondo', 'Charles Boyer', 'Leslie Caron', 'Jean-Pierre Cassel', 'George Chakiris']",['Rene Clement']
Proxy,65,38,55,"['Drama', 'Horror', 'Mystery & Thriller']",,2h 0m,2013,"['Joe Swanberg', 'Alexa Havins', 'Kristina Klebe', 'Alexia Rasmussen', 'Faust Checho']",['Zack Parker']
Mad About Mambo,57,52,55,"['Romance', 'Comedy']",PG-13,1h 32m,2000,"['William Ash', 'Keri Russell', 'Brian Cox', 'Theo Fraser Steele', 'Rosaleen Linehan']",['John Forte']
The Sons of Katie Elder,100,82,93,['Western'],,2h 2m,1965,"['John Wayne', 'Dean Martin', 'Martha Hyer', 'Michael Anderson Jr.', 'Earl Holliman']",['Henry Hathaway']
Nymphomaniac: Volume I,76,69,73,['Drama'],,1h 57m,2014,"['Charlotte Gainsbourg', 'Stellan Skarsgård', 'Stacy Martin', 'Shia LaBeouf', 'Christian Slater']",['Lars Von Trier']
The Saint of Fort Washington,80,87,82,['Drama'],R,1h 48m,1993,"['Danny Glover', 'Matt Dillon', 'Rick Aviles', 'Nina Siemaszko', 'Ving Rhames']",['Tim Hunter']
Ping Pong Summer,59,32,49,['Comedy'],,1h 32m,2014,"['Marcello Conte', 'Judah Friedlander', 'Amy Sedaris', 'Lea Thompson', 'John Hannah']",['1129430 Michael Tully']
24 Exposures,35,7,25,['Mystery & Thriller'],,1h 17m,2013,"['Adam Wingard', 'Simon Barrett', 'Helen Rogers', 'Caroline White', 'Sophia Takal']",['Joe Swanberg']
August: Osage County,66,65,65,"['Comedy', 'Drama']",R,1h 59m,2013,"['Meryl Streep', 'Julia Roberts', 'Ewan McGregor', 'Chris Cooper', 'Abigail Breslin']",['1037060 John Wells']
Vinyl,50,42,47,['Comedy'],,1h 25m,2012,"['Keith Allen', 'Julia Ford', 'Phil Daniels', 'Jamie Blackley', 'Perry Benson']",['Sara Sugarman']
The Ledge,35,22,30,"['Mystery & Thriller', 'Adventure']",R,1h 26m,2022,"['Brittany Ashworth', 'Ben Lamb', 'Louis Boyer', 'Nathan Welsh', 'Anaïs Parello']",['Howardford']
Escape From Tomorrow,58,25,47,['Horror'],,1h 30m,2013,"['Roy Abramsohn', 'Elena Schuber', 'Katelynn Rodriguez', 'Jack Dalton', 'Danielle Safady']",['Randy Moore 4']
Murph: The Protector,78,89,81,['Documentary'],PG,1h 19m,2013,"['Johnny McElhone', 'Jason Keenan', 'Scott Mactavish', 'Scott Mactavish', 'Brian K. Aspinwall']",['Scott Mactavish']
Saving Mr. Banks,79,84,80,"['Drama', 'Comedy']",PG-13,2h 5m,2013,"['Emma Thompson', 'Tom Hanks', 'Paul Giamatti', 'Jason Schwartzman', 'Colin Farrell']",['John Lee Hancock']
How to Train Your Dragon 2,92,90,91,"['Kids & Family', 'Fantasy', 'Adventure', 'Comedy', 'Animation']",PG,1h 42m,2014,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera']","['Dean Deblois', 'Thom Owens']"
The World Before Her,100,79,92,['Documentary'],,1h 30m,2012,"['Pooja Chopra', 'Manasvi Mamgai', 'Ruhi Singh', 'Nisha Pahuja', 'Nisha Pahuja']",['Nisha Pahuja']
Bill,90,59,79,"['Adventure', 'Comedy']",,1h 34m,2015,"['Mathew Baynton', 'Simon Farnaby', 'Martha Howe-Douglas', 'Jim Howick', 'Laurence Rickard']",['Richard Bracewell']
Porky's II: The Next Day,10,40,20,['Comedy'],R,1h 35m,1983,"['Dan Monahan', 'Wyatt Knight', 'Mark Herrier', 'Roger Wilson', ""Cyril O'Reilly""]",['Bob Clark']
The Crash Reel,96,94,95,['Documentary'],,1h 49m,2013,"['Kevin Pearce', 'Shaun White', 'Mason Aguirre', 'Dr. Daniel Amen', 'Sarah Burke']",['Lucy Walker']
Lee Daniels' The Butler,72,78,74,"['History', 'Drama']",PG-13,2h 12m,2013,"['Forest Whitaker', 'Oprah Winfrey', 'John Cusack', 'Jane Fonda', 'Cuba Gooding Jr.']",['Lee Daniels']
Good Night Oppy,87,100,91,['Documentary'],PG,1h 45m,2022,"['Ryan White', 'Ryan White', 'Jessica Hargrave', 'Darryl Frank', 'Justin Falvey']",['Ryan White 4']
Echo Boomers,35,94,54,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 34m,2020,"['Patrick Schwarzenegger', 'Alex Pettyfer', 'Michael Shannon', 'Gilles Geary', 'Oliver Cooper']",['Seth Savoy']
100 Years of Men in Love: The Accidental Collection,100,40,79,"['Documentary', 'History', 'LGBTQ+']",,57m,2022,"['Hugh Nini', 'Neal Treadwell', 'David Millbern', 'David Millbern', 'David Millbern']",['David Milbern']
Riddick,58,56,57,"['Sci-Fi', 'Mystery & Thriller', 'Adventure', 'Action']",R,1h 58m,2013,"['Vin Diesel', 'Karl Urban', 'Jordi Mollà', 'Katee Sackhoff', 'Bokeem Woodbine']",['David Twohy']
Friended to Death,42,48,44,['Comedy'],R,1h 34m,2013,"['Ryan Hansen', 'James Immekus', 'Zach McGowan', 'Sarah Smick', 'Ian Michaels']",['Sarah Smick']
Sunlight Jr.,62,32,51,['Drama'],,1h 30m,2013,"['Naomi Watts', 'Matt Dillon', 'Norman Reedus', 'Tess Harper', 'Antoni Corone']",['Laurie Collyer']
Kansas City,60,44,54,['Drama'],R,1h 55m,1996,"['Jennifer Jason Leigh', 'Miranda Richardson', 'Harry Belafonte', 'Michael Murphy', 'Dermot Mulroney']",['Robert Altman']
Anna,33,81,49,"['Action', 'Mystery & Thriller']",R,1h 59m,2019,"['Sasha Luss', 'Luke Evans', 'Cillian Murphy', 'Helen Mirren', 'Lera Abova']",['Luc Besson']
Locked In,33,24,30,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 36m,2023,"['Famke Janssen', 'Anna Friel', 'Finn Cole', 'Rose Williams', 'Alex Hassell']",['Nour Wazzi']
