name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Sweet Micky for President,67,81,71,"['Documentary', 'Music']",,1h 26m,2015,"['Ben Stiller', 'Sean Penn', 'Wyclef Jean', 'Sarodj Bertin', 'Pras Michel']",['Ben Patterson']
The Mostly Unfabulous Social Life of Ethan Green,30,58,39,"['Romance', 'Comedy', 'LGBTQ+']",R,1h 28m,2005,"['Daniel Letterle', 'Meredith Baxter', 'David Monahan', 'Diego Serrano', 'Dean Shelton']",['George Bamber']
CodeGirl,60,72,64,['Documentary'],,1h 47m,2015,"['Lesley Chilcott', 'Lesley Chilcott', 'Lesley Chilcott', 'Tiffany Haynes', 'Tracey Karka']",['Lesley Chilcott']
The Little Traitor,41,70,50,['Drama'],,1h 29m,2007,"['Alfred Molina', 'Ido Port', 'Rami Heuberger', 'Gilya Stern', 'Anat Klausner']",['Lynn Roth']
Tuck Everlasting,60,70,63,"['Kids & Family', 'Fantasy', 'Adventure', 'Drama']",PG,1h 30m,2002,"['Alexis Bledel', 'William Hurt', 'Sissy Spacek', 'Jonathan Jackson', 'Scott Bairstow']",['Jay Russell']
Steve Jobs: The Man in the Machine,75,57,69,['Documentary'],R,2h 8m,2015,"['Alex Gibney', 'Bob Belleville', 'Chrisann Brennan', 'Nolan Bushnell', 'Jason Chen']",['Alex Gibney']
Emelie,89,40,72,['Mystery & Thriller'],,1h 26m,2015,"['Sarah Bolger', 'Joshua Rush', 'Carly Adams', 'Thomas Bair', 'Susan Pourfar']",['Michael Thelin']
Wiener-Dog,74,41,62,['Comedy'],R,1h 27m,2016,"['Keaton Nigel Cooke', 'Tracy Letts', 'Julie Delpy', 'Greta Gerwig', 'Kieran Culkin']",['Todd Solondz']
Land of Mine,92,88,90,"['War', 'History', 'Drama']",R,1h 40m,2015,"['Roland Møller', 'Mikkel Boe Følsgaard', 'Laura Bro', 'Louis Hofmann', 'Joel Basman']",['Martin Zandvliet']
The Starling Girl,92,98,94,['Drama'],R,1h 56m,2023,"['Eliza Scanlen', 'Lewis Pullman', 'Jimmi Simpson', 'Wrenn Schmidt', 'Claire Elizabeth Green']",['Laurel Parmet']
Quill: The Life of a Guide Dog,80,81,80,['Drama'],,1h 40m,2004,"['Kaoru Kobayashi', 'Kippei Shiina', 'Teruyuki Kagawa', 'Keiko Toda', 'Shinobu Terajima']",['Yoichi Sai 2']
Women on the Verge of a Nervous Breakdown,92,89,91,"['Comedy', 'Drama']",R,1h 28m,1988,"['Carmen Maura', 'Antonio Banderas', 'Julieta Serrano', 'María Barranco', 'Rossy de Palma']",['Pedro Almodovar']
The Adderall Diaries,25,27,25,['Drama'],R,1h 27m,2015,"['James Franco', 'Ed Harris', 'Amber Heard', 'Cynthia Nixon', 'Christian Slater']",['Pamela Romanowsky']
Stevie,91,89,90,['Documentary'],R,2h 25m,2002,"['Stephen Fielding', 'Verna Hagler', 'Bernice Hagler', 'Brenda Hickam', 'Doug Hickam']",['Steve James 3']
The Forgotten Space,71,40,60,['Documentary'],,1h 56m,2010,"['Noël Burch', 'Allan Sekula', 'Joost Verhey', 'Frank Van Reemst', 'Louis Andriessen']","['Noel Burch', 'Allan Sekula']"
A Warrior's Heart,17,54,29,"['Drama', 'Romance']",PG,1h 38m,2011,"['Kellan Lutz', 'Adam Beach', 'Ashley Greene', 'Gabrielle Anwar', 'Chord Overstreet']",['Mike Sears']
It's a Boy Girl Thing,67,61,65,"['Romance', 'Comedy']",PG-13,1h 35m,2006,"['Samaire Armstrong', 'Kevin Zegers', 'Emily Hampshire', 'Libby Adams', 'John Bregar']",['Nick Hurran']
Toast,63,52,59,"['Comedy', 'Drama']",,1h 36m,2010,"['Helena Bonham Carter', 'Freddie Highmore', 'Ken Stott', 'Oscar Kennedy', 'Victoria Hamilton']",['Sj Clarkson']
The Charge of the Light Brigade,71,59,67,['Action'],,1h 56m,1936,"['Errol Flynn', 'Olivia de Havilland', 'Patric Knowles', 'Donald Crisp', 'Henry Stephenson']",['Michael Curtiz']
The Connection,77,71,75,"['Crime', 'Drama', 'Mystery & Thriller', 'Action']",R,2h 15m,2014,"['Jean Dujardin', 'Gilles Lellouche', 'Céline Sallette', 'Mélanie Doutey', 'Benoît Magimel']",['Cedric Jimenez']
The Unknown Known,81,70,77,['Documentary'],PG-13,1h 42m,2013,"['Donald Rumsfeld', 'Errol Morris', 'Errol Morris', 'Errol Morris', 'Amanda Branson Gill']",['Errol Morris']
