name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
No Way Out,20,43,27,['Mystery & Thriller'],,1h 29m,2022,"['Joey Bicicchi', 'Maia Mitchell', 'Guy Burnet', 'Ronnie Gene Blevins', 'Ashley Nicole Williams']",['Azi Rahman']
Escape Room: Tournament of Champions,51,75,59,"['Horror', 'Mystery & Thriller']",PG-13,1h 28m,2021,"['Taylor Russell', 'Logan Miller', 'Indya Moore', 'Holland Roden', 'Thomas Cocquerel']",['Adam Robitel']
City of Hope,94,82,90,['Drama'],R,2h 9m,1991,"['Vincent Spano', 'Joe Morton', 'Tony Lo Bianco', 'Anthony John Denison', 'Barbara Williams']",['John Sayles']
Beyond the Gates,83,29,65,"['Horror', 'Mystery & Thriller']",,1h 24m,2016,"['Graham Skipper', 'Chase Williamson', 'Barbara Crampton', 'Brea Grant', 'Sara Malakul Lane']",['Stewart Jackson']
The Tomorrow Man,42,44,42,"['Romance', 'Drama']",PG-13,1h 34m,2019,"['John Lithgow', 'Blythe Danner', 'Derek Cecil', 'Katie Aselton', 'Sophie Thatcher']",['Noble Jones']
After We Fell,8,37,17,"['Romance', 'Drama']",R,1h 39m,2021,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Arielle Kebbel', 'Mira Sorvino', 'Chance Perdomo']",['Castille Landon']
The Shadow,35,44,38,"['Action', 'Adventure']",PG-13,1h 42m,1994,"['Alec Baldwin', 'John Lone', 'Penelope Ann Miller', 'Peter Boyle', 'Ian McKellen']",['Russell Mulcahy']
The Death of Dick Long,75,86,78,"['Comedy', 'Drama']",R,1h 40m,2019,"['Michael Abbott Jr.', 'Virginia Newcomb', 'Andre Hyland', 'Sarah Baker', 'Jess Weixler']",['Daniel Scheinert']
Exiles,78,83,79,['Drama'],,1h 44m,2004,"['Romain Duris', 'Lubna Azabal', 'Leila Makhlouf', 'Habib Cheik', 'Zouhir Gacem']",['Tony Gatlif']
Villains,84,77,81,"['Comedy', 'Drama']",R,1h 29m,2019,"['Bill Skarsgård', 'Maika Monroe', 'Jeffrey Donovan', 'Kyra Sedgwick', 'Blake Baumgartner']","['Dan Berk', 'Robert Olsen 2']"
Astronaut,66,63,65,['Drama'],,1h 37m,2019,"['Richard Dreyfuss', 'Lyriq Bent', 'Krista Bridges', 'Colm Feore', 'Art Hindle']",['Shelagh Mcleod 2']
Bathtubs Over Broadway,100,90,96,['Documentary'],PG-13,1h 27m,2018,"['Steve Young', 'Martin Short', 'David Letterman', 'Chita Rivera', 'Susan Stroman']",['Dava Whisenant']
Sunshine,76,73,75,['Sci-Fi'],R,1h 47m,2007,"['Cillian Murphy', 'Chris Evans', 'Rose Byrne', 'Michelle Yeoh', 'Hiroyuki Sanada']",['Danny Boyle']
The Air Up There,21,35,25,['Comedy'],PG,1h 48m,1994,"['Kevin Bacon', 'Charles Gitonga Maina', 'Yolanda Vazquez', 'Winston Ntshona', 'Mabutho Sithole']",['Paul Michael Glaser']
The Last Resort,92,62,82,['Documentary'],,1h 10m,2018,"['Dennis Scholl', 'Kareem Tabsch', 'Dennis Scholl', 'Kareem Tabsch', 'Joey Daoud']","['Dennis Scholl', 'Kareem Tabsch']"
The Mandela Effect,20,65,35,['Mystery & Thriller'],,1h 20m,2019,"['Charlie Hofheimer', 'Aleksa Palladino', 'Robin Taylor', 'Clarke Peters', 'Madeleine McGraw']",['David Guy Levy']
The Blazing World,59,84,67,"['Horror', 'Mystery & Thriller']",,1h 41m,2021,"['Carlson Young', 'Dermot Mulroney', 'John Karna', 'Ace Anderson', 'Sophia Bernard']",['Carlson Young']
Rock Steady Row,88,89,88,['Drama'],,1h 17m,2018,"['Riley Geis', 'Logan Huffman', 'Heston Horwin', 'Tom McLoughlin', 'Allie Marie Evans']",['Trevor Stevens']
Watermelon Man,88,70,82,['Comedy'],R,1h 37m,1970,"['Godfrey Cambridge', 'Estelle Parsons', 'Howard Caine', ""D'Urville Martin"", 'Mantan Moreland']",['Melvin Van Peebles']
2016: Obama's America,26,73,41,['Documentary'],PG,1h 27m,2012,"['Cait Brasel', ""Dinesh D'Souza"", 'Sarah Obama', 'Shelby Steele', 'Zackary Steven Graham']","['Dinesh Dsouza', 'John Sullivan 8']"
