name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Enigma,72,54,66,['Mystery & Thriller'],R,1h 59m,2001,"['Dougray Scott', 'Kate Winslet', 'Saffron Burrows', 'Jeremy Northam', 'Nikolaj Coster-Waldau']",['Michael Apted']
In the Tall Grass,36,32,34,"['Drama', 'Horror']",,1h 30m,2019,"['Patrick Wilson', 'Laysla De Oliveira', 'Avery Whitted', 'Will Buie Jr.', 'Harrison Gilbertson']",['Vincenzo Natali']
Two of a Kind,17,37,23,['Fantasy'],PG,1h 28m,1983,"['John Travolta', 'Olivia Newton-John', 'Charles Durning', 'Beatrice Straight', 'Scatman Crothers']",['John Herzfeld']
Semper Fi,18,72,36,['Mystery & Thriller'],R,1h 39m,2019,"['Jai Courtney', 'Nat Wolff', 'Finn Wittrock', 'Beau Knapp', 'Arturo Castro']",['Henryalex Rubin']
The Hours and Times,82,57,73,"['Drama', 'Biography']",,1h 0m,1991,"['David Angus', 'Ian Hart', 'Stephanie Pack', 'Robin McDonald', 'Christopher Munch']",['Chris Munch']
The Brotherhood of Satan,13,34,20,['Horror'],PG,1h 32m,1971,"['Strother Martin', 'L.Q. Jones', 'Charles Bateman', 'Ahna Capri', 'Charles Robinson']",['Bernard Mceveety']
Ghosts of Sugar Land,100,48,82,['Documentary'],,21m,2019,"['Kc Okoro', 'Bassam Tariq', 'Thomas Niles', 'Bassam Tariq', 'Farihah Zaman']",['Bassam Tariq']
Nanpakal Nerathu Mayakkam,83,89,85,['Drama'],,1h 45m,2023,"['Mammootty', 'Ramya Pandian', 'Ashwanth Ashokkumar', 'Pramod Shetty', 'Ashokan']",['Lijo Jose Pellissery']
The Blood on Satan's Claw,73,57,67,['Horror'],R,1h 40m,1971,"['Patrick Wymark', 'Linda Hayden', 'Barry Andrews', 'Michele Dotrice', 'Wendy Padbury']",['Piers Haggard']
"Love, Charlie: The Rise and Fall of Chef Charlie Trotter",89,98,92,['Documentary'],,1h 37m,2021,"['Charlie Trotter', 'Wolfgang Puck', 'Emeril Lagasse', 'Grant Achatz', 'Reginald Watkins']",['Rebecca Halpern']
Inconceivable,36,60,44,"['Mystery & Thriller', 'Drama']",R,1h 45m,2017,"['Gina Gershon', 'Faye Dunaway', 'Nicolas Cage', 'Nicky Whelan', 'Natalie Eva Marie']",['Jonathan Baker']
The Mysteries of Pittsburgh,12,23,15,"['Adventure', 'Comedy', 'Drama', 'LGBTQ+']",R,1h 35m,2008,"['Sienna Miller', 'Mena Suvari', 'Peter Sarsgaard', 'Nick Nolte', 'Jon Foster']",['Rawson Marshall Thurber']
Boss,0,50,16,"['Action', 'Comedy']",,2h 23m,2013,"['Akshay Kumar', 'Aditi Rao Hydari', 'Shiv Pandit', 'Mithun Chakravarty', 'Ronit Roy']",['Anthony Dsouza']
Who Let the Dogs Out,100,33,77,['Documentary'],,1h 10m,2019,"['John Diemer', 'Brent Hodge', 'John Diemer', 'Brent Hodge', 'Ben Sisto']",['Brent Hodge']
Pilgrimage,68,46,60,"['Adventure', 'History', 'Drama']",,1h 36m,2017,"['Tom Holland', 'Richard Armitage', 'Jon Bernthal', 'Stanley Weber', 'John Lynch']",['Brendan Muldowney']
