Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2021,171,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
2021,172,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
2021,173,Dad,"$9,267,397",-,-,"$9,267,397",100%
2021,174,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
2021,175,Moonbound,"$8,859,492",-,-,"$8,859,492",100%
2021,176,The Eleventh Chapter,"$8,844,997",-,-,"$8,844,997",100%
2021,177,The Medium,"$8,826,689",-,-,"$8,826,689",100%
2021,178,The Vault,"$8,803,864",-,-,"$8,803,864",100%
2021,179,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
2021,180,The Protégé,"$8,737,253","$7,446,823",85.2%,"$1,290,430",14.8%
2021,181,Lost Illusions,"$8,635,184","$126,391",1.5%,"$8,508,793",98.5%
2021,182,Agent Backkom: Kings Bear,"$8,578,734",-,-,"$8,578,734",100%
2021,183,Pil's Adventures,"$8,567,345",-,-,"$8,567,345",100%
2021,184,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
2021,185,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
2021,186,Delicious,"$8,371,523",-,-,"$8,371,523",100%
2021,187,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
2021,188,Girls to Buy,"$8,177,284",-,-,"$8,177,284",100%
2021,189,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
2021,190,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
2021,191,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
2021,192,Contra,"$7,762,797",-,-,"$7,762,797",100%
2021,193,Hard Hit,"$7,658,021",-,-,"$7,658,021",100%
2021,194,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
2021,195,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
2021,196,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
2021,197,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
