name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
I Knew It Was You: Rediscovering John Cazale,83,85,83,"['Documentary', 'Biography']",,39m,2009,"['John Cazale', 'Steve Buscemi', 'Francis Ford Coppola', 'Robert De Niro', 'Richard Dreyfuss']",['Richard Shepard']
Hatchet II,42,36,40,['Horror'],R,1h 25m,2010,"['Kane Hodder', 'Danielle Harris', 'Tony Todd', 'Parry Shen', 'Tom Holland']",['Adam Green']
Couples Retreat,10,39,19,['Comedy'],PG-13,1h 54m,2009,"['Vince Vaughn', 'Jason Bateman', 'Jon Favreau', 'Faizon Love', 'Kristin Davis']",['Peter Billingsley']
What's the Matter With Kansas?,60,58,59,['Documentary'],,1h 30m,2009,"['Joe Winston', 'Joe Winston', 'Laura Cohen', 'Eric Lambert', 'T.W. Li']",['Joe Winston']
The Devil Is a Woman,60,70,63,['Drama'],,1h 25m,1935,"['Marlene Dietrich', 'Lionel Atwill', 'Cesar Romero', 'Edward Everett Horton', 'Alison Skipworth']",['Joseph Von Sternberg']
Motivational Growth,80,78,79,"['Comedy', 'Drama', 'Fantasy', 'Horror']",,1h 44m,2013,"['Jeffrey Combs', 'Adrian Di Giovanni', 'Danielle Doetsch', 'Ken Brown', 'Laura Carlson']",['Don Thacker']
Fast Five,78,83,79,['Action'],PG-13,2h 10m,2011,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris']",['Justin Lin']
Middle Men,40,56,45,"['Drama', 'Crime']",R,1h 45m,2009,"['Luke Wilson', 'Giovanni Ribisi', 'Gabriel Macht', 'Jacinda Barrett', 'Laura Ramsey']",['George Gallo']
Bright Angel,80,27,62,['Drama'],R,1h 34m,1990,"['Dermot Mulroney', 'Lili Taylor', 'Sam Shepard', 'Valerie Perrine', 'Bill Pullman']",['Michael Fields']
Three and Out,17,41,25,['Comedy'],R,1h 46m,2008,"['Mackenzie Crook', 'Colm Meaney', 'Imelda Staunton', 'Jonathan Gershfield']",['Jonathan Gershfield']
Stake Land,75,62,70,['Horror'],R,1h 36m,2010,"['Nick Damici', 'Connor Paolo', 'Danielle Harris', 'Kelly McGillis', 'Sean Nelson']",['1183112 Jim Mickle']
Infinite Justice,43,54,46,['Drama'],,1h 32m,2006,"['Kevin Collins', 'Raza Jaffrey', 'Jennifer Calvert', 'Constantine Gregory', 'Irvine Iqbal']",['Jamil Dehlavi']
With Blood on My Hands: Pusher II,100,85,94,"['Crime', 'Drama']",,1h 36m,2004,"['Mads Mikkelsen', 'Leif Sylvester Petersen', 'Kurt Nielsen', 'Oyvind Hagen-Traberg', 'Dan Dommer']",['Nicolaswindingrefn']
Retribution,29,66,41,"['Action', 'Mystery & Thriller']",R,1h 30m,2023,"['Liam Neeson', 'Noma Dumezweni', 'Matthew Modine', 'Lily Aspell', 'Jack Champion']",['Nimrod Antal']
Small Town Murder Songs,79,48,68,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 16m,2010,"['Peter Stormare', 'Martha Plimpton', 'Jill Hennessy', 'Jackie Burroughs', 'Ari Cohen']",['Ed Gass Donnelly']
Blue Crush 2,33,40,35,"['Drama', 'Romance']",PG-13,2h 0m,2011,"['Sasha Jackson', 'Elizabeth Mathis', 'Sharni Vinson', 'Patrick Lyster', 'Gideon Emery']",['Mike Elliott']
The Resident,31,27,29,"['Mystery & Thriller', 'Drama']",R,1h 31m,2011,"['Hilary Swank', 'Jeffrey Dean Morgan', 'Christopher Lee', 'Lee Pace', 'Aunjanue Ellis-Taylor']",['Antti Jokinen']
The Assassination of Jesse James by the Coward Robert Ford,77,75,76,"['Western', 'History', 'Drama']",R,2h 40m,2007,"['Brad Pitt', 'Casey Affleck', 'Sam Shepard', 'Mary-Louise Parker', 'Sam Rockwell']",['Andrew Dominik']
Travels With My Aunt,50,46,48,['Comedy'],PG,1h 49m,1972,"['Maggie Smith', 'Alec McCowen', 'Louis Gossett Jr.', 'Robert Stephens', 'Cindy Williams']",['George Cukor']
Around the World Under the Sea,20,27,22,['Adventure'],G,1h 57m,1966,"['Lloyd Bridges', 'Shirley Eaton', 'Brian Kelly', 'David McCallum', 'Keenan Wynn']",['Andrew Marton']
Virtuosity,32,32,32,['Action'],R,1h 45m,1995,"['Denzel Washington', 'Kelly Lynch', 'Russell Crowe', 'Stephen Spinella', 'William Forsythe']",['Brett Leonard']
After Ever Happy,0,92,30,"['Romance', 'Drama']",R,1h 35m,2022,"['Hero Fiennes Tiffin', 'Josephine Langford', 'Chance Perdomo', 'Stephen Moyer', 'Mira Sorvino']",['Castille Landon']
