name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Disney's A Christmas Carol,52,58,54,"['Kids & Family', 'Holiday', 'Fantasy', 'Drama', 'Animation']",PG,1h 35m,2009,"['Jim Carrey', 'Robin Wright', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins']",['Robertzemickis']
Sex Positive,82,59,74,"['Documentary', 'LGBTQ+']",R,1h 15m,2008,"['Don Adler', 'Richard Berkowitz', 'Demetre Daskalakis', 'Richard Dworkin', 'William Haseltine']",['1192637 Daryl Wein']
Wonderful World,42,33,39,"['Drama', 'Romance']",R,1h 35m,2009,"['Matthew Broderick', 'Sanaa Lathan', 'Michael Kenneth Williams', 'Jodelle Ferland', 'Philip Baker Hall']",['Joshua Goldin']
It Might Get Loud,79,85,81,"['Documentary', 'Music']",PG,1h 37m,2008,"['The Edge', 'Jimmy Page', 'Jack White', 'Dallas Schoo', 'Davis Guggenheim']",['Davis Guggenheim']
Alice Neel,75,93,81,['Documentary'],,1h 22m,2007,"['Andrew Neel', 'Chuck Close', 'Michel Auder', 'Marlene Dumas', 'Linda Nochlin']",['Andrew Neel']
Michael Jackson's This Is It,81,82,81,['Documentary'],PG,1h 51m,2009,"['Michael Jackson', 'Orianthi', 'Darryl Phinnessee', 'Timor Steffens', 'Dreya Weber']",['Kenny Ortega']
Water Drops on Burning Rocks,75,73,74,['Drama'],,1h 25m,2000,"['Bernard Giraudeau', 'Malik Zidi', 'Ludivine Sagnier', 'Anna Thomson', 'François Ozon']",['Francois Ozon']
Tinker Bell and the Legend of the NeverBeast,75,76,75,"['Kids & Family', 'Adventure', 'Fantasy', 'Animation']",G,1h 16m,2014,"['Ginnifer Goodwin', 'Mae Whitman', 'Rosario Dawson', 'Lucy Liu', 'Raven-Symoné']",['Steve Loter']
The Locksmith,32,58,40,"['Mystery & Thriller', 'Action']",,1h 32m,2023,"['Ryan Phillippe', 'Kate Bosworth', 'Ving Rhames', 'Jeffrey Nordling', 'Gabriela Quezada']",['Nicolas Harvard']
The Lottery,64,76,68,['Drama'],,1h 21m,2010,"['Joel Klein', 'Susan Taylor', 'Cory Booker', 'Geoffrey Canada', 'Eva Moskowitz']",['Madeleine Sackler']
New Town Killers,43,32,39,['Drama'],,1h 37m,2008,"['Dougray Scott', 'Alastair Mackenzie', 'James Anthony Pearson', 'Liz White', 'Charles Mnene']",['Richard Jobson']
The Yes Men Fix the World,75,78,76,['Documentary'],,1h 30m,2009,"['Andy Bichlbaum', 'Mike Bonanno', 'Andy Bichlbaum', 'Mike Bonanno', 'Kurt Engfehr']","['Andy Bichlbaum', 'Mike Bonanno 114', 'Kurt Engfehr']"
The Green Slime,23,40,28,['Sci-Fi'],TVPG,1h 28m,1969,"['Robert Horton', 'Luciana Paluzzi', 'Richard Jaeckel', 'Bud Widom', 'Ted Gunther']",['Kinji Fukasaku']
New York City Serenade,8,23,13,"['Comedy', 'Drama']",R,1h 43m,2007,"['Freddie Prinze Jr.', 'Chris Klein', 'Jamie-Lynn Sigler', 'Ben Schwartz', 'Heather Bucha']",['Frank Whaley']
Riverdance: The Animated Adventure,57,70,61,"['Fantasy', 'Animation']",,1h 40m,2021,"['Brendan Gleeson', 'Pierce Brosnan', 'Lilly Singh', 'Jermaine Fowler', 'John Kavanagh']","['Eamonn Butler', 'Dave Rosenbaum']"
The Oxford Murders,17,33,22,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 50m,2008,"['Elijah Wood', 'John Hurt', 'Leonor Watling', 'Julie Cox', 'Jim Carter']",['Alex De La Iglesia']
Guest of Cindy Sherman,71,64,68,['Documentary'],,1h 28m,2008,"['Tom Donahue', 'Paul H-O', 'Tom Donahue', 'Paul H-O', 'Anura Idupuganti']","['Tom Donahue', 'Paul Hasegawaoveracker']"
Tooth Fairy,17,41,25,"['Kids & Family', 'Comedy', 'Fantasy']",PG,1h 42m,2010,"['Dwayne Johnson', 'Ashley Judd', 'Stephen Merchant', 'Ryan Sheckler', 'Seth MacFarlane']",['Michael Lembeck']
Trash Humpers,60,44,54,['Horror'],,1h 18m,2009,"['Harmony Korine', 'Paul Booker', 'Dave Cloud', 'Chris Crofton', 'Charles Ezell']",['Harmony Korine']
The Experiment,72,88,77,"['Mystery & Thriller', 'Drama']",R,1h 56m,2001,"['Moritz Bleibtreu', 'Maren Eggert', 'Christian Berkel', 'Justus von Dohnányi', 'Oliver Stokowski']",['Oliver Hirschbiegel']
Jean-Michel Basquiat: The Radiant Child,86,87,86,['Documentary'],,1h 33m,2010,"['Tamra Davis', 'Lilly Bright', 'Stanley F. Buchthal', 'David Koh', 'Alexis Spraic']",['Tamra Davis']
Comfort and Joy,100,81,93,"['Comedy', 'Drama']",PG,1h 45m,1984,"['Bill Paterson', 'Eleanor David', 'Clare Grogan', 'Alex Norton', 'Patrick Malahide']",['Bill Forsyth']
Animals,87,60,78,"['Comedy', 'Drama']",,1h 49m,2019,"['Holliday Grainger', 'Alia Shawkat', 'Dermot Murphy', 'Amy Molloy', 'Pat Shortt']",['Sophie Hyde']
Standoff,53,44,49,['Mystery & Thriller'],R,1h 25m,2016,"['Laurence Fishburne', 'Thomas Jane', 'Ella Ballentine', 'Jim Watson', 'Ted Atherton']",['Adam Alleca']
The Stranger,92,75,86,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 57m,2022,"['Joel Edgerton', 'Sean Harris', 'Jada Alberts', 'Steve Mouzakis', 'Ewan Leslie']",['Thomas M Wright']
Kisses,85,80,83,['Drama'],,1h 16m,2008,"[""Kelly O'Neill"", 'Shane Curry', 'Paul Roe', 'Neilí Conroy', 'David Bendito']",['Lance Daly']
At Close Range,86,79,83,"['Crime', 'Drama']",R,1h 51m,1986,"['Sean Penn', 'Christopher Walken', 'Mary Stuart Masterson', 'Chris Penn', 'Millie Perkins']",['James Foley']
The Outfit,85,92,87,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 45m,2022,"['Mark Rylance', ""Dylan O'Brien"", 'Zoey Deutch', 'Johnny Flynn', 'Nikki Amuka-Bird']",['Graham Moore']
Eldorado: Everything the Nazis Hate,91,84,88,"['Documentary', 'LGBTQ+']",,1h 32m,2023,"['Benjamin Cantu', 'Felix Kriegsheim']",['Benjamin Cantu']
Valentine's Day,18,47,27,"['Holiday', 'Romance', 'Comedy', 'LGBTQ+']",PG-13,1h 59m,2010,"['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane']",['Gary Marshall']
Fire,89,81,86,['Drama'],,1h 44m,1996,"['Shabana Azmi', 'Nandita Das', 'Kulbhushan Kharbanda', 'Jaaved Jaafei', 'Ranjit Chowdhry']",['Deepa Mehta']
The Vicious Kind,70,70,70,"['Comedy', 'Drama']",R,1h 32m,2009,"['Adam Scott', 'Brittany Snow', 'Alex Frost', 'J.K. Simmons', 'Vittorio Brahm']",['Lee Toland Krieger']
Storm,82,67,77,['Drama'],,1h 45m,2009,"['Anamaria Marinca', 'Kerry Fox', 'Stephen Dillane', 'Rolf Lassgård', 'Alexander Fehling']",['Hans Christian Schmid']
The Jazz Singer,26,69,40,['Musical'],PG,1h 55m,1980,"['Neil Diamond', 'Laurence Olivier', 'Lucie Arnaz', 'Catlin Adams', 'Franklin Ajaye']",['Richard Fleischer']
American Anthem,0,64,21,['Drama'],PG-13,1h 42m,1986,"['Mitchell Gaylord', 'Janet Jones', 'Michelle Phillips', 'R.J. Williams', 'Michael Pataki']",['Albert Magnoli']
Beyond the Reach,37,20,31,"['Mystery & Thriller', 'Action']",R,1h 31m,2014,"['Michael Douglas', 'Jeremy Irvine', 'Hanna Mangan Lawrence', 'Ronny Cox', 'Patricia Bethune']",['Jean Baptiste Leonetti']
Role Models,77,74,76,['Comedy'],R,1h 39m,2008,"['Seann William Scott', 'Paul Rudd', 'Christopher Mintz-Plasse', 'Jane Lynch', ""Bobb'e J. Thompson""]",['David Wain']
Galaxy of Terror,29,28,28,['Sci-Fi'],R,1h 20m,1981,"['Edward Albert', 'Erin Moran', 'Ray Walston', 'Bernard Behrens', 'Zalman King']",['Bd Clark']
Trash Humpers,60,44,54,['Horror'],,1h 18m,2009,"['Harmony Korine', 'Paul Booker', 'Dave Cloud', 'Chris Crofton', 'Charles Ezell']",['Harmony Korine']
The End of Poverty?,52,76,60,['Documentary'],,1h 46m,2008,"['Martin Sheen', 'Philippe Diaz', 'Philippe Diaz', 'Clifford Cobb', 'Beth Portello']",['Philippe Diaz']
Hellbent,48,42,46,"['Horror', 'LGBTQ+']",R,1h 25m,2004,"['Dylan Fergus', 'Bryan Kirkwood', 'Hank Harris', 'Andrew Levitas', 'Matt Phillips']",['Paul Etheredge Ouzts 5']
Born Into Brothels,95,91,93,"['Documentary', 'Biography']",R,1h 25m,2004,"['Avijit Halder', 'Shanti Das', 'Zana Briski', 'Ross Kauffman', 'Ross Kauffman']","['Zana Briski 4', 'Ross Kauffman']"
Kurt Cobain About a Son,74,78,75,['Documentary'],,1h 37m,2006,"['AJ Schnack', 'Shirley Moyers', 'Noah Khoshbin', 'Chris Green', 'Ravi Anne']",['Aj Schnack']
Audrey Rose,57,43,52,['Horror'],PG,1h 53m,1977,"['Marsha Mason', 'Anthony Hopkins', 'John Beck', 'Susan Swift', 'Norman Lloyd']",['Robert Wise']
Loins of Punjab Presents,64,72,66,['Comedy'],,1h 28m,2007,"['Manish Acharya', 'Avantika Akerkar', 'Shabana Azmi', 'Manish Acharya', 'Manish Acharya']",['1191259 Manish Acharya']
Holding Trevor,25,30,26,"['Drama', 'Romance', 'LGBTQ+']",R,1h 28m,2007,"['Brent Gorski', 'Jay Brannan', 'Melissa Searing', 'Eli Kranski', 'Christopher Wyllie']",['Rosser Goodman']
I Do Not Care If We Go Down in History as Barbarians,92,62,82,"['Comedy', 'Drama']",,2h 20m,2018,"['Ioana Iacob', 'Alex Bogdan', 'Alexandru Dabija', 'Ion Rizea', 'Claudia Ieremia']",['Radu Jude']
Bird,80,79,79,"['Biography', 'History', 'Drama', 'Music']",R,2h 41m,1988,"['Forest Whitaker', 'Diane Venora', 'Samuel E. Wright', 'Keith David', 'Michael McGuire']",['Clint Eastwood']
Mother and Child,78,76,77,['Drama'],R,2h 6m,2009,"['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Jimmy Smits', 'Samuel L. Jackson']",['Rodrigo Garcia 4']
City of God,91,97,93,"['Crime', 'Drama']",R,2h 11m,2002,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen']",['Fernando Meirelles']
Tightrope,85,50,73,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 54m,1984,"['Clint Eastwood', 'Geneviève Bujold', 'Dan Hedaya', 'Alison Eastwood', 'Jennifer Beck']",['Richard Tuggle']
Brain Dead,17,69,34,['Sci-Fi'],R,1h 25m,1990,"['Bill Pullman', 'Bill Paxton', 'Bud Cort', 'Nicholas Pryor', 'Patricia Charbonneau']",['Adam Simon']
A Haunted House 2,8,43,19,"['Comedy', 'Horror']",R,1h 27m,2014,"['Marlon Wayans', 'Jaime Pressly', 'Essence Atkins', 'Gabriel ""Fluffy"" Iglesias', 'Cedric the Entertainer']",['Michael Tiddes']
City of the Walking Dead,50,40,46,['Horror'],R,1h 32m,1980,"['Hugo Stiglitz', 'Laura Trotter', 'Mel Ferrer', 'Francisco Rabal', 'Maria Rosaria Omaggio']",['Umberto Lenzi']
The Crazies,71,56,66,"['Horror', 'Mystery & Thriller']",R,1h 41m,2010,"['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson', 'Danielle Panabaker', 'Christie Lynn Smith']",['Breck Eisner']
American Guerrilla in the Philippines,67,25,53,['War'],,1h 45m,1950,"['Tyrone Power', 'Micheline Presle', 'Tom Ewell', 'Robert Patten', 'Tommy Cook']",['Fritz Lang']
Back to the Future Part II,63,85,70,"['Comedy', 'Sci-Fi', 'Fantasy', 'Adventure']",PG,1h 47m,1989,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Tom Wilson', 'Harry Waters Jr.']",['Robertzemickis']
Spy Kids 2: The Island of Lost Dreams,75,39,63,"['Kids & Family', 'Adventure', 'Action', 'Comedy']",PG,1h 39m,2002,"['Antonio Banderas', 'Carla Gugino', 'Alexa PenaVega', 'Daryl Sabara', 'Steve Buscemi']",['Robert Rodriguez']
Red Riding: 1980,93,75,87,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 33m,2009,"['Warren Clarke', 'Paddy Considine', 'James Fox', 'David Calder', 'Nicholas Woodeson']",['James Marsh 2']
"A Galaxy Far, Far Away",57,24,46,['Documentary'],,1h 2m,2001,"['Tariq Jalil', 'Tariq Jalil', 'Tariq Jalil']",['Tariq Jalil']
Serious Moonlight,24,25,24,"['Comedy', 'Drama']",R,1h 24m,2009,"['Meg Ryan', 'Timothy Hutton', 'Kristen Bell', 'Justin Long', 'Derek Carter']",['Cheryl Hines']
Boogie Woogie,32,22,28,"['Drama', 'Comedy']",R,1h 30m,2009,"['Gillian Anderson', 'Alan Cumming', 'Heather Graham', 'Danny Huston', 'Jack Huston']",['Duncan Ward']
"Merry Christmas, Mr. Lawrence",86,79,83,['War'],R,2h 4m,1983,"['David Bowie', 'Tom Conti', 'Ryuichi Sakamoto', 'Takeshi Kitano', 'Jack Thompson']",['Nagisa Oshima']
Alice Neel,75,93,81,['Documentary'],,1h 22m,2007,"['Andrew Neel', 'Chuck Close', 'Michel Auder', 'Marlene Dumas', 'Linda Nochlin']",['Andrew Neel']
Snow White and the Huntsman,49,52,50,"['Fantasy', 'Adventure', 'Action']",PG-13,2h 7m,2012,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth', 'Sam Claflin', 'Sam Spruell']",['Rupert Sanders']
Wild in the Country,50,57,52,['Drama'],,1h 54m,1961,"['Elvis Presley', 'Hope Lange', 'Tuesday Weld', 'Millie Perkins', 'Rafer Johnson']",['Philip Dunne']
G.I. Blues,0,69,23,"['Musical', 'Comedy']",PG,1h 44m,1960,"['Elvis Presley', 'Juliet Prowse', 'Robert Ivers', 'Letícia Román', 'Ludwig Stössel']",['Norman Taurog']
Rover Dangerfield,40,56,45,"['Kids & Family', 'Comedy', 'Animation']",G,1h 14m,1991,"['Rodney Dangerfield', 'Ronnie Schell', 'Ned Luke', 'Eddie Barth', 'Lara Cody']","['Jim George', 'Bob Seeley']"
What If,74,69,72,"['Romance', 'Comedy']",PG-13,1h 42m,2013,"['Daniel Radcliffe', 'Zoe Kazan', 'Megan Park', 'Adam Driver', 'Mackenzie Davis']",['Michael Dowse']
Red Riding: 1980,93,75,87,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 33m,2009,"['Warren Clarke', 'Paddy Considine', 'James Fox', 'David Calder', 'Nicholas Woodeson']",['James Marsh 2']
Knight and Day,52,49,51,"['Action', 'Comedy']",PG-13,1h 49m,2010,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Jordi Mollà', 'Viola Davis']",['James Mangold']
Under the Sea,94,75,87,['Documentary'],G,35m,2009,"['Jim Carrey', 'Howard Hall', 'Toni Myers', 'Michele Hall', 'Graeme Ferguson']",['Howard Hall 4']
Zombieland,89,86,88,"['Comedy', 'Horror']",R,1h 27m,2009,"['Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone', 'Abigail Breslin', 'Amber Heard']",['Ruben Fleischer']
A Moment in the Reeds,92,71,85,"['Drama', 'Romance']",,1h 48m,2017,"['Janne Puustinen', 'Boodi Kabbani', 'Mika Melender', 'Virpi Rautsiala', 'Mikko Mäkelä']",['Mikko Makela']
Not of This Earth,33,21,29,['Sci-Fi'],R,1h 21m,1988,"['Traci Lords', 'Arthur Roberts', 'Lenny Juliano', 'Ace Mask', 'Roger Lodge']",['Jim Wynorski']
Nim's Island,53,46,50,"['Kids & Family', 'Adventure', 'Comedy', 'Fantasy']",PG,1h 34m,2008,"['Abigail Breslin', 'Jodie Foster', 'Gerard Butler', 'Michael Carman', 'Mark Brady']","['Jennifer Flackett', 'Mark Levin']"
Bright Star,83,68,78,"['Drama', 'Romance']",PG,1h 59m,2009,"['Abbie Cornish', 'Ben Whishaw', 'Paul Schneider', 'Kerry Fox', 'Edie Martin']",['Jane Campion']
Make-Out With Violence,64,46,58,['Romance'],,1h 45m,2008,"['Amanda Bailey', 'Cody Devos', 'Jack Doyle', 'Josh Duensing', 'Leah High']",['Deagol Brothers']
A Fierce Green Fire,70,62,67,['Documentary'],,1h 41m,2012,"['Robert Redford', 'Ashley Judd', 'Van Jones', 'Isabel Allende', 'Meryl Streep']",['Mark Kitchell']
A Midwinter's Tale,81,88,83,['Comedy'],R,1h 38m,1995,"['Michael Maloney', 'Richard Briers', 'Mark Hadfield', 'Nicholas Farrell', 'Gerard Horan']",['Kenneth Branagh']
Operation Condor,80,63,74,['Action'],PG-13,1h 29m,1991,"['Jackie Chan', 'Carol ""Do Do"" Cheng', 'Eva Cobo de Garcia', 'Masako Ikeda', 'Aldo Sambrell']",['Jackie Chan']
She's Out of Control,11,52,24,['Comedy'],PG,1h 37m,1989,"['Tony Danza', 'Catherine Hicks', 'Ami Dolenz', 'Wallace Shawn', ""Dick O'Neill""]",['Stan Dragoti']
The Slammin' Salmon,35,47,39,['Comedy'],R,1h 38m,2009,"['Michael Clarke Duncan', 'Jay Chandrasekhar', 'Kevin Heffernan', 'Paul Soter', 'Steve Lemme']",['Kevin Heffernan']
Creation,47,49,47,"['Biography', 'Drama']",PG-13,1h 48m,2009,"['Paul Bettany', 'Jennifer Connelly', 'Jeremy Northam', 'Toby Jones', 'Benedict Cumberbatch']",['Jon Amiel']
Forbidden World,60,30,50,['Sci-Fi'],R,1h 26m,1982,"['Jesse Vint', 'June Chadwick', 'Dawn Dunlap', 'Linden Chiles', 'Fox Harris']",['Allan Holzmann']
Breakfast With Scot,54,64,57,"['Comedy', 'Drama', 'LGBTQ+']",PG-13,1h 33m,2007,"['Tom Cavanagh', 'Ben Shenkman', 'Noah Bernett', 'Graham Greene', 'Jeananne Goossen']",['Laurie Lynd']
Little Ashes,24,49,32,"['Drama', 'LGBTQ+']",R,1h 37m,2008,"['Robert Pattinson', 'Javier Beltran', 'Matthew McNulty', 'Marina Gatell', 'Simon Andreu']",['Paul Morrisson']
The Fourth Kind,18,41,25,['Mystery & Thriller'],PG-13,1h 38m,2009,"['Milla Jovovich', 'Will Patton', 'Elias Koteas', 'Corey Johnson', 'Enzo Cilenti']",['Olatunde Osunsanmi']
High Voltage,33,10,25,"['Horror', 'Mystery & Thriller']",,1h 31m,2018,"['David Arquette', 'Luke Wilson', 'Allie Gonino', 'Perrey Reeves', 'Ryan Donowho']",['Alex Keledjian']
Bad Lieutenant: Port of Call New Orleans,86,57,76,"['Crime', 'Drama']",R,2h 1m,2009,"['Nicolas Cage', 'Eva Mendes', 'Val Kilmer', 'Xzibit', 'Fairuza Balk']",['Werner Herzog']
Streamers,55,44,51,['Drama'],R,1h 58m,1983,"['Matthew Modine', 'Michael Wright', 'Mitchell Lichtenstein', 'David Alan Grier', 'Guy Boyd']",['Robert Altman']
Sweet Sweetback's Baadasssss Song,75,48,66,"['Crime', 'Drama']",R,1h 37m,1971,"['Melvin Van Peebles', 'Simon Chuckster', 'Hubert Scales', 'John Dullaghan', 'West Gale']",['Melvin Van Peebles']
