name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Disgrace,83,62,76,['Drama'],R,1h 58m,2008,"['John Malkovich', 'Jessica Haines', 'Eriq Ebouaney', 'Fiona Press', 'Antoinette Engel']",['Steve Jacobs 2']
Carny,57,51,55,['Drama'],R,1h 47m,1980,"['Gary Busey', 'Jodie Foster', 'Robbie Robertson', 'Meg Foster', 'Kenneth McMillan']",['Robert Kaylor']
The Disappearance of Alice Creed,81,67,76,['Mystery & Thriller'],R,1h 40m,2009,"['Gemma Arterton', 'Martin Compston', 'Eddie Marsan', 'J Blakeson', 'J Blakeson']",['Jblakeson']
My Favorite Blonde,100,73,90,['Comedy'],,1h 18m,1942,"['Bob Hope', 'Madeleine Carroll', 'Gale Sondergaard', 'George Zucco', 'Lionel Royce']",['Sidney Lanfield']
Good,34,32,33,"['History', 'Drama']",R,1h 36m,2008,"['Viggo Mortensen', 'Jason Isaacs', 'Jodie Whittaker', 'Mark Strong', 'Steven Mackintosh']",['Vicente Amorim']
The Cave,0,45,15,"['Adventure', 'Drama', 'Mystery & Thriller']",PG-13,1h 44m,2019,"['Jim Warny', 'Ekawat Niratvorapanya', 'Lawrence de Stefano', 'Ron Smoorenburg', 'Kelly B. Jones']",['Tom Waller']
The Glass Bottom Boat,57,74,62,"['Comedy', 'Drama']",,1h 50m,1966,"['Doris Day', 'Rod Taylor', 'Arthur Godfrey', 'John McGiver', 'Paul Lynde']",['Frank Tashlin']
Evil Toons,33,25,30,['Horror'],R,1h 26m,1991,"['David Carradine', 'Dick Miller', 'Monique Gabrielle', 'Suzanne Ager', 'Barbara Dare']",['Fred Olen Ray']
Piranha,74,45,64,"['Horror', 'Mystery & Thriller']",R,1h 28m,2010,"['Elisabeth Shue', 'Adam Scott', ""Jerry O'Connell"", 'Ving Rhames', 'Jessica Szohr']",['Alexandre Aja']
Ciao,25,45,31,"['Drama', 'LGBTQ+']",R,1h 27m,2008,"['Adam Neal Smith', 'Alessandro Calza', 'Ethel Lung', 'Chuck Blaum', 'Yen Tan']",['Yen Tan']
The Greek Tycoon,0,27,9,['Drama'],R,1h 46m,1978,"['Anthony Quinn', 'Jacqueline Bisset', 'Edward Albert', 'Raf Vallone', 'James Franciscus']",['Lee Lee Thompson']
Frozen,90,85,88,"['Kids & Family', 'Musical', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",PG,1h 42m,2013,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']","['Chris Buck', 'Jennifer Lee 6']"
Kingdom of the Spiders,44,36,41,"['Horror', 'Sci-Fi']",PG,1h 34m,1977,"['William Shatner', 'Tiffany Bolling', 'Woody Strode', 'Lieux Dressler', 'Altovise Davis']",['John Cardos']
Lost Boys: The Thirst,0,33,11,['Horror'],R,1h 22m,2010,"['Corey Feldman', 'Jamison Newlander', 'Tanit Phoenix', 'Casey B. Dolan', 'Seb Castang']",['Dario Piana']
Brothers ... Blood Against Blood,47,58,50,"['Action', 'Drama']",,2h 36m,2015,"['Akshay Kumar', 'Sidharth Malhotra', 'Jackie Shroff', 'Jacqueline Fernandez', 'Shefali Shetty']",['Karan Malhotra']
Tenderness,40,22,34,"['Crime', 'Drama']",R,1h 41m,2008,"['Russell Crowe', 'Laura Dern', 'Jon Foster', 'Sophie Traub', 'Tanya Clarke']",['John Polson']
Formosa Betrayed,33,55,40,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 48m,2009,"['James Van Der Beek', 'Tzi Ma', 'Will Tiao', 'Wendy Crewson', 'John Heard']",['Adam Kane']
Stoned,16,44,25,"['Biography', 'Drama']",R,1h 42m,2005,"['Leo Gregory', 'Paddy Considine', 'David Morrissey', 'Ben Whishaw', 'Tuva Novotny']",['Stephen Woolley']
Legendary,20,59,33,['Drama'],PG-13,1h 47m,2010,"['Patricia Clarkson', 'John Cena', 'Devon Graye', 'Danny Glover', 'Tyler Posey']",['Mel Damski']
Yonkers Joe,52,49,51,['Drama'],R,1h 41m,2008,"['Chazz Palminteri', 'Christine Lahti', 'Tom Guiry', 'Michael Lerner', 'Linus Roache']",['Robert Celestino']
Winnebago Man,90,80,86,"['Documentary', 'Biography', 'Comedy']",,1h 27m,2009,"['Ben Steinbauer', 'Jack Rebney', 'Nick Prueher', 'Mike Mitchell', 'Kent Osborne']",['Ben Steinbauer']
The Switch,53,44,49,"['Romance', 'Comedy']",PG-13,1h 41m,2010,"['Jennifer Aniston', 'Jason Bateman', 'Thomas Robinson', 'Patrick Wilson', 'Jeff Goldblum']","['Josh Gordon', 'Will Speck']"
Puss in Boots: The Last Wish,95,94,94,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 42m,2022,"['Antonio Banderas', 'Salma Hayek', 'Olivia Colman', 'Harvey Guillen', 'Samson Kayo']",['Joel Crawford']
Hansel & Gretel: Witch Hunters,16,53,28,"['Fantasy', 'Horror', 'Action', 'Adventure']",R,1h 28m,2013,"['Jeremy Renner', 'Gemma Arterton', 'Famke Janssen', 'Peter Stormare', 'Thomas Mann']",['Tommy Wirkola']
Best Worst Movie,94,84,90,['Documentary'],,1h 31m,2009,"['George Hardy', 'Michael Stephenson', 'Darren Ewing', 'Jason Wright', 'Randall Colburn']",['Michael Stephenson 2']
"Paris, Texas",94,93,93,['Drama'],R,2h 28m,1984,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Aurore Clément', 'Hunter Carson']",['Wim Wenders']
Brewster McCloud,86,82,84,['Comedy'],R,1h 45m,1970,"['Bud Cort', 'Sally Kellerman', 'Michael Murphy', 'William Windom', 'Shelley Duvall']",['Robert Altman']
Nothing but the Truth,82,73,79,['Drama'],R,1h 47m,2008,"['Kate Beckinsale', 'Matt Dillon', 'Angela Bassett', 'Vera Farmiga', 'Alan Alda']",['Rod Lurie']
Cirque du Freak: The Vampire's Assistant,37,42,38,"['Fantasy', 'Adventure', 'Horror', 'Action']",PG-13,1h 49m,2009,"['John C. Reilly', 'Ken Watanabe', 'Josh Hutcherson', 'Chris Massoglia', 'Ray Stevenson']",['Paul Weitz']
Fingers,85,68,79,['Drama'],R,1h 31m,1978,"['Harvey Keitel', 'Tisa Farrow', 'Jim Brown', 'Michael V. Gazzo', 'Marian Seldes']",['James Toback']
The Music of Strangers: Yo-Yo Ma & the Silk Road Ensemble,85,84,84,"['Documentary', 'Music']",PG-13,1h 36m,2015,"['Yo-Yo Ma', 'Morgan Neville', 'Caitrin Rogers', 'Laura Freid', 'Jeff Skoll']",['Morgan Neville']
The Red Baron,17,43,25,"['Action', 'Adventure', 'History', 'Drama', 'War']",PG-13,1h 46m,2008,"['Matthias Schweighöfer', 'Lena Headey', 'Til Schweiger', 'Joseph Fiennes', 'Volker Bruch']",['770780777']
Hell Is for Heroes,88,74,83,"['War', 'Drama']",,1h 30m,1962,"['Steve McQueen', 'Bobby Darin', 'Fess Parker', 'Harry Guardino', 'James Coburn']",['Don Siegel']
Open Season,49,57,51,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 27m,2006,"['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing', 'Billy Connolly']","['Jill Culton', 'Anthony Stacchi', 'Roger Allers']"
Greenberg,77,42,65,"['Comedy', 'Drama', 'Romance']",R,1h 47m,2010,"['Ben Stiller', 'Greta Gerwig', 'Rhys Ifans', 'Jennifer Jason Leigh', 'Chris Messina']",['Noah Baumbach']
The Secret of Moonacre,23,46,30,"['Adventure', 'Fantasy', 'Romance']",PG,1h 43m,2009,"['Ioan Gruffudd', 'Dakota Blue Richards', 'Tim Curry', 'Natascha McElhone', 'Juliet Stevenson']",['Gabor Csupo']
Bronson,75,74,74,"['Biography', 'Drama']",R,1h 32m,2008,"['Tom Hardy', 'Kelly Adams', 'Luing Andrews', 'Katy Barker', 'Amanda Burton']",['Nicolaswindingrefn']
Noise,100,69,89,['Drama'],,1h 44m,2022,"['Julieta Egurrola', 'Teresa Ruiz', 'Érick Israel Consuelo', 'Arturo Beristáin', 'Alphonso Escobedo']",['Natalia Beristain']
The Book of Love,8,63,26,"['Comedy', 'Drama']",PG-13,1h 44m,2016,"['Jason Sudeikis', 'Maisie Williams', 'Jessica Biel', 'Orlando Jones', 'Paul Reiser']",['Bill Purple 2']
Waiting for Armageddon,80,42,67,['Documentary'],,1h 14m,2009,"['Kate Davis', 'David Heilbroner', 'Franco Sacchi', 'David Heilbroner', 'Franco Sacchi']","['Kate Davis', 'David Heilbroner', '770828724']"
Flicka,54,82,63,"['Kids & Family', 'Drama', 'Adventure']",PG,1h 35m,2006,"['Alison Lohman', 'Tim McGraw', 'Maria Bello', 'Ryan Kwanten', 'Dallas Roberts']",['Michael Mayer 3']
Nowhere Boy,80,74,78,"['Drama', 'Biography']",R,1h 37m,2009,"['Aaron Taylor-Johnson', 'Kristin Scott Thomas', 'Anne-Marie Duff', 'David Threlfall', 'Thomas Brodie-Sangster']",['Sam Taylor Johnson']
Brothers at War,70,68,69,"['Documentary', 'War']",R,1h 52m,2009,"['Claus Rademacher', 'Jake Rademacher', 'Jake Rademacher', 'David Scantling', 'Gary Sinise']",['Jake Rademacher']
The Crimson Wing: Mystery of the Flamingos,75,74,74,['Documentary'],G,1h 17m,2008,"['Zabou Breitman', 'Mariella Frostrup', 'Karoline Herfurth', 'Matthew Aeberhard', 'Leander Ward']","['Matthew Aeberhard', 'Leander Ward']"
Girlfriends,93,70,85,"['Comedy', 'Drama']",PG,1h 28m,1978,"['Melanie Mayron', 'Anita Skinner', 'Eli Wallach', 'Christopher Guest', 'Bob Balaban']",['Claudia Weill']
Temple Grandin,100,94,97,"['Drama', 'Biography']",TVPG,1h 50m,2010,"['Claire Danes', ""Catherine O'Hara"", 'Julia Ormond', 'David Strathairn', 'Stephanie Faracy']",['Mick Jackson']
Search and Destroy,33,41,35,"['Comedy', 'Drama']",R,1h 30m,1995,"['Griffin Dunne', 'Illeana Douglas', 'Dennis Hopper', 'Christopher Walken', 'John Turturro']",['David Salle']
Black Fury,80,50,70,['Drama'],,1h 35m,1935,"['Paul Muni', 'Karen Morley', 'William Gargan', 'Barton MacLane', 'John Qualen']",['Michael Curtiz']
Crazy on the Outside,8,29,15,['Comedy'],PG-13,1h 36m,2010,"['Tim Allen', 'Sigourney Weaver', 'Ray Liotta', 'Jeanne Tripplehorn', 'Julie Bowen']",['Tim Allen']
Invictus,76,75,75,"['Drama', 'Biography']",PG-13,2h 14m,2009,"['Morgan Freeman', 'Matt Damon', 'Tony Kgoroge', 'Patrick Mofokeng', 'Matt Stern']",['Clint Eastwood']
Uncertainty,50,33,44,['Drama'],,1h 44m,2008,"['Joseph Gordon-Levitt', 'Lynn Collins', 'Assumpta Serna', 'Olivia Thirlby', 'Louis Arcella']","['Scott Mcgehee', 'David Siegel 6']"
Dark Nature,72,15,53,"['Horror', 'Mystery & Thriller']",,1h 25m,2022,"['Hannah Emily Anderson', 'Madison Walsh', 'Roseanne Supernault', 'Kyra Harper', 'Helen Belay']",['Berkley Brady']
These Are the Damned,88,52,76,['Sci-Fi'],,1h 36m,1962,"['Macdonald Carey', 'Shirley Anne Field', 'Viveca Lindfors', 'Alexander Knox', 'Oliver Reed']",['Joseph Losey']
I Am D.B. Cooper,22,80,41,"['Crime', 'Drama']",,1h 40m,2022,"['Ryan Cory', 'Chris Grounds', 'Rodney Bonnifield', 'Mike Rocha', 'Rainee Blake']",['Tj Regan']
"Standing Up, Falling Down",87,86,86,"['Comedy', 'Drama']",,1h 31m,2019,"['Billy Crystal', 'Ben Schwartz', 'Eloise Mumford', 'Grace Gummer', 'Nathan Corddry']",['Matt Ratner']
Inconceivable,36,60,44,"['Mystery & Thriller', 'Drama']",R,1h 45m,2017,"['Gina Gershon', 'Faye Dunaway', 'Nicolas Cage', 'Nicky Whelan', 'Natalie Eva Marie']",['Jonathan Baker']
Leap Year,93,56,80,['Drama'],,1h 34m,2010,"['Monica del Carmen', 'Gustavo Sánchez Parra', 'Marco Zapata', 'Michael Rowe', 'Michael Rowe']",['Michael Rowe']
Mock Up on Mu,86,40,70,"['Comedy', 'Sci-Fi']",,1h 54m,2008,"['Stoney Burke', 'Jeri Lynn Cohen', 'Ed Holmes', 'Damon Packard', 'Michelle Silva']",['Craig Baldwin 3']
Reds,90,82,87,['Drama'],PG,3h 15m,1981,"['Warren Beatty', 'Diane Keaton', 'Jack Nicholson', 'Maureen Stapleton', 'Edward Herrmann']",['Warren Beatty']
Fire,89,81,86,['Drama'],,1h 44m,1996,"['Shabana Azmi', 'Nandita Das', 'Kulbhushan Kharbanda', 'Jaaved Jaafei', 'Ranjit Chowdhry']",['Deepa Mehta']
Misconception,40,38,39,['Documentary'],PG-13,1h 33m,2014,"['Kyra Sedgwick', 'Jessica Yu', 'Jessica Yu', 'Jessica Yu', 'Elise Pearlstein']",['Jessica Yu']
Sea of Love,75,66,72,"['Mystery & Thriller', 'Drama']",R,1h 52m,1989,"['Al Pacino', 'Ellen Barkin', 'John Goodman', 'Michael Rooker', 'William Hickey']",['Harold Becker']
Daybreakers,69,49,62,"['Horror', 'Sci-Fi', 'Action']",R,1h 38m,2009,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Vince Colosimo']","['Michael Spierig', 'Peter Spierig']"
The Universe of Keith Haring,68,69,68,['Documentary'],,1h 30m,2008,"['Christina Clausen', 'Paolo Bruno', 'Éric Elléna', 'Ian Ayres', 'Angelo Talocci']",['Christina Clausen 6']
Space Chimps 2: Zartog Strikes Back,0,34,11,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 15m,2010,"['Cheryl Hines', 'Patrick Warburton', 'Stanley Tucci', 'Tom Kinney', 'Zack Shada']",['John H Williams']
Winter's Bone,94,76,88,['Drama'],R,1h 39m,2010,"['Jennifer Lawrence', 'John Hawkes', 'Kevin Breznahan', 'Dale Dickey', 'Garret Dillahunt']",['Debra Granik']
Soundtrack to Sixteen,75,90,80,"['Romance', 'Comedy']",,1h 25m,2019,"['Scarlett Marshall', 'Gino Wilson', 'Jamal Hadjkura', 'James Calloway', 'Jack Boal']",['Hillary Shakespeare']
Hide in Plain Sight,80,48,69,"['Crime', 'Drama']",PG,1h 38m,1980,"['James Caan', 'Jill Eikenberry', 'Robert Viharo', 'Joe Grifasi', 'Barbara Rae']",['James Caan 3']
Whirlybird,83,83,83,['Documentary'],,1h 43m,2020,"['Marika Gerrard', 'Zoey Tur', 'Katy Tur', 'Matt Yoka', 'Andrea James']",['Matt Yoka']
The Karate Kid,66,67,66,"['Kids & Family', 'Drama']",PG,2h 20m,2010,"['Jaden Smith', 'Jackie Chan', 'Taraji P. Henson', 'Wenwen Han', 'Yu Rong-Guang']",['Harald Zwart']
Death Takes a Holiday,88,78,84,['Fantasy'],,1h 18m,1934,"['Fredric March', 'Evelyn Venable', 'Guy Standing', 'Katharine Alexander', 'Gail Patrick']",['Mitchell Leisen']
Hair High,74,72,73,"['Comedy', 'Animation']",,1h 18m,2004,"['Eric Gilliland', 'Sarah Silverman', 'Dermot Mulroney', ""Beverly D'Angelo"", 'David Carradine']",['Bill Plympton']
Jesús,79,60,72,['Drama'],,1h 25m,2016,"['Nicolás Durán', 'Alejandro Goic', 'Sebastián Ayala', 'Esteban González', 'Constanza Moreno']",['Fernando Guzzoni']
Dudley Do-Right,16,24,18,"['Kids & Family', 'Comedy']",PG,1h 17m,1999,"['Brendan Fraser', 'Sarah Jessica Parker', 'Alfred Molina', 'Eric Idle', 'Robert Prosky']",['Hugh Wilson 2']
Rust,80,71,77,['Drama'],,1h 39m,2018,"['Tifanny Dopke', 'Giovanni De Lorenzi', 'Enrique Díaz', 'Clarissa Kiste', 'Duda Azevedo']",['Aly Muritiba']
Crusoe,62,43,55,['Adventure'],PG-13,1h 31m,1988,"['Aidan Quinn', 'Ade Sapara', 'Elvis Payne', 'Richard D. Sharp', 'Colin Bruce']",['Caleb Deschanel']
Casino Jack and the United States of Money,81,80,80,['Documentary'],R,2h 0m,2010,"['Alex Gibney', 'Bill Banowsky', 'Zena Barakat', 'Mark Cuban', 'Alison Ellwood']",['Alex Gibney']
Animal Farm,69,66,68,"['Kids & Family', 'Fantasy', 'Animation']",,1h 12m,1954,"['Maurice Denham', 'Gordon Heath', 'Roy Turk', 'W. Traylor', 'J. Gurr']","['Joy Batchelor', 'John Halas']"
The White Cliffs of Dover,80,59,73,['Drama'],,2h 6m,1944,"['Irene Dunne', 'Alan Marshal', 'Frank Morgan', 'Roddy McDowall', 'Peter Lawford']",['Clarence Brown']
Harry Brown,63,75,67,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 37m,2009,"['Michael Caine', 'Emily Mortimer', 'Liam Cunningham', 'Iain Glen', ""Jack O'Connell""]",['Daniel Barber']
Battle for the Planet of the Apes,36,30,34,['Sci-Fi'],G,1h 32m,1973,"['Roddy McDowall', 'Claude Akins', 'Natalie Trundy', 'John Huston', 'Severn Darden']",['Lee Lee Thompson']
Bigfoot: The Lost Coast Tapes,50,30,43,"['Horror', 'Mystery & Thriller']",,1h 27m,2012,"['Drew Rausch', 'Ashley Wood', 'Rich McDonald', 'Noah Weisberg', 'Frank Ashmore']",['Corey Grant']
The Philosophers,67,43,59,"['Mystery & Thriller', 'Action', 'Fantasy', 'Drama']",R,1h 47m,2013,"[""James D'Arcy"", 'Bonnie Wright', 'Daryl Sabara', 'Sophie Lowe', 'Rhys Wakefield']",['John Huddles']
Hide in Plain Sight,80,48,69,"['Crime', 'Drama']",PG,1h 38m,1980,"['James Caan', 'Jill Eikenberry', 'Robert Viharo', 'Joe Grifasi', 'Barbara Rae']",['James Caan 3']
Ramona and Beezus,70,71,70,"['Kids & Family', 'Comedy', 'Adventure']",G,1h 43m,2010,"['Joey King', 'Selena Gomez', 'John Corbett', 'Bridget Moynahan', 'Ginnifer Goodwin']",['Elizabeth Allen Rosenbaum']
"Happy New Year, Colin Burstead",86,56,76,['Drama'],,1h 30m,2018,"['Neil Maskell', 'Sam Riley', 'Doon Mackichan', 'Hayley Squires', 'Mark Monero']",['Ben Wheatley']
