name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
See What I'm Saying: The Deaf Entertainers Documentary,83,100,88,['Documentary'],,1h 31m,2010,"['Hilari Scarl', 'Hilari Scarl', 'Kubilay Uner', 'Jeff Gatesman', 'Morgan R. Stiff']",['770697768']
Sons of Perdition,83,76,80,['Documentary'],R,1h 25m,2010,"['Sam Brower', 'Don Fischer', 'Jon Krakauer', 'Tyler Measom', 'Jennilyn Merten']","['Tyler Measom', 'Jennilyn Merten']"
Vidal Sassoon: The Movie,60,56,58,['Documentary'],PG,1h 30m,2010,"['Beverly Sassoon', 'Elgin Charles', 'Grace Coddington', 'Vidal Sassoon', 'Michael Z. Gordon']",['Craig Teper']
Tanner Hall,16,26,19,"['Drama', 'Romance']",R,1h 35m,2009,"['Rooney Mara', 'Georgia King', 'Brie Larson', 'Amy Ferguson', 'Tom Everett Scott']","['Francesca Gregorini', 'Tatiana Von Furstenberg']"
Bunraku,18,50,28,"['Action', 'Fantasy']",R,2h 1m,2010,"['Josh Hartnett', 'Woody Harrelson', 'Gackt', 'Kevin McKidd', 'Jordi Mollà']",['1181097 Guy Moshe']
Clubbed,27,64,39,"['Crime', 'Drama']",,1h 35m,2008,"['Mel Raido', 'Shaun Parkes', 'Scot Williams', 'Maxine Peake', 'Charlie May-Clark']",['Neil Thompson 3']
The Bad News Bears in Breaking Training,50,40,46,"['Kids & Family', 'Comedy']",PG,1h 40m,1977,"['William Devane', 'Clifton James', 'Jackie Earle Haley', 'Jimmy Baio', 'Chris Barnes']",['Michael Pressman']
The Unfinished Dance,67,29,54,['Musical'],,1h 41m,1947,"[""Margaret O'Brien"", 'Cyd Charisse', 'Karin Booth', 'Elinor Donahue', 'Danny Thomas']",['Henry Koster']
Mesrine: Part II - Public Enemy 1,81,82,81,"['Action', 'Biography', 'Crime', 'Drama', 'Mystery & Thriller']",R,2h 10m,2008,"['Vincent Cassel', 'Ludivine Sagnier', 'Mathieu Amalric', 'Gérard Lanvin', 'Samuel Le Bihan']",['Jean Francois Richet']
Arthur,27,44,32,"['Romance', 'Comedy']",PG-13,1h 50m,2011,"['Russell Brand', 'Helen Mirren', 'Jennifer Garner', 'Greta Gerwig', 'Luis Guzmán']",['Jason Winer']
Master and Commander: The Far Side of the World,85,80,83,"['Adventure', 'Drama', 'War']",PG-13,2h 19m,2003,"['Russell Crowe', 'Paul Bettany', 'Billy Boyd', ""James D'Arcy"", 'Lee Ingleby']",['Peter Weir']
The Girl Can't Help It,82,69,77,"['Musical', 'Comedy']",,1h 39m,1956,"['Tom Ewell', 'Jayne Mansfield', ""Edmond O'Brien"", 'Julie London', 'Henry Jones']",['Frank Tashlin']
Burlesque,37,64,46,"['Drama', 'Musical']",PG-13,1h 56m,2010,"['Cher', 'Christina Aguilera', 'Eric Dane', 'Cam Gigandet', 'Stanley Tucci']",['Steven Antin']
Sweethearts of the Prison Rodeo,43,71,52,['Documentary'],,1h 29m,2009,"['Bradley Beesley', 'Bradley Beesley', 'Bradley Beesley', 'Amy Dobson', 'James D. Payne']",['Bradley Beesley']
Hubble,88,86,87,['Documentary'],G,43m,2010,"['Leonardo DiCaprio', 'Toni Myers']",['Toni Myers']
Sanctum,30,37,32,"['Action', 'Adventure', 'Mystery & Thriller']",R,1h 49m,2011,"['Richard Roxburgh', 'Ioan Gruffudd', 'Rhys Wakefield', 'Alice Parkinson', 'Dan Wyllie']",['Alister Grierson']
