name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Blood: The Last Vampire,25,33,27,"['Action', 'Horror', 'Mystery & Thriller']",R,1h 29m,2008,"['Jun Ji-hyun', 'Allison Miller', 'Liam Cunningham', 'JJ Feild', 'Koyuki']",['Chris Nahon']
Three of Hearts: A Postmodern Family,79,74,77,['Documentary'],R,1h 37m,2004,"['Susan Kaplan', 'David Friedson', 'Julie Goldman', 'Krysanne Katsoolis', 'Caroline Stevens']",['Susan Kaplan']
"Silent Night, Deadly Night Part 2",22,28,24,['Horror'],R,1h 28m,1987,"['Eric Freeman', 'James L. Newman', 'Elizabeth Clayton', 'Darrel Guilbeau', 'Brian Michael Henley']",['Lee Harry 10']
American Violet,75,79,76,['Drama'],PG-13,1h 42m,2008,"['Nicole Beharie', 'Will Patton', 'Alfre Woodard', 'Tim Blake Nelson', ""Michael O'Keefe""]",['Tim Disney']
Five Fingers for Marseilles,77,88,80,"['Drama', 'Mystery & Thriller', 'Western']",,2h 0m,2017,"['Zethu Dlomo', 'Kenneth Fok', 'Garth Breytenbach', 'Warren Masemola', 'Anthony Oseyemi']",['Michael Matthews 3']
Woodstock: Three Days That Defined a Generation,87,86,86,"['Documentary', 'Music']",,1h 36m,2019,"['Barak Goodman', 'Jamila Ephron', 'Barak Goodman', 'Don Kleszy', 'Jamila Ephron']",['Barak Goodman']
Zabriskie Point,66,74,68,['Drama'],R,1h 52m,1970,"['Mark Frechette', 'Daria Halprin', 'Rod Taylor', 'Paul Fix', 'G.D. Spradlin']",['Antonioni']
Management,46,30,40,"['Romance', 'Comedy']",R,1h 33m,2008,"['Jennifer Aniston', 'Steve Zahn', 'Woody Harrelson', 'Margo Martindale', 'Fred Ward']",['Stephen Belber']
The Ogre,89,73,83,['Drama'],,1h 57m,1996,"['John Malkovich', 'Armin Mueller-Stahl', 'Gottfried John', 'Marianne Sägebrecht', 'Volker Spengler']",['Volker Schlondorff']
Chris Rock: Kill the Messenger,100,88,95,"['Comedy', 'Stand-Up']",,1h 19m,2008,"['Chris Rock', 'Marty Callner', 'Chris Rock', 'Chris Rock', 'Marty Callner']",['Marty Callner']
S. Darko: A Donnie Darko Tale,13,18,14,['Mystery & Thriller'],R,1h 43m,2009,"['Daveigh Chase', 'Briana Evigan', 'Jackson Rathbone', 'James Lafferty', 'Ed Westwick']",['Chris Fisher 59']
Igor,40,38,39,"['Kids & Family', 'Comedy', 'Animation']",PG,1h 26m,2008,"['John Cusack', 'Steve Buscemi', 'John Cleese', 'Jay Leno', 'Suzy Eddie Izzard']",['Tony Leondis']
Expiration Date,63,76,67,"['Romance', 'Comedy']",,1h 34m,2006,"['Robert Guthrie', 'Sascha Knopf', 'Dee Wallace', 'David Keith', 'Brandon Whitehead']",['Rick Stevenson']
Summer of Blood,54,38,48,['Horror'],,1h 26m,2014,"['Onur Tukel', 'Anna Margaret Hollyman', 'Dakota Goldhor', 'Dustin Guy Defa', 'Melodie Sisk']",['Onur Tukel']
Conspirator,0,41,13,['Mystery & Thriller'],,1h 27m,1949,"['Robert Taylor', 'Elizabeth Taylor', 'Robert Flemyng', 'Harold Warrender', 'Honor Blackman']",['Victor Saville']
Mad Monster Party?,70,67,69,"['Kids & Family', 'Fantasy', 'Animation']",,1h 34m,1967,"['Boris Karloff', 'Phyllis Diller', 'Allen Swift', 'Gale Garnett', 'Ethel Ennis']",['Jules Bass']
Between Love & Goodbye,33,45,37,"['Drama', 'Romance']",,1h 37m,2008,"['Simon Miller', 'Justin Tensen', 'Rob Harmon', 'Jane Elliot', 'Aaron Michael Davies']",['Casper Andreas']
Next Day Air,21,31,24,"['Comedy', 'Drama']",R,1h 24m,2009,"['Donald Faison', 'Mike Epps', 'Wood Harris', 'Omari Hardwick', 'Darius McCrary']",['Benny Boom']
Love N' Dancing,17,42,25,"['Drama', 'Romance']",PG-13,1h 35m,2008,"['Amy Smart', 'Tom Malloy', 'Billy Zane', 'Nicola Royston', 'Caroline Rhea']",['Robert Iscove']
Freaky Friday,71,57,66,"['Kids & Family', 'Comedy', 'Fantasy']",G,1h 35m,1976,"['Barbara Harris', 'Jodie Foster', 'John Astin', 'Patsy Kelly', 'Vicki Schreck']",['Gary Nelson']
King of Kings,85,78,82,"['Holiday', 'History', 'Drama']",PG-13,2h 40m,1961,"['Jeffrey Hunter', 'Siobhan McKenna', 'Robert Ryan', 'Hurd Hatfield', 'Viveca Lindfors']",['Nicholas Ray']
Michael Moore Hates America,75,59,69,['Documentary'],R,1h 32m,2004,"['Michael Wilson', 'Michael Wilson', 'Curt Johnson', 'Christopher Ohlsen', 'Carr Hagerman']",['Michael Wilson 7']
Ballast,93,72,86,['Drama'],,1h 36m,2008,"['Micheal J. Smith Sr.', 'JimMyron Ross', 'Tarra Riggs', 'Johnny McPhail', 'Lance Hammer']",['Lance Hammer']
Nothing but Trouble,12,48,24,['Comedy'],PG-13,1h 34m,1991,"['Chevy Chase', 'Dan Aykroyd', 'John Candy', 'Demi Moore', 'Valri Bromfield']",['Dan Aykroyd']
Stunt Rock,80,30,63,"['Musical', 'Action', 'Drama', 'Music']",PG,1h 31m,1978,"['Grant Page', 'Monique van de Ven', 'Sorcery', 'Margaret Gerard', 'Grant Page']",['Brian Trenchardsmith']
The Secret Garden,67,42,58,"['Fantasy', 'Drama']",PG,1h 39m,2020,"['Colin Firth', 'Julie Walters', 'Dixie Egerickx', 'Maeve Dermody', 'Amir Wilson']",['Marc Munden']
Genesis 2.0,80,84,81,['Documentary'],,1h 52m,2018,"['Maxim Arbugaev', 'George Church', 'Christian Frei', 'Hwang Woo-suk', 'Peter Grigoriev']","['Christian Frei', 'Maxim Arbugaev']"
The Broken Hearts Gallery,80,88,82,"['Romance', 'Comedy']",PG-13,1h 50m,2020,"['Geraldine Viswanathan', 'Dacre Montgomery', 'Utkarsh Ambudkar', 'Molly Gordon', 'Phillipa Soo']",['Natalie Krinsky']
Lesbian Vampire Killers,28,32,29,"['Horror', 'Comedy']",R,1h 26m,2009,"['James Corden', 'Mathew Horne', 'Paul McGann', 'MyAnna Buring', 'Silvia Colloca']",['Philip Claydon']
Dark Skies,41,49,43,"['Sci-Fi', 'Mystery & Thriller', 'Horror']",PG-13,1h 37m,2013,"['Keri Russell', 'Josh Hamilton', 'Dakota Goyo', 'Kadan Rockett', 'J.K. Simmons']",['Scottstewart']
