,name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
38,Detective Knight: Independence,67,84,72,"['Holiday', 'Action', 'Mystery & Thriller']",R,1h 31m,2023,"['Bruce Willis', 'Lochlyn Munro', 'Willow Shields', 'Jack Kilmer', 'Alvaro Calderón']",['Edward Drake']
39,Die Hart the Movie,43,29,38,"['Action', 'Comedy']",,1h 18m,2023,"['Kevin Hart', 'John Travolta', 'Nathalie Emmanuel', 'Josh Hartnett', 'Jean Reno']",['Eric Appel']
40,Rare Objects,43,72,52,['Drama'],R,2h 3m,2023,"['Julia Mayorga', 'Katie Holmes', 'Alan Cumming', 'Derek Luke', 'Saundra Santiago']",['Katie Holmes']
41,The Old Way,32,70,44,"['Western', 'Action']",R,1h 35m,2023,"['Nicolas Cage', 'Ryan Kiera Armstrong', 'Clint Howard', 'Abraham Benrubi', 'Nick Searcy']",['Brett Donowho']
42,The Donor Party,0,63,21,['Comedy'],,1h 33m,2023,"['Malin Akerman', 'Rob Corddry', ""Jerry O'Connell"", 'Erinn Hayes', 'Ryan Hansen']",['Thom Harp']
43,Candy Land,77,59,71,"['Horror', 'Mystery & Thriller']",,1h 33m,2022,"['Olivia Luccardi', 'William Baldwin', 'Sam Quartin', 'Owen Campbell', 'Virginia Rand']",['John Swab']
44,Faraway,67,90,74,"['Romance', 'Comedy', 'Drama']",,1h 49m,2023,"['Naomi Krauss', 'Goran Bogdan', 'Adnan Maral', 'Artjom Gilz', 'Bahar Balci']",['Vanessa Jopp']
45,Punch,78,83,79,"['Drama', 'LGBTQ+', 'Sports']",,1h 38m,2022,"['Tim Roth', 'Jordan Oosterhof', 'Conan Hayes', 'Abigail Laurent', 'Sage Klein']",['Welby Ings']
46,Living,96,91,94,['Drama'],PG-13,1h 42m,2022,"['Bill Nighy', 'Aimee Lou Wood', 'Alex Sharp', 'Tom Burke', 'Adrian Rawlins']",['Oliver Hermanus']
47,Sick,87,74,82,"['Horror', 'Mystery & Thriller']",R,1h 23m,2022,"['Gideon Adlon', 'Dylan Sprayberry', 'Bethlehem Million', 'Jane Adams', 'John Hyams']",['John Hyams']
48,The Menu,88,76,84,"['Horror', 'Mystery & Thriller', 'Comedy']",R,1h 47m,2022,"['Ralph Fiennes', 'Anya Taylor-Joy', 'Nicholas Hoult', 'Hong Chau', 'Janet McTeer']",['Mark Mylod']
49,"Film, the Living Record of Our Memory",93,83,89,"['Documentary', 'History']",,1h 59m,2021,"['Costa-Gavras', 'Jonas Mekas', 'Patricio Guzmán', 'Ken Loach', 'Bill Morrison']",['Ines Toharia 2']
50,Spoonful of Sugar,55,62,57,['Horror'],,1h 34m,2022,"['Morgan Saylor', 'Myko Olivier', 'Danilo Crovetti', 'Keith Powell', 'Laura Coover']",['Mercedes Bryce Morgan']
51,You're Killing Me,86,86,86,"['Mystery & Thriller', 'Action', 'Horror']",,1h 35m,2023,"['McKaley Miller', 'Dermot Mulroney', 'Anne Heche', 'Brice Anthony Heller', 'Wil Deusner']","['Beth Hanna', 'Jerren Lauder']"
52,January 6th,100,50,83,"['Documentary', 'News']",TVMA,2h 33m,2022,"['Liz Cheney', 'Nancy Pelosi', 'Steven Sund', 'Jules Naudet', 'Gédéon Naudet']","['Jules Naudet', 'Gedeon Naudet 2']"
53,The Civil Dead,100,79,92,['Comedy'],,1h 44m,2023,"['Clay Tatum', 'Whitmer Thomas', 'Whitney Weir', 'Budd Diaz', 'Robert Longstreet']",['Clay Tatum']
54,Shepherd: The Story of a Jewish Dog,80,94,84,"['History', 'Drama']",,1h 33m,2019,"['August Maturo', 'Ayelet Zurer', 'Ken Duken', 'Rebeka Rea', 'Lois Robbins']",['Lynn Roth']
55,Prom Pact,89,71,83,"['Kids & Family', 'Romance', 'Comedy']",,1h 39m,2023,"['Peyton Elizabeth Lee', 'Milo Manheim', 'Blake Draper', 'Monique A. Green', 'Arica Himmel']",['Anya Adams']
56,White Men Can't Jump,26,61,37,"['Comedy', 'Drama', 'Sports']",R,1h 41m,2023,"['Sinqua Walls', 'Jack Harlow', 'Teyana Taylor', 'Laura Harrier', 'Vince Staples']",['Calmatic']
57,Dog Gone,41,70,50,"['Kids & Family', 'Drama']",TVPG,1h 34m,2023,"['Johnny Berchtold', 'Rob Lowe', 'Kimberly Williams-Paisley', 'Susan Gallagher', 'Nick Peine']",['Stephen Herek']
58,The Buddy Holly Story,100,77,92,['Biography'],PG,1h 53m,1978,"['Gary Busey', 'Don Stroud', 'Charles Martin Smith', 'William Jordan', 'Maria Richwine']",['Steve Rash']
59,Country Gold,86,70,80,"['Comedy', 'Fantasy']",,1h 22m,2022,"['Cate Jones', 'Ben Hall', 'Mickey Reece', 'Joe Cappa', 'Leah N.H. Philpott']",['Mickey Reece']
60,Extraction 2,79,85,81,"['Action', 'Mystery & Thriller']",R,2h 3m,2023,"['Chris Hemsworth', 'Golshifteh Farahani', 'Tornike Gogrichiani', 'Adam Bessa', 'Daniel Bernhardt']",['Sam Hargrave']
61,Snow Falling on Cedars,39,68,48,"['History', 'Drama']",PG-13,2h 6m,1999,"['Ethan Hawke', 'James Cromwell', 'Richard Jenkins', 'James Rebhorn', 'Sam Shepard']",['Scott Hicks']
62,Assassin,9,72,30,"['Sci-Fi', 'Action']",R,1h 28m,2023,"['Bruce Willis', 'Andy Allo', 'Nomzamo Mbatha', 'Dominic Purcell', 'Mustafa Shakir']",['Jesse Atlas']
63,After Love,94,87,91,['Drama'],,1h 29m,2020,"['Joanna Scanlan', 'Nathalie Richard', 'Talid Ariss', 'Nasser Memarzia', 'Sudha Bhuchar']",['Aleem Khan']
64,There's Something Wrong with the Children,62,26,49,"['Horror', 'Mystery & Thriller']",,1h 32m,2023,"['Alisha Wainwright', 'Zach Gilford', 'Amanda Crew', 'Carlos Santos', 'Ramona Tyler']",['Roxanne Benjamin']
65,Operation Fortune: Ruse de guerre,51,82,61,"['Action', 'Comedy', 'Mystery & Thriller']",R,1h 54m,2023,"['Jason Statham', 'Aubrey Plaza', 'Josh Hartnett', 'Cary Elwes', 'Bugzy Malone']",['Guy Ritchie']
66,Rye Lane,98,87,94,"['Romance', 'Comedy', 'Drama']",R,1h 22m,2023,"['David Jonsson', 'Vivian Oparah', 'Charlie Knight', 'Simon Manyonda', 'Levi Roots']",['Raine Allen Miller 2']
67,Hunt Club,25,61,37,"['Action', 'Mystery & Thriller']",,1h 20m,2023,"['Mena Suvari', 'Maya Stojan', 'Casper Van Dien', 'Mickey Rourke', 'Jessica Belkin']",['Elizabeth Blake Thomas']
68,Black Panther: Wakanda Forever,83,94,86,"['Action', 'Adventure', 'Fantasy']",PG-13,2h 41m,2022,"['Letitia Wright', 'Angela Bassett', ""Lupita Nyong'o"", 'Tenoch Huerta', 'Danai Gurira']",['Ryan Coogler']
69,I Got a Monster,100,33,77,['Documentary'],,1h 30m,2023,"['Kevin Abrams', 'Kevin Abrams', 'Jamie Denenberg', 'Auriell Spiegel', 'Maurice J. Gallagher']",['Kevin Abrams 2']
70,The Best Man,33,22,29,"['Action', 'Mystery & Thriller']",R,1h 33m,2023,"['Brendan Fehr', 'Dolph Lundgren', 'Luke Wilson', 'Nicky Whelan', 'Scout Taylor-Compton']",['Shane Dax Taylor']
71,Mean Spirited,75,91,80,"['Horror', 'Comedy']",,1h 36m,2022,"['Will Martin', 'Will Madden', 'Michelle Veintimilla', 'Maria Decotis', 'Daniel Rashid']",['Jeff Ryan 2']
72,Jethica,92,67,83,"['Comedy', 'Drama', 'Mystery & Thriller']",,1h 10m,2022,"['Callie Hernandez', 'Ashley Denise Robinson', 'Andy Faulkner', 'Will Madden', 'Stephanie Hunt']",['Pete Ohs']
73,Werewolf: The Beast Among Us,40,37,39,"['Horror', 'Mystery & Thriller']",R,1h 33m,2012,"['Steven Bauer', 'Nia Peeples', 'Stephen Rea', 'Ed Quinn', 'Rachel DiPillo']",['Louis Momeau']
74,Come and Find Me,64,34,54,['Mystery & Thriller'],R,1h 52m,2016,"['Aaron Paul', 'Annabelle Wallis', 'Garret Dillahunt', 'Chris Chalk', 'Terry Chen']",['Zack Whedon']
75,Double Life,13,78,34,['Mystery & Thriller'],PG-13,1h 29m,2023,"['Javicia Leslie', 'Pascale Hutton', 'Vincent Gale', 'Niall Matter', 'Aaron Douglas']",['Martin Wood']
76,We Have a Ghost,42,63,49,"['Comedy', 'Adventure']",PG-13,2h 6m,2023,"['David Harbour', ""Jahi Di'Allo Winston"", 'Anthony Mackie', 'Erica Ash', 'Niles Fitch']",['Christopher Landon']
77,The Pale Blue Eye,63,69,65,"['Mystery & Thriller', 'Drama']",R,2h 10m,2022,"['Christian Bale', 'Harry Melling', 'Gillian Anderson', 'Lucy Boynton', 'Robert Duvall']",['Scott Cooper']
78,One Day as a Lion,64,48,58,"['Crime', 'Drama', 'Comedy']",R,1h 27m,2023,"['Scott Caan', 'Frank Grillo', 'Marianne Rendón', 'Taryn Manning', 'Slaine']",['Swab']
0,This Land,80,80,80,['Documentary'],,1h 11m,2022,"['Matthew Palmer', 'Brian Gagliardi', 'Undine Buka', 'Jim Cummings', 'Natalie Metzger']",['Matthew Palmer 2']
1,The Tank,33,28,31,"['Horror', 'Mystery & Thriller']",R,1h 40m,2023,"['Luciane Buchanan', 'Matt Whelan', 'Zara Nausbaum', 'Regina Hegemann', 'Jack Barry']",['Scott Walker 2']
2,Reggie,100,90,96,"['Documentary', 'Sports']",PG-13,1h 44m,2023,"['Reggie Jackson', 'Derek Jeter', 'Alex Stapleton', 'Jason Cloth', 'Daniel Crown']",['Alex Stapleton']
3,Breakout,57,43,52,['Action'],PG,1h 36m,1975,"['Charles Bronson', 'Robert Duvall', 'Jill Ireland', 'John Huston', 'Randy Quaid']",['Tom Gries']
4,Filmmakers for the Prosecution,100,100,99,['Documentary'],,52m,2022,"['Jean-Christophe Klotz', 'Jean-Christophe Klotz', 'Céline Nusse', 'Paul Rozenberg', 'Sandra Schulberg']",['Jean Christophe Klotz']
5,Unseen,82,70,78,"['Horror', 'Mystery & Thriller']",,1h 16m,2023,"['Midori Francis', 'Jolene Purdy', 'Missi Pyle', 'Michael Patrick Lane', 'Nicholas X. Parsons']",['Yoko Okumura']
6,The Offering,74,48,65,"['Horror', 'Mystery & Thriller']",R,1h 33m,2022,"['Nick Blood', 'Emily Wiseman', 'Allan Corduner', 'Paul Kaye', 'Daniel Ben Zenou']",['Oliver Park']
7,Chang Can Dunk,95,74,88,"['Kids & Family', 'Comedy', 'Sports']",PG,1h 49m,2023,"['Bloom Li', 'Dexter Darden', 'Ben Wang', 'Zoe Renee', 'Chase Liefeld']",['Jingyi Shao']
8,88,48,83,59,"['Mystery & Thriller', 'Drama']",,2h 1m,2022,"['Brandon Victor Dixon', 'Naturi Naughton', 'Orlando Jones', 'Thomas Sadoski', 'William Fichtner']",['Eromose']
9,You People,40,35,38,"['Romance', 'Comedy']",R,1h 57m,2023,"['Jonah Hill', 'Lauren London', 'Eddie Murphy', 'Julia Louis-Dreyfus', 'Nia Long']",['Kenya Barris']
10,The Mission,66,87,73,"['History', 'Drama']",PG,2h 8m,1986,"['Robert De Niro', 'Jeremy Irons', 'Ray McAnally', 'Liam Neeson', 'Aidan Quinn']",['Roland Joffe 2']
11,Wildflower,64,92,73,"['Comedy', 'Drama']",R,1h 45m,2022,"['Kiernan Shipka', 'Dash Mihok', 'Charlie Plummer', 'Alexandra Daddario', 'Brad Garrett']",['Matt Smukler 2']
12,Plane,78,94,83,"['Action', 'Adventure', 'Mystery & Thriller']",R,1h 47m,2023,"['Gerard Butler', 'Mike Colter', 'Yoson An', 'Daniella Pineda', 'Paul Ben-Victor']",['Jean Francois Richet']
13,The Lost King,77,92,82,"['Comedy', 'Drama']",PG-13,1h 49m,2022,"['Sally Hawkins', 'Steve Coogan', 'Harry Lloyd', 'Mark Addy', 'James Fleet']",['Stephen Frears']
14,The Maid's Room,25,29,26,['Mystery & Thriller'],,1h 38m,2013,"['Remy Auberjonois', 'Bill Camp', 'Herman Chavez', 'Bonnie Dennison', 'Philip Ettinger']",['Michael Walker 7']
15,One True Loves,23,37,27,"['Romance', 'Comedy', 'Drama']",PG-13,1h 40m,2023,"['Phillipa Soo', 'Simu Liu', 'Luke Bracey', 'Oceana Matsumoto', 'Michaela Conlin']",['Andy Fickman']
16,The Way Home,75,92,80,['Drama'],PG,1h 26m,2002,"['Kim Eul-boon', 'Yoo Seung-ho', 'Kyung-hyun Min', 'Eun-Kyung Yim', 'Dong Hyo-heui']",['Lee Junghyang']
17,Erin's Guide to Kissing Girls,100,75,91,"['Romance', 'Comedy', 'LGBTQ+']",,1h 30m,2022,"['Elliot Stocking', 'Rosali Annikie', 'Jesyca Gu', 'Julianna Notten', 'Julianna Notten']",['Julianna Notten 2']
18,Night Train to Lisbon,43,61,49,"['Mystery & Thriller', 'Romance']",R,1h 51m,2013,"['Jeremy Irons', 'Mélanie Laurent', 'Jack Huston', 'Martina Gedeck', 'Tom Courtenay']",['Bille August']
