25,Abandoned,20,19,19,"['Horror', 'Mystery & Thriller']",PG-13,1h 42m,2022,"['Emma Roberts', 'John Gallagher Jr.', 'Paul Schneider', 'Michael Shannon', 'Kate Arrington']",['Spencer Squire']
26,King Knight,74,44,63,"['Comedy', 'Fantasy', 'Horror']",,1h 21m,2021,"['Matthew Gray Gubler', 'Angela Sarafyan', 'Andy Milonakis', 'Kate Comer', 'Johnny Pemberton']",['Richard Bates Jr']
27,House of Gucci,61,83,68,['Drama'],R,2h 37m,2021,"['Lady Gaga', 'Adam Driver', 'Al Pacino', 'Jeremy Irons', 'Jared Leto']",['Ridley Scott']
28,The Twin,41,29,37,"['Horror', 'Mystery & Thriller']",,1h 49m,2022,"['Teresa Palmer', 'Steven Cree', 'Barbara Marten', 'Tristan Ruggeri', 'Ergo Küppas']",['Taneli Mustonen']
29,Scout's Honor: The Secret Files of the Boy Scouts of America,94,81,89,"['Crime', 'Documentary']",,1h 34m,2023,['Brian Knappenberger'],['Brian Knappenberger']
30,Hocus Pocus 2,65,48,59,"['Kids & Family', 'Holiday', 'Comedy', 'Fantasy']",PG,1h 43m,2022,"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Doug Jones', 'Whitney Peak']",['Anne Fletcher']
31,The 355,24,86,44,"['Action', 'Mystery & Thriller']",PG-13,2h 2m,2022,"['Jessica Chastain', 'Sebastian Stan', 'Penélope Cruz', ""Lupita Nyong'o"", 'Diane Kruger']",['Simon Kinberg']
32,Walk With Me,81,57,73,['Documentary'],,1h 28m,2017,"['Benedict Cumberbatch', 'Marc Francis', 'Max Pugh', 'Marc Francis', 'Max Pugh']","['Marc Francis', 'Max Pugh']"
33,Kajillionaire,90,47,75,"['Comedy', 'Drama']",R,1h 44m,2020,"['Evan Rachel Wood', 'Gina Rodriguez', 'Richard Jenkins', 'Debra Winger', 'Patricia Belcher']",['Miranda July']
34,Old Man,63,51,59,['Mystery & Thriller'],,1h 37m,2022,"['Stephen Lang', 'Marc Senter', 'Liana Wright-Mark', 'Patch Darragh', 'Lucky McKee']",['Lucky Mckee']
35,Leave No Trace,83,68,78,['Documentary'],,1h 48m,2022,"['Irene Taylor', 'Irene Taylor', 'Nigel Jacquiss', 'Sara Bernstein', 'Justin Wilkes']",['Irene Taylor 2']
36,Oppenheimer,93,91,92,"['History', 'Drama', 'Biography']",R,3h 0m,2023,"['Cillian Murphy', 'Emily Blunt', 'Robert Downey Jr.', 'Matt Damon', 'Rami Malek']",['Christopher Nolan']
37,Roald Dahl's Matilda the Musical,93,73,86,"['Kids & Family', 'Musical', 'Comedy', 'Drama', 'Fantasy']",PG,1h 57m,2022,"['Alisha Weir', 'Emma Thompson', 'Lashana Lynch', 'Stephen Graham', 'Andrea Riseborough']",['Matthew Warchus']
38,Shady Grove,40,83,54,"['Horror', 'Mystery & Thriller']",,1h 35m,2022,"['Niki McElroy', 'Victoria Baldesarra', 'Juhahn Jones', 'Becki Hayes', 'Jackie Ritz']",['Dale Resteghin']
39,5-25-77,100,90,96,['Comedy'],,2h 12m,2022,"['John Francis Daley', 'Austin Pendleton', 'Colleen Camp', 'Neil Flynn', 'Justin Mentell']",['Patrick Read Johnson']
40,Return to Space,79,82,80,['Documentary'],TVMA,2h 8m,2022,"['Bob Behnken', 'Doug Hurley', 'Hans Koenigsmann', 'Elizabeth Chai Vasarhelyi', 'Jimmy Chin']","['Elizabeth Chai Vasarhelyi', 'Jimmy Chin']"
41,Stars at Noon,63,14,46,"['Drama', 'Mystery & Thriller', 'Romance']",,2h 18m,2022,"['Margaret Qualley', 'Joe Alwyn', 'Nick Romano', 'Claire Denis', 'Claire Denis']",['Claire Denis']
