0,Locked Down,42,27,37,"['Comedy', 'Romance']",R,1h 58m,2021,"['Anne Hathaway', 'Chiwetel Ejiofor', 'Ben Stiller', 'Ben Kingsley', 'Stephen Merchant']",['Doug Liman']
1,The Killing of Kenneth Chamberlain,97,86,93,"['Mystery & Thriller', 'Drama']",,1h 23m,2020,"['Frankie Faison', ""Steve O'Connell"", 'Enrico Natale', 'Ben Marten', 'Angela Peel']",['David Midell']
2,The Girl Next Door,67,61,65,"['Drama', 'Mystery & Thriller']",R,1h 31m,2007,"['William Atherton', 'Blythe Auffarth', 'Blanche Baker', 'Kevin Chamberlin', 'Dean Faulkenberry']",['Gregory M Wilson']
3,Aftermath,40,25,35,"['Mystery & Thriller', 'Drama']",R,1h 32m,2017,"['Arnold Schwarzenegger', 'Scoot McNairy', 'Maggie Grace', 'Judah Nelson', 'Larry Sullivan']",['Elliott Lester']
4,Intrusion,19,62,33,['Mystery & Thriller'],,1h 32m,2021,"['Logan Marshall-Green', 'Freida Pinto', 'Robert John Burke', 'Sarah Minnich', 'Mark Sivertsen']",['Adam Salky']
5,She's Out of My League,57,59,57,"['Romance', 'Comedy']",R,1h 46m,2010,"['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence']",['Jim Field Smith']
6,In the Heat of the Night,96,92,94,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 49m,1967,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Quentin Dean', 'James Patterson']",['Norman Jewison']
7,Georgetown,63,57,61,"['Crime', 'Drama']",R,1h 39m,2019,"['Christoph Waltz', 'Vanessa Redgrave', 'Annette Bening', 'Corey Hawkins', 'Laura De Carteret']",['Christoph Waltz']
8,Freeheld,50,54,51,"['Drama', 'Romance', 'Biography', 'LGBTQ+']",PG-13,1h 43m,2015,"['Julianne Moore', 'Elliot Page', 'Michael Shannon', 'Josh Charles', 'Luke Grimes']",['Peter Sollett']
9,Take Back the Night,73,29,58,"['Horror', 'Mystery & Thriller']",,1h 30m,2021,"['Emma Fitzpatrick', 'Angela Gulner', 'Jennifer Lafleur', 'Sibongile Mlambo', 'Corina Kinnear']",['Gia Elliot 2']
10,The Blackout,57,63,59,"['Action', 'Sci-Fi']",,2h 33m,2019,"['Maksim Artamonov', 'Filipp Avdeev', 'Yuriy Borisov', 'Oleg Boyko', 'Aleksey Chadov']",['Egor Baranov']
11,The Legacy of a Whitetail Deer Hunter,28,42,32,"['Comedy', 'Drama']",,1h 23m,2018,"['Josh Brolin', 'Danny McBride', 'Montana Jordan', 'Scoot McNairy', 'Rory Scovel']",['1186251 Jody Hill']
