28,Doctor Strange in the Multiverse of Madness,73,85,77,"['Action', 'Adventure', 'Fantasy', 'Horror']",PG-13,2h 6m,2022,"['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']",['Sam Raimi']
29,Doors,46,18,36,"['Sci-Fi', 'Mystery & Thriller']",,1h 21m,2021,"['Josh Peck', 'Lina Esco', 'Wilson Bethel', 'Kyp Malone', 'Jordan Rock']","['Dugan Oneal', 'Jeff Desom', 'Saman Kesh']"
30,The SpongeBob Movie: Sponge on the Run,67,49,61,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 31m,2020,"['Tom Kenny', 'Awkwafina', 'Clancy Brown', 'Rodger Bumpass', 'Bill Fagerbakke']",['Tim Hill']
31,Stuff and Dough,73,67,71,['Drama'],,1h 31m,2001,"['Alexandru Papadopol', 'Dragos Bucur', 'Ioana Flora', 'Razvan Vasilescu', 'Luminita Gheorghiu']",['Cristi Puiu']
32,The End Of Us,64,65,64,"['Romance', 'Comedy', 'Drama']",R,1h 32m,2021,"['Ben Coleman', 'Ali Vingiano', 'Derrick Joseph DeBlasis', 'Gadiel Del Orbe', 'Kate Peterman']","['Steven Kanter', 'Henry Loevner']"
33,Found,95,85,91,['Documentary'],PG,1h 37m,2021,"['Lily Bolka', 'Chloe Lipitz', 'Sadie Mangelsdorf', 'Amanda Lipitz', 'Anita Gou']",['Amanda Lipitz']
34,Opening Night,83,64,76,"['Musical', 'Comedy']",,1h 30m,2016,"['Topher Grace', 'Anne Heche', 'Alona Tal', 'Taye Diggs', 'Rob Riggle']",['Isaac Rentz']
35,Here Today,47,93,62,"['Comedy', 'Drama']",PG-13,1h 57m,2021,"['Billy Crystal', 'Tiffany Haddish', 'Penn Badgley', 'Laura Benanti', 'Louisa Krause']",['Billy Crystal']
36,The Retreat,77,47,67,"['Mystery & Thriller', 'Horror']",,1h 22m,2021,"['Aaron Ashmore', 'Rossif Sutherland', 'Celina Sinden', 'Tommie-Amber Pirie', 'Sarah Allen']",['Pat Mills']
37,Spirit Untamed,48,95,63,"['Kids & Family', 'Adventure', 'Animation']",PG,1h 28m,2021,"['Isabela Merced', 'Julianne Moore', 'Jake Gyllenhaal', 'Marsai Martin', 'Mckenna Grace']",['Elaine Bogan']
38,Mommy Dead and Dearest,100,87,95,['Documentary'],,1h 22m,2017,"['Gypsy Rose Blanchard', 'Dee Dee Blanchard', 'Rod Blanchard', 'Kristy Blanchard', 'Jim Arnott']",['Erin Lee Carr']
39,Post Grad,8,27,14,['Comedy'],PG-13,1h 29m,2009,"['Alexis Bledel', 'Zach Gilford', 'Rodrigo Santoro', 'Carol Burnett', 'Michael Keaton']",['Vicky Jenson']
40,What She Said: The Art of Pauline Kael,89,55,77,['Documentary'],,1h 35m,2018,"['Alec Baldwin', 'John Boorman', 'Francis Ford Coppola', 'John Guare', 'Molly Haskell']",['Rob Garver']
41,Goodbye Honey,89,57,78,['Mystery & Thriller'],,1h 35m,2020,"['Pamela Jayne Morgan', 'Juliette Alice Gobin', 'Paul C. Kelly', 'Stacey Van Gorder', 'Peyton Michelle Edwards']",['Max Strand 2']
42,Rita Moreno: Just a Girl Who Decided to Go For It,96,93,95,['Documentary'],PG-13,1h 30m,2021,"['Rita Moreno', 'Lin-Manuel Miranda', 'Norman Lear', 'George Chakiris', 'Morgan Freeman']",['Mariem Perez Riera']
43,Breaking Boundaries: The Science Of Our Planet,58,74,63,"['Documentary', 'Nature']",,1h 13m,2021,"['David Attenborough', 'Johan Rockström', 'Jon Clay']",['Jon Clay']
44,The Oak Room,91,51,77,['Mystery & Thriller'],,1h 29m,2020,"['RJ Mitte', 'Peter Outerbridge', 'Ari Millen', 'Martin Roach', 'Nicholas Campbell']",['Cody Calahan']
45,Stone Reader,83,71,79,['Documentary'],PG-13,2h 25m,2002,"['Mark Moskowitz', 'Mark Moskowitz', 'Mark Moskowitz']",['Mark Moskowitz']
46,Untitled Horror Movie,82,72,78,"['Horror', 'Comedy']",,1h 27m,2021,"['Emmy Raver-Lampman', 'Katherine McNamara', 'Claire Holt', 'Darren Barnet', 'Timothy Granaderos']",['Nick Simon 2']
47,The Devil Below,15,16,15,"['Horror', 'Mystery & Thriller']",,1h 28m,2021,"['Adan Canto', 'Will Patton', 'Jonathan Sadowski', 'Nathan Phillips', 'William Mark McCullough']",['Brad Parker']
48,In Our Mothers' Gardens,100,100,99,['Documentary'],,1h 30m,2020,"['Tarana Burke', 'Tina Farris', 'Shantrelle P. Lewis', 'Yolanda Sangeweni', 'Koko Zauditu-Selassie']",['Shantrelle P Lewis']
49,Promising Young Woman,90,87,89,"['Comedy', 'Mystery & Thriller']",R,1h 53m,2020,"['Carey Mulligan', 'Laverne Cox', 'Bo Burnham', 'Clancy Brown', 'Jennifer Coolidge']",['Emerald Fennell']
50,You Go To My Head,60,86,68,"['Romance', 'Fantasy', 'Mystery & Thriller', 'Drama']",,1h 56m,2017,"['Delfine Bafort', 'Svetozar Cvetkovic', 'Arend Pinoy', 'Laurence Trémolet', 'Omar Sarnane']",['Dimitri De Clercq']
51,Path to War,100,74,91,"['History', 'Drama']",TV14,2h 45m,2002,"['Michael Gambon', 'Donald Sutherland', 'Alec Baldwin', 'Bruce McGill', 'James Frain']",['John Frankenheimer']
52,Tom Clancy's Without Remorse,45,41,43,"['Action', 'Mystery & Thriller']",R,1h 49m,2021,"['Michael B. Jordan', 'Jamie Bell', 'Guy Pearce', 'Jodie Turner-Smith', 'Lauren London']",['Stefano Sollima']
53,Yes Day,52,57,53,['Comedy'],PG,1h 29m,2021,"['Jennifer Garner', 'Edgar Ramírez', 'Jenna Ortega', 'Julian Lerner', 'Everly Carganilla']",['Miguel Arteta']
54,Ron's Gone Wrong,80,94,84,"['Kids & Family', 'Comedy', 'Animation']",PG,1h 47m,2021,"['Zach Galifianakis', 'Jack Dylan Grazer', 'Olivia Colman', 'Ed Helms', 'Justice Jesse Smith']","['Sarah Smith 3', 'Jean Philippe Vine', 'Octavio E Rodriguez']"
55,Single Mother by Choice,83,96,87,"['Comedy', 'Biography', 'Drama']",TVMA,1h 23m,2021,"['Selina Ringel', 'Vanessa Angel', 'Brittany S. Hall', 'Anna Campbell', 'Alfredo Ringel']",['Dan Levy Dagerman']
