0,Curse of Aurore,75,67,72,"['Horror', 'Mystery & Thriller']",,1h 30m,2020,"['Llana Barron', 'Lex Wilson', 'Jordan Kaplan', 'Casey Nolan', 'Agathe Salzmann']",['Mehran Torgoley']
1,YouthMin: A Mockumentary,100,90,96,['Comedy'],,1h 19m,2017,"['Jeff Ryan', 'Tori Hines', 'Matt Perusse', 'Jill Rogati', 'Brett Johnson']","['Arielle Cimino', 'Jeff Ryan 2']"
2,Isolation,71,64,68,['Horror'],,1h 44m,2021,"['Alix Austin', 'Bob Ballou', 'Fine Belger', 'Nathan Breton', 'Adam R. Brown']","['Alix Austin', 'Adam R Brown', 'Larry Fessenden', 'Dennie Gordon', 'Andrew Kasch']"
3,An Angel at My Table,95,90,93,['Biography'],R,2h 38m,1990,"['Kerry Fox', 'Alexia Keogh', 'Karen Fergusson', 'Iris Churn', 'Kevin J. Wilson']",['Jane Campion']
4,The Phantom of the Open,86,90,87,"['Comedy', 'Drama']",PG-13,1h 46m,2021,"['Mark Rylance', 'Sally Hawkins', 'Rhys Ifans', 'Jake Davies', 'Christian Lees']",['Craig Roberts']
5,Stillwater,75,72,74,['Drama'],R,2h 20m,2021,"['Matt Damon', 'Camille Cottin', 'Abigail Breslin', 'Lilou Siauvaud', 'Deanna Dunagan']",['Tom Mccarthy']
6,Willy's Wonderland,61,68,63,"['Horror', 'Action', 'Mystery & Thriller']",,1h 28m,2021,"['Nicolas Cage', 'Emily Tosta', 'Beth Grant', 'Ric Reitz', 'Chris Warner']",['Kevin Lewis']
7,The Man in the White Suit,100,81,93,['Comedy'],,1h 25m,1951,"['Alec Guinness', 'Joan Greenwood', 'Cecil Parker', 'Michael Gough', 'Ernest Thesiger']",['Alexander Mackendrick']
8,The Lost Leonardo,98,82,92,"['Documentary', 'Drama']",PG-13,1h 30m,2021,"['Jerry Saltz', 'Dianne Dwyer Modestini', 'Martin Kemp', 'Robert K. Wittman', 'Doug Patteson']",['Andreas Koefoed']
9,The Last Letter From Your Lover,55,80,63,"['Drama', 'Romance']",,1h 50m,2021,"['Shailene Woodley', 'Felicity Jones', 'Callum Turner', 'Emma Appleton', 'Ben Cross']",['Augustine Frizzell']
10,Notorious Nick,20,75,38,['Drama'],PG-13,1h 30m,2021,"['Cody Christian', 'Elisabeth Röhm', 'Kevin Pollak', 'Barry Livingston', 'Samuel Evan Horowitz']",['Aaron Leong']
