name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
The Canterville Ghost,60,40,53,"['Kids & Family', 'Comedy', 'Fantasy', 'Animation']",PG,1h 34m,2023,"['Stephen Fry', 'Hugh Laurie', 'Freddie Highmore', 'Emily Carey', 'David Harewood']",['Kim Burdon']
Murder in the First,54,79,62,"['Drama', 'Mystery & Thriller']",R,2h 2m,1995,"['Christian Slater', 'Kevin Bacon', 'Gary Oldman', 'Embeth Davidtz', 'William H. Macy']",['Marc Rocco']
Righteous Kill,18,37,24,"['Crime', 'Drama']",R,1h 40m,2008,"['Robert De Niro', 'Al Pacino', '50 Cent', 'Carla Gugino', 'Donnie Wahlberg']",['Jon Avnet']
The Return of the Pink Panther,85,82,84,['Comedy'],G,1h 55m,1975,"['Peter Sellers', 'Christopher Plummer', 'Herbert Lom', 'Catherine Schell', 'Burt Kwouk']",['Sam O Brown']
Che: Part Two,79,66,74,"['Biography', 'Drama']",,2h 8m,2008,"['Benicio del Toro', 'Demián Bichir', 'Santiago Cabrera', 'Elvira Mínguez', 'Franka Potente']",['Steven Soderbergh']
Mrs. Winterbourne,15,63,31,['Comedy'],PG-13,1h 44m,1996,"['Shirley MacLaine', 'Ricki Lake', 'Brendan Fraser', 'Miguel Sandoval', 'Loren Dean']",['Richard Benjamin']
Little Nemo: Adventures in Slumberland,55,84,64,"['Kids & Family', 'Fantasy', 'Animation']",G,1h 25m,1992,"['Rene Auberjonois', 'Bever-Leigh Banfield', 'Michael Bell', 'Nancy Cartwright', 'Gabriel Damon']","['Masami Hata 4', 'Masanori Hata', 'William T Hurtz']"
The Switchblade Sisters,54,70,59,"['Comedy', 'Drama', 'LGBTQ+']",R,1h 31m,1975,"['Robbie Lee', 'Joanne Nail', 'Monica Gayle', 'Asher Brauner', 'Chase Newhart']",['Jack Hill']
Bustin' Down the Door,79,73,77,['Documentary'],,1h 35m,2008,"['Ed Norton', 'Clyde Aikau', 'Ben Aipa', 'Bernie Baker', 'Wayne Bartholomew']",['1188636 Jeremy Gosch']
Brideshead Revisited,62,52,58,"['Drama', 'Romance']",PG-13,2h 14m,2008,"['Matthew Goode', 'Hayley Atwell', 'Ben Whishaw', 'Emma Thompson', 'Michael Gambon']",['Julian Jarrold']
The Year My Voice Broke,94,84,90,['Drama'],PG-13,1h 43m,1987,"['Noah Taylor', 'Loene Carmen', 'Ben Mendelsohn', 'John Duigan']",['John Duigan']
